time,tag,tr,flag
2023-11-19 17:00:02.770249,ct,,
2023-11-19 17:00:03.547615,ct,,omission error
2023-11-19 17:00:03.937567,click,,
2023-11-19 17:00:04.326838,ct,0.389952,correct comission
2023-11-19 17:00:05.104700,ct,,omission error
2023-11-19 17:00:05.459142,click,,
2023-11-19 17:00:05.884797,ct,0.354442,correct comission
2023-11-19 17:00:06.660145,ct,,omission error
2023-11-19 17:00:07.203240,click,,
2023-11-19 17:00:07.435917,ct,0.543095,correct comission
2023-11-19 17:00:08.320917,click,,
2023-11-19 17:00:08.215189,ct,0.885,correct comission
2023-11-19 17:00:08.993189,mt,,correct omission
2023-11-19 17:00:09.681274,click,,
2023-11-19 17:00:09.769484,ct,0.688085,correct comission
2023-11-19 17:00:10.851587,click,,
2023-11-19 17:00:10.545727,mt,1.082103,comission error
2023-11-19 17:00:11.321784,ct,,omission error
2023-11-19 17:00:12.325175,click,,
2023-11-19 17:00:12.097747,ct,1.003391,correct comission
2023-11-19 17:00:12.876876,ct,,omission error
2023-11-19 17:00:13.444275,click,,
2023-11-19 17:00:13.652434,ct,0.567399,correct comission
2023-11-19 17:00:14.427105,ct,,omission error
2023-11-19 17:00:14.868310,click,,
2023-11-19 17:00:15.203962,ct,0.441205,correct comission
2023-11-19 17:00:16.240885,click,,
2023-11-19 17:00:15.980919,ct,1.036923,correct comission
2023-11-19 17:00:16.756230,ct,,omission error
2023-11-19 17:00:17.174355,click,,
2023-11-19 17:00:17.530421,mt,0.418125,comission error
2023-11-19 17:00:17.953483,click,,
2023-11-19 17:00:18.309861,ct,0.423062,correct comission
2023-11-19 17:00:19.085846,ct,,omission error
2023-11-19 17:00:19.806029,click,,
2023-11-19 17:00:19.863588,ct,0.720183,correct comission
2023-11-19 17:00:20.641104,ct,,omission error
2023-11-19 17:00:21.298893,click,,
2023-11-19 17:00:21.420766,ct,0.657789,correct comission
2023-11-19 17:00:22.200525,ct,,omission error
2023-11-19 17:00:23.009483,click,,
2023-11-19 17:00:22.976183,ct,0.808958,correct comission
2023-11-19 17:00:23.756265,ct,,omission error
2023-11-19 17:00:24.392722,click,,
2023-11-19 17:00:24.534607,ct,0.636457,correct comission
2023-11-19 17:00:25.311185,ct,,omission error
2023-11-19 17:00:25.712773,click,,
2023-11-19 17:00:26.091165,ct,0.401588,correct comission
2023-11-19 17:00:26.793686,click,,
2023-11-19 17:00:26.867976,ct,0.702521,correct comission
2023-11-19 17:00:27.645204,ct,,omission error
2023-11-19 17:00:28.104081,click,,
2023-11-19 17:00:28.421690,ct,0.458877,correct comission
2023-11-19 17:00:29.269646,click,,
2023-11-19 17:00:29.198456,ct,0.847956,correct comission
2023-11-19 17:00:29.975256,ct,,omission error
2023-11-19 17:00:30.393365,click,,
2023-11-19 17:00:30.754226,ct,0.418109,correct comission
2023-11-19 17:00:31.531972,mt,,correct omission
2023-11-19 17:00:32.309303,ct,,omission error
2023-11-19 17:00:33.086748,ct,,omission error
2023-11-19 17:00:33.863291,ct,,omission error
2023-11-19 17:00:34.327346,click,,
2023-11-19 17:00:34.640842,ct,0.464055,correct comission
2023-11-19 17:00:35.416859,click,,
2023-11-19 17:00:35.418405,ct,0.776017,correct comission
2023-11-19 17:00:36.392717,click,,
2023-11-19 17:00:36.198106,ct,0.974312,correct comission
2023-11-19 17:00:37.161210,click,,
2023-11-19 17:00:36.977770,ct,0.963104,correct comission
2023-11-19 17:00:37.998412,click,,
2023-11-19 17:00:37.754629,ct,1.020642,correct comission
