time,tag,tr,flag
2023-11-18 14:16:02.921998,ct,,
2023-11-18 14:16:03.703141,ct,,omission error
2023-11-18 14:16:04.535573,click,,
2023-11-18 14:16:04.481650,mt,0.832432,comission error
2023-11-18 14:16:05.346457,click,,
2023-11-18 14:16:05.263840,ct,0.864807,correct comission
2023-11-18 14:16:06.008036,click,,
2023-11-18 14:16:06.042137,ct,0.744196,correct comission
2023-11-18 14:16:06.716037,click,,
2023-11-18 14:16:06.821328,ct,0.6739,correct comission
2023-11-18 14:16:07.461974,click,,
2023-11-18 14:16:07.600498,ct,0.640646,correct comission
2023-11-18 14:16:08.119958,click,,
2023-11-18 14:16:08.381225,ct,0.51946,correct comission
2023-11-18 14:16:09.031255,click,,
2023-11-18 14:16:09.160950,ct,0.65003,correct comission
2023-11-18 14:16:09.832849,click,,
2023-11-18 14:16:09.940808,ct,0.671899,correct comission
2023-11-18 14:16:10.692179,click,,
2023-11-18 14:16:10.720139,ct,0.751371,correct comission
2023-11-18 14:16:11.383563,click,,
2023-11-18 14:16:11.500129,ct,0.663424,correct comission
2023-11-18 14:16:12.190887,click,,
2023-11-18 14:16:12.279534,ct,0.690758,correct comission
2023-11-18 14:16:13.070051,click,,
2023-11-18 14:16:13.058585,ct,0.790517,correct comission
2023-11-18 14:16:13.783003,click,,
2023-11-18 14:16:13.840357,mt,0.724418,comission error
2023-11-18 14:16:14.459326,click,,
2023-11-18 14:16:14.621303,ct,0.618969,correct comission
2023-11-18 14:16:15.240635,click,,
2023-11-18 14:16:15.404151,ct,0.619332,correct comission
2023-11-18 14:16:16.064936,click,,
2023-11-18 14:16:16.185654,ct,0.660785,correct comission
2023-11-18 14:16:16.982405,click,,
2023-11-18 14:16:16.966959,ct,0.796751,correct comission
2023-11-18 14:16:17.747555,ct,,omission error
2023-11-18 14:16:18.365262,click,,
2023-11-18 14:16:18.528469,ct,0.617707,correct comission
2023-11-18 14:16:19.211553,click,,
2023-11-18 14:16:19.310722,ct,0.683084,correct comission
2023-11-18 14:16:20.078430,click,,
2023-11-18 14:16:20.091090,ct,0.767708,correct comission
2023-11-18 14:16:20.782446,click,,
2023-11-18 14:16:20.870095,ct,0.691356,correct comission
2023-11-18 14:16:21.520327,click,,
2023-11-18 14:16:21.651856,ct,0.650232,correct comission
2023-11-18 14:16:22.367037,click,,
2023-11-18 14:16:22.433164,ct,0.715181,correct comission
2023-11-18 14:16:23.094180,click,,
2023-11-18 14:16:23.213715,ct,0.661016,correct comission
2023-11-18 14:16:23.799299,click,,
2023-11-18 14:16:23.994363,ct,0.585584,correct comission
2023-11-18 14:16:24.572412,click,,
2023-11-18 14:16:24.774637,mt,0.578049,comission error
2023-11-18 14:16:25.535642,click,,
2023-11-18 14:16:25.554058,ct,0.761005,correct comission
2023-11-18 14:16:26.234746,click,,
2023-11-18 14:16:26.334332,ct,0.680688,correct comission
2023-11-18 14:16:27.014520,click,,
2023-11-18 14:16:27.114271,ct,0.680188,correct comission
2023-11-18 14:16:27.842034,click,,
2023-11-18 14:16:27.897438,ct,0.727763,correct comission
2023-11-18 14:16:28.422228,click,,
2023-11-18 14:16:28.675831,ct,0.52479,correct comission
2023-11-18 14:16:29.162238,click,,
2023-11-18 14:16:29.454399,ct,0.486407,correct comission
2023-11-18 14:16:30.014917,click,,
2023-11-18 14:16:30.235265,ct,0.560518,correct comission
2023-11-18 14:16:30.863542,click,,
2023-11-18 14:16:31.016692,ct,0.628277,correct comission
2023-11-18 14:16:31.662386,click,,
2023-11-18 14:16:31.794101,mt,0.645694,comission error
2023-11-18 14:16:32.575021,ct,,omission error
2023-11-18 14:16:33.229688,click,,
2023-11-18 14:16:33.354347,ct,0.654667,correct comission
2023-11-18 14:16:34.198039,click,,
2023-11-18 14:16:34.134004,ct,0.843692,correct comission
2023-11-18 14:16:34.914031,ct,,omission error
2023-11-18 14:16:35.573934,click,,
2023-11-18 14:16:35.694833,ct,0.659903,correct comission
2023-11-18 14:16:36.304011,click,,
2023-11-18 14:16:36.477876,ct,0.609178,correct comission
2023-11-18 14:16:37.114423,click,,
2023-11-18 14:16:37.255606,ct,0.636547,correct comission
2023-11-18 14:16:37.838562,click,,
2023-11-18 14:16:38.034707,ct,0.582956,correct comission
2023-11-18 14:16:38.621556,click,,
2023-11-18 14:16:38.818654,mt,0.586849,comission error
2023-11-18 14:16:39.458706,click,,
2023-11-18 14:16:39.599424,ct,0.640052,correct comission
2023-11-18 14:16:40.238488,click,,
2023-11-18 14:16:40.380490,ct,0.639064,correct comission
2023-11-18 14:16:41.054566,click,,
2023-11-18 14:16:41.160254,ct,0.674076,correct comission
2023-11-18 14:16:41.942839,click,,
2023-11-18 14:16:41.943296,ct,0.782585,correct comission
2023-11-18 14:16:42.679419,click,,
2023-11-18 14:16:42.726136,ct,0.736123,correct comission
2023-11-18 14:16:43.551608,click,,
2023-11-18 14:16:43.508658,ct,0.825472,correct comission
2023-11-18 14:16:44.376416,click,,
2023-11-18 14:16:44.291381,ct,0.867758,correct comission
2023-11-18 14:16:44.982531,click,,
2023-11-18 14:16:45.071540,ct,0.69115,correct comission
2023-11-18 14:16:45.853999,click,,
2023-11-18 14:16:45.854336,ct,0.782459,correct comission
2023-11-18 14:16:46.668002,click,,
2023-11-18 14:16:46.635620,mt,0.813666,comission error
2023-11-18 14:16:47.414897,click,,
2023-11-18 14:16:47.416500,ct,0.779277,correct comission
2023-11-18 14:16:48.302370,click,,
2023-11-18 14:16:48.196378,ct,0.88587,correct comission
2023-11-18 14:16:48.929824,click,,
2023-11-18 14:16:48.976365,ct,0.733446,correct comission
2023-11-18 14:16:49.652264,click,,
2023-11-18 14:16:49.757113,ct,0.675899,correct comission
2023-11-18 14:16:50.352591,click,,
2023-11-18 14:16:50.537575,mt,0.595478,comission error
2023-11-18 14:16:51.318602,ct,,omission error
2023-11-18 14:16:51.870855,click,,
2023-11-18 14:16:52.098535,ct,0.552253,correct comission
2023-11-18 14:16:52.576754,click,,
2023-11-18 14:16:52.876473,ct,0.478219,correct comission
2023-11-18 14:16:53.679205,click,,
2023-11-18 14:16:53.657101,ct,0.802732,correct comission
