time,tag,tr,flag
2023-11-16 14:15:50.672954,ct,,
2023-11-16 14:15:51.191625,click,,
2023-11-16 14:15:51.474698,ct,0.518671,correct comission
2023-11-16 14:15:52.044703,click,,
2023-11-16 14:15:52.273119,ct,0.570005,correct comission
2023-11-16 14:15:52.886445,click,,
2023-11-16 14:15:53.071832,ct,0.613326,correct comission
2023-11-16 14:15:53.740226,click,,
2023-11-16 14:15:53.875624,ct,0.668394,correct comission
2023-11-16 14:15:54.721190,click,,
2023-11-16 14:15:54.677432,ct,0.845566,correct comission
2023-11-16 14:15:55.396263,click,,
2023-11-16 14:15:55.481437,ct,0.718831,correct comission
2023-11-16 14:15:56.541790,click,,
2023-11-16 14:15:56.287528,ct,1.060353,correct comission
2023-11-16 14:15:57.059409,click,,
2023-11-16 14:15:57.095481,ct,0.771881,correct comission
2023-11-16 14:15:57.808229,click,,
2023-11-16 14:15:57.899630,ct,0.712748,correct comission
2023-11-16 14:15:58.703059,ct,,omission error
2023-11-16 14:15:59.369066,click,,
2023-11-16 14:15:59.519518,ct,0.666007,correct comission
2023-11-16 14:16:00.378676,click,,
2023-11-16 14:16:00.323749,mt,0.859158,comission error
2023-11-16 14:16:01.134374,ct,,omission error
2023-11-16 14:16:01.867268,click,,
2023-11-16 14:16:01.939337,ct,0.732894,correct comission
2023-11-16 14:16:02.807465,click,,
2023-11-16 14:16:02.741947,ct,0.868128,correct comission
2023-11-16 14:16:03.430953,click,,
2023-11-16 14:16:03.545675,ct,0.689006,correct comission
2023-11-16 14:16:04.356576,click,,
2023-11-16 14:16:04.342676,ct,0.810901,correct comission
2023-11-16 14:16:05.137601,click,,
2023-11-16 14:16:05.144437,ct,0.794925,correct comission
2023-11-16 14:16:06.213559,click,,
2023-11-16 14:16:05.941710,ct,1.069122,correct comission
2023-11-16 14:16:06.791055,click,,
2023-11-16 14:16:06.746813,mt,0.849345,comission error
2023-11-16 14:16:07.544288,ct,,omission error
2023-11-16 14:16:08.143682,click,,
2023-11-16 14:16:08.345051,ct,0.599394,correct comission
2023-11-16 14:16:09.138658,click,,
2023-11-16 14:16:09.147000,ct,0.793607,correct comission
2023-11-16 14:16:09.803072,click,,
