time,tag,tr,flag
2023-11-20 16:09:59.459193,ct,,
2023-11-20 16:10:00.238801,ct,,omission error
2023-11-20 16:10:00.899419,click,,
2023-11-20 16:10:01.018167,ct,0.660618,correct comission
2023-11-20 16:10:01.686834,click,,
2023-11-20 16:10:01.796875,ct,0.668667,correct comission
2023-11-20 16:10:02.497221,click,,
2023-11-20 16:10:02.574464,mt,0.700346,comission error
2023-11-20 16:10:03.309915,click,,
2023-11-20 16:10:03.354055,ct,0.735451,correct comission
2023-11-20 16:10:04.132849,ct,,omission error
2023-11-20 16:10:04.897742,click,,
2023-11-20 16:10:04.912389,ct,0.764893,correct comission
2023-11-20 16:10:05.576083,click,,
2023-11-20 16:10:05.690658,ct,0.663694,correct comission
2023-11-20 16:10:06.480771,click,,
2023-11-20 16:10:06.469440,ct,0.790113,correct comission
2023-11-20 16:10:07.323704,click,,
2023-11-20 16:10:07.248266,ct,0.854264,correct comission
2023-11-20 16:10:07.932965,click,,
2023-11-20 16:10:08.026575,ct,0.684699,correct comission
2023-11-20 16:10:09.023984,click,,
2023-11-20 16:10:08.805865,ct,0.997409,correct comission
2023-11-20 16:10:09.600603,click,,
2023-11-20 16:10:09.585308,mt,0.794738,comission error
2023-11-20 16:10:10.363940,ct,,omission error
2023-11-20 16:10:11.089479,click,,
2023-11-20 16:10:11.142851,ct,0.725539,correct comission
2023-11-20 16:10:11.850014,click,,
2023-11-20 16:10:11.923935,ct,0.707163,correct comission
2023-11-20 16:10:12.701467,ct,,omission error
2023-11-20 16:10:13.241046,click,,
2023-11-20 16:10:13.480831,ct,0.539579,correct comission
2023-11-20 16:10:14.300002,click,,
2023-11-20 16:10:14.257225,ct,0.819171,correct comission
2023-11-20 16:10:14.978909,click,,
2023-11-20 16:10:15.034816,ct,0.721684,correct comission
2023-11-20 16:10:15.762426,click,,
2023-11-20 16:10:15.812391,ct,0.72761,correct comission
2023-11-20 16:10:16.537634,click,,
2023-11-20 16:10:16.590566,ct,0.725243,correct comission
2023-11-20 16:10:17.238625,click,,
2023-11-20 16:10:17.369605,mt,0.648059,comission error
2023-11-20 16:10:18.147723,ct,,omission error
2023-11-20 16:10:18.872608,click,,
2023-11-20 16:10:18.929917,ct,0.724885,correct comission
2023-11-20 16:10:19.738580,click,,
2023-11-20 16:10:19.710343,ct,0.808663,correct comission
2023-11-20 16:10:20.784770,click,,
2023-11-20 16:10:20.490717,ct,1.074427,correct comission
2023-11-20 16:10:21.409508,click,,
2023-11-20 16:10:21.268362,ct,0.918791,correct comission
2023-11-20 16:10:22.046015,mt,,correct omission
2023-11-20 16:10:22.458110,click,,
2023-11-20 16:10:22.826270,ct,0.412095,correct comission
2023-11-20 16:10:23.675068,click,,
2023-11-20 16:10:23.605254,ct,0.848798,correct comission
2023-11-20 16:10:24.361256,click,,
2023-11-20 16:10:24.383945,ct,0.756002,correct comission
2023-11-20 16:10:25.132200,click,,
2023-11-20 16:10:25.162498,ct,0.748255,correct comission
2023-11-20 16:10:26.002092,click,,
2023-11-20 16:10:25.942852,ct,0.839594,correct comission
2023-11-20 16:10:26.622791,click,,
2023-11-20 16:10:26.721545,ct,0.679939,correct comission
2023-11-20 16:10:27.568485,click,,
2023-11-20 16:10:27.498064,ct,0.84694,correct comission
2023-11-20 16:10:28.384840,click,,
2023-11-20 16:10:28.275533,ct,0.886776,correct comission
2023-11-20 16:10:29.156216,click,,
2023-11-20 16:10:29.056982,ct,0.880683,correct comission
2023-11-20 16:10:29.931467,click,,
2023-11-20 16:10:29.835156,ct,0.874485,correct comission
2023-11-20 16:10:30.613849,ct,,omission error
2023-11-20 16:10:31.499289,click,,
2023-11-20 16:10:31.392801,ct,0.88544,correct comission
2023-11-20 16:10:32.172684,ct,,omission error
2023-11-20 16:10:32.605230,click,,
2023-11-20 16:10:32.951240,ct,0.432546,correct comission
2023-11-20 16:10:33.547688,click,,
2023-11-20 16:10:33.730821,ct,0.596448,correct comission
2023-11-20 16:10:34.378290,click,,
2023-11-20 16:10:34.509576,ct,0.647469,correct comission
2023-11-20 16:10:35.217274,click,,
2023-11-20 16:10:35.289186,mt,0.707698,comission error
2023-11-20 16:10:36.066223,ct,,omission error
2023-11-20 16:10:36.573315,click,,
2023-11-20 16:10:36.846434,ct,0.507092,correct comission
2023-11-20 16:10:37.588109,click,,
2023-11-20 16:10:37.625681,ct,0.741675,correct comission
2023-11-20 16:10:38.339016,click,,
2023-11-20 16:10:38.405887,ct,0.713335,correct comission
2023-11-20 16:10:39.243808,click,,
2023-11-20 16:10:39.185194,ct,0.837921,correct comission
2023-11-20 16:10:40.017061,click,,
2023-11-20 16:10:39.963226,mt,0.831867,comission error
2023-11-20 16:10:40.742876,ct,,omission error
2023-11-20 16:10:41.400930,click,,
2023-11-20 16:10:41.521730,ct,0.658054,correct comission
2023-11-20 16:10:42.228518,click,,
2023-11-20 16:10:42.304997,ct,0.706788,correct comission
2023-11-20 16:10:43.072597,click,,
2023-11-20 16:10:43.084937,ct,0.7676,correct comission
2023-11-20 16:10:43.851823,click,,
2023-11-20 16:10:43.864082,ct,0.766886,correct comission
2023-11-20 16:10:44.608714,click,,
2023-11-20 16:10:44.642293,ct,0.744632,correct comission
2023-11-20 16:10:45.344361,click,,
2023-11-20 16:10:45.422646,ct,0.702068,correct comission
2023-11-20 16:10:46.201453,ct,,omission error
2023-11-20 16:10:46.873051,click,,
2023-11-20 16:10:46.981850,ct,0.671598,correct comission
2023-11-20 16:10:47.764042,click,,
2023-11-20 16:10:47.765216,ct,0.782192,correct comission
2023-11-20 16:10:48.512913,click,,
2023-11-20 16:10:48.545545,mt,0.747697,comission error
2023-11-20 16:10:49.325953,ct,,omission error
2023-11-20 16:10:49.834565,click,,
2023-11-20 16:10:50.106966,ct,0.508612,correct comission
2023-11-20 16:10:50.705293,click,,
2023-11-20 16:10:50.888891,ct,0.598327,correct comission
2023-11-20 16:10:51.537434,click,,
2023-11-20 16:10:51.665369,ct,0.648543,correct comission
2023-11-20 16:10:52.315791,click,,
2023-11-20 16:10:52.445834,ct,0.650422,correct comission
2023-11-20 16:10:53.117856,click,,
2023-11-20 16:10:53.228156,ct,0.672022,correct comission
2023-11-20 16:10:53.918932,click,,
2023-11-20 16:10:54.006458,ct,0.690776,correct comission
2023-11-20 16:10:54.656694,click,,
2023-11-20 16:10:54.786661,ct,0.650236,correct comission
2023-11-20 16:10:55.372448,click,,
2023-11-20 16:10:55.567201,ct,0.585787,correct comission
2023-11-20 16:10:56.281279,click,,
2023-11-20 16:10:56.343756,ct,0.714078,correct comission
2023-11-20 16:10:57.143599,click,,
2023-11-20 16:10:57.122091,ct,0.799843,correct comission
2023-11-20 16:10:57.946482,click,,
2023-11-20 16:10:57.903352,mt,0.824391,comission error
2023-11-20 16:10:58.684072,ct,,omission error
2023-11-20 16:10:59.314350,click,,
2023-11-20 16:10:59.466545,ct,0.630278,correct comission
2023-11-20 16:11:00.157510,click,,
2023-11-20 16:11:00.245891,ct,0.690965,correct comission
2023-11-20 16:11:01.153227,click,,
2023-11-20 16:11:01.024547,mt,0.907336,comission error
2023-11-20 16:11:01.986124,click,,
2023-11-20 16:11:01.804620,ct,0.961577,correct comission
2023-11-20 16:11:02.584279,ct,,omission error
2023-11-20 16:11:03.277009,click,,
2023-11-20 16:11:03.365988,ct,0.69273,correct comission
2023-11-20 16:11:04.090183,click,,
2023-11-20 16:11:04.144924,ct,0.724195,correct comission
2023-11-20 16:11:04.914597,click,,
2023-11-20 16:11:04.924037,ct,0.769673,correct comission
2023-11-20 16:11:05.606448,click,,
2023-11-20 16:11:05.705008,ct,0.682411,correct comission
2023-11-20 16:11:06.357915,click,,
2023-11-20 16:11:06.483272,ct,0.652907,correct comission
2023-11-20 16:11:07.185953,click,,
2023-11-20 16:11:07.259877,ct,0.702681,correct comission
2023-11-20 16:11:08.105152,click,,
2023-11-20 16:11:08.037125,ct,0.845275,correct comission
2023-11-20 16:11:08.780693,click,,
2023-11-20 16:11:08.815800,ct,0.743568,correct comission
2023-11-20 16:11:09.518470,click,,
2023-11-20 16:11:09.594677,ct,0.70267,correct comission
2023-11-20 16:11:10.360859,click,,
2023-11-20 16:11:10.373268,mt,0.766182,comission error
2023-11-20 16:11:11.151453,ct,,omission error
2023-11-20 16:11:11.778358,click,,
2023-11-20 16:11:11.929957,ct,0.626905,correct comission
2023-11-20 16:11:12.600215,click,,
2023-11-20 16:11:12.709711,ct,0.670258,correct comission
2023-11-20 16:11:13.368265,click,,
2023-11-20 16:11:13.488915,ct,0.658554,correct comission
2023-11-20 16:11:14.072961,click,,
2023-11-20 16:11:14.269290,ct,0.584046,correct comission
2023-11-20 16:11:14.895959,click,,
2023-11-20 16:11:15.048318,ct,0.626669,correct comission
2023-11-20 16:11:15.719793,click,,
2023-11-20 16:11:15.830141,ct,0.671475,correct comission
2023-11-20 16:11:16.481473,click,,
2023-11-20 16:11:16.612659,ct,0.651332,correct comission
2023-11-20 16:11:17.305406,click,,
2023-11-20 16:11:17.393655,ct,0.692747,correct comission
2023-11-20 16:11:18.344438,click,,
2023-11-20 16:11:18.172334,ct,0.950783,correct comission
2023-11-20 16:11:18.830868,click,,
2023-11-20 16:11:18.950272,ct,0.658534,correct comission
2023-11-20 16:11:19.946108,click,,
2023-11-20 16:11:19.729710,ct,0.995836,correct comission
2023-11-20 16:11:20.508594,ct,,omission error
2023-11-20 16:11:21.114409,click,,
2023-11-20 16:11:21.287642,mt,0.605815,comission error
2023-11-20 16:11:22.069002,ct,,omission error
2023-11-20 16:11:22.719332,click,,
2023-11-20 16:11:22.849566,ct,0.65033,correct comission
2023-11-20 16:11:23.497532,click,,
2023-11-20 16:11:23.629268,ct,0.647966,correct comission
2023-11-20 16:11:24.422509,click,,
2023-11-20 16:11:24.407261,ct,0.793241,correct comission
2023-11-20 16:11:25.115335,click,,
2023-11-20 16:11:25.184279,ct,0.708074,correct comission
2023-11-20 16:11:25.906004,click,,
2023-11-20 16:11:25.962455,ct,0.721725,correct comission
2023-11-20 16:11:26.876019,click,,
2023-11-20 16:11:26.741386,ct,0.913564,correct comission
2023-11-20 16:11:27.713490,click,,
2023-11-20 16:11:27.519462,ct,0.972104,correct comission
2023-11-20 16:11:28.449543,click,,
2023-11-20 16:11:28.299406,ct,0.930081,correct comission
2023-11-20 16:11:29.218682,click,,
2023-11-20 16:11:29.079077,ct,0.919276,correct comission
2023-11-20 16:11:29.816110,click,,
2023-11-20 16:11:29.859240,ct,0.737033,correct comission
2023-11-20 16:11:30.812335,click,,
2023-11-20 16:11:30.640485,ct,0.953095,correct comission
2023-11-20 16:11:31.581463,click,,
2023-11-20 16:11:31.420939,mt,0.940978,comission error
2023-11-20 16:11:32.199962,ct,,omission error
