time,tag,tr,flag
2023-11-22 20:06:57.757500,ct,,
2023-11-22 20:06:58.539858,ct,,omission error
2023-11-22 20:06:59.320031,ct,,omission error
2023-11-22 20:06:59.715731,click,,
2023-11-22 20:07:00.099092,ct,0.3957,correct comission
2023-11-22 20:07:00.740841,click,,
2023-11-22 20:07:00.879747,ct,0.641749,correct comission
2023-11-22 20:07:01.464255,click,,
2023-11-22 20:07:01.660627,ct,0.584508,correct comission
2023-11-22 20:07:02.146750,click,,
2023-11-22 20:07:02.438838,ct,0.486123,correct comission
2023-11-22 20:07:03.003924,click,,
2023-11-22 20:07:03.217537,ct,0.565086,correct comission
2023-11-22 20:07:03.802300,click,,
2023-11-22 20:07:03.997308,ct,0.584763,correct comission
2023-11-22 20:07:04.474557,click,,
2023-11-22 20:07:04.778430,ct,0.477249,correct comission
2023-11-22 20:07:05.238962,click,,
2023-11-22 20:07:05.557860,ct,0.460532,correct comission
2023-11-22 20:07:05.947022,click,,
2023-11-22 20:07:06.337707,ct,0.389162,correct comission
2023-11-22 20:07:06.671762,click,,
2023-11-22 20:07:07.119105,ct,0.334055,correct comission
2023-11-22 20:07:07.716415,click,,
2023-11-22 20:07:07.898740,ct,0.59731,correct comission
2023-11-22 20:07:08.363824,click,,
2023-11-22 20:07:08.679069,mt,0.465084,comission error
2023-11-22 20:07:09.125869,click,,
2023-11-22 20:07:09.457526,ct,0.4468,correct comission
2023-11-22 20:07:09.967429,click,,
2023-11-22 20:07:10.241456,ct,0.509903,correct comission
2023-11-22 20:07:10.718501,click,,
2023-11-22 20:07:11.023631,ct,0.477045,correct comission
2023-11-22 20:07:11.479412,click,,
2023-11-22 20:07:11.805343,ct,0.455781,correct comission
2023-11-22 20:07:12.258123,click,,
2023-11-22 20:07:12.584249,ct,0.45278,correct comission
2023-11-22 20:07:12.907262,click,,
2023-11-22 20:07:13.363427,ct,0.323013,correct comission
2023-11-22 20:07:14.144305,ct,,omission error
2023-11-22 20:07:14.599318,click,,
2023-11-22 20:07:14.924977,ct,0.455013,correct comission
2023-11-22 20:07:15.422750,click,,
2023-11-22 20:07:15.706442,ct,0.497773,correct comission
2023-11-22 20:07:16.262863,click,,
2023-11-22 20:07:16.487206,ct,0.556421,correct comission
2023-11-22 20:07:17.212256,click,,
2023-11-22 20:07:17.269021,ct,0.72505,correct comission
2023-11-22 20:07:17.896362,click,,
2023-11-22 20:07:18.048686,ct,0.627341,correct comission
2023-11-22 20:07:18.570234,click,,
2023-11-22 20:07:18.828512,ct,0.521548,correct comission
2023-11-22 20:07:19.277770,click,,
2023-11-22 20:07:19.608227,mt,0.449258,comission error
2023-11-22 20:07:20.389674,ct,,omission error
2023-11-22 20:07:20.897363,click,,
2023-11-22 20:07:21.170816,ct,0.507689,correct comission
2023-11-22 20:07:21.689318,click,,
2023-11-22 20:07:21.949564,ct,0.518502,correct comission
2023-11-22 20:07:22.416762,click,,
2023-11-22 20:07:22.728087,ct,0.467198,correct comission
2023-11-22 20:07:23.140977,click,,
2023-11-22 20:07:23.505520,ct,0.41289,correct comission
2023-11-22 20:07:23.881840,click,,
2023-11-22 20:07:24.288294,ct,0.37632,correct comission
2023-11-22 20:07:24.623434,click,,
2023-11-22 20:07:25.068924,ct,0.33514,correct comission
2023-11-22 20:07:25.923569,click,,
2023-11-22 20:07:25.847291,ct,0.854645,correct comission
2023-11-22 20:07:26.567285,click,,
2023-11-22 20:07:26.627249,ct,0.719994,correct comission
2023-11-22 20:07:27.285649,click,,
2023-11-22 20:07:27.406374,mt,0.6584,comission error
2023-11-22 20:07:27.894060,click,,
2023-11-22 20:07:28.185774,ct,0.487686,correct comission
2023-11-22 20:07:28.684049,click,,
2023-11-22 20:07:28.964170,mt,0.498275,comission error
2023-11-22 20:07:29.450701,click,,
2023-11-22 20:07:29.742519,ct,0.486531,correct comission
2023-11-22 20:07:30.392784,click,,
2023-11-22 20:07:30.523091,ct,0.650265,correct comission
2023-11-22 20:07:31.083645,click,,
2023-11-22 20:07:31.301247,ct,0.560554,correct comission
2023-11-22 20:07:31.809267,click,,
2023-11-22 20:07:32.081624,ct,0.50802,correct comission
2023-11-22 20:07:32.468212,click,,
2023-11-22 20:07:32.861830,ct,0.386588,correct comission
2023-11-22 20:07:33.640263,ct,,omission error
2023-11-22 20:07:34.057071,click,,
2023-11-22 20:07:34.420400,ct,0.416808,correct comission
2023-11-22 20:07:34.854610,click,,
2023-11-22 20:07:35.201242,ct,0.43421,correct comission
2023-11-22 20:07:35.576877,click,,
2023-11-22 20:07:35.981655,ct,0.375635,correct comission
2023-11-22 20:07:36.501280,click,,
2023-11-22 20:07:36.761944,ct,0.519625,correct comission
2023-11-22 20:07:37.227929,click,,
2023-11-22 20:07:37.539775,ct,0.465985,correct comission
2023-11-22 20:07:37.870152,click,,
2023-11-22 20:07:38.316799,ct,0.330377,correct comission
2023-11-22 20:07:39.213619,click,,
2023-11-22 20:07:39.094630,ct,0.89682,correct comission
2023-11-22 20:07:39.891906,click,,
2023-11-22 20:07:39.873175,mt,0.797276,comission error
