time,tag,tr,flag
2023-11-23 09:57:04.601830,ct,,
2023-11-23 09:57:05.401071,ct,,omission error
2023-11-23 09:57:05.956621,click,,
2023-11-23 09:57:06.205243,ct,0.55555,correct comission
2023-11-23 09:57:06.807858,click,,
2023-11-23 09:57:07.011587,ct,0.602615,correct comission
2023-11-23 09:57:07.757773,click,,
2023-11-23 09:57:07.808999,mt,0.746186,comission error
2023-11-23 09:57:08.609914,ct,,omission error
2023-11-23 09:57:09.077972,click,,
2023-11-23 09:57:09.412457,ct,0.468058,correct comission
2023-11-23 09:57:10.025563,click,,
2023-11-23 09:57:10.211457,ct,0.613106,correct comission
2023-11-23 09:57:10.919175,click,,
2023-11-23 09:57:11.014858,ct,0.707718,correct comission
2023-11-23 09:57:11.789494,click,,
2023-11-23 09:57:11.820396,ct,0.774636,correct comission
2023-11-23 09:57:12.539542,click,,
2023-11-23 09:57:12.622187,ct,0.719146,correct comission
2023-11-23 09:57:13.260950,click,,
2023-11-23 09:57:13.425848,ct,0.638763,correct comission
2023-11-23 09:57:14.239119,click,,
2023-11-23 09:57:14.226307,ct,0.813271,correct comission
2023-11-23 09:57:14.973368,click,,
2023-11-23 09:57:15.026935,mt,0.747061,comission error
2023-11-23 09:57:15.832072,ct,,omission error
2023-11-23 09:57:16.327135,click,,
2023-11-23 09:57:16.628965,ct,0.495063,correct comission
2023-11-23 09:57:17.295343,click,,
2023-11-23 09:57:17.433336,ct,0.666378,correct comission
2023-11-23 09:57:17.992714,click,,
2023-11-23 09:57:18.242238,ct,0.559378,correct comission
2023-11-23 09:57:18.780977,click,,
2023-11-23 09:57:19.044153,ct,0.538739,correct comission
2023-11-23 09:57:19.467124,click,,
2023-11-23 09:57:19.853469,ct,0.422971,correct comission
2023-11-23 09:57:20.262772,click,,
2023-11-23 09:57:20.664553,ct,0.409303,correct comission
2023-11-23 09:57:21.128852,click,,
2023-11-23 09:57:21.479710,ct,0.464299,correct comission
2023-11-23 09:57:22.102423,click,,
2023-11-23 09:57:22.281198,ct,0.622713,correct comission
2023-11-23 09:57:22.926875,click,,
2023-11-23 09:57:23.095958,ct,0.645677,correct comission
2023-11-23 09:57:23.642355,click,,
2023-11-23 09:57:23.905701,ct,0.546397,correct comission
2023-11-23 09:57:24.568287,click,,
2023-11-23 09:57:24.709479,mt,0.662586,comission error
2023-11-23 09:57:25.289784,click,,
2023-11-23 09:57:25.525134,ct,0.580305,correct comission
2023-11-23 09:57:26.526791,click,,
2023-11-23 09:57:26.328559,ct,1.001657,correct comission
2023-11-23 09:57:27.143831,ct,,omission error
2023-11-23 09:57:27.706080,click,,
2023-11-23 09:57:27.941763,ct,0.562249,correct comission
2023-11-23 09:57:28.651265,click,,
2023-11-23 09:57:28.743944,ct,0.709502,correct comission
2023-11-23 09:57:29.501944,click,,
2023-11-23 09:57:29.550180,ct,0.758,correct comission
2023-11-23 09:57:30.080385,click,,
2023-11-23 09:57:30.349407,ct,0.530205,correct comission
2023-11-23 09:57:31.055539,click,,
2023-11-23 09:57:31.145972,mt,0.706132,comission error
2023-11-23 09:57:31.945788,ct,,omission error
2023-11-23 09:57:32.445353,click,,
2023-11-23 09:57:32.752615,ct,0.499565,correct comission
2023-11-23 09:57:33.321776,click,,
2023-11-23 09:57:33.550785,ct,0.569161,correct comission
2023-11-23 09:57:34.204738,click,,
2023-11-23 09:57:34.355445,ct,0.653953,correct comission
2023-11-23 09:57:34.991878,click,,
2023-11-23 09:57:35.157999,ct,0.636433,correct comission
2023-11-23 09:57:35.800715,click,,
2023-11-23 09:57:35.957229,ct,0.642716,correct comission
2023-11-23 09:57:36.538182,click,,
2023-11-23 09:57:36.757473,ct,0.580953,correct comission
2023-11-23 09:57:37.395125,click,,
2023-11-23 09:57:37.559854,ct,0.637652,correct comission
2023-11-23 09:57:38.141224,click,,
2023-11-23 09:57:38.360052,ct,0.58137,correct comission
2023-11-23 09:57:38.972461,click,,
2023-11-23 09:57:39.173362,mt,0.612409,comission error
2023-11-23 09:57:39.755287,click,,
2023-11-23 09:57:39.977014,ct,0.581925,correct comission
2023-11-23 09:57:40.793031,ct,,omission error
2023-11-23 09:57:41.234127,click,,
2023-11-23 09:57:41.598713,ct,0.441096,correct comission
2023-11-23 09:57:42.415344,ct,,omission error
2023-11-23 09:57:42.785221,click,,
2023-11-23 09:57:43.225049,ct,0.369877,correct comission
2023-11-23 09:57:43.854205,click,,
2023-11-23 09:57:44.038199,mt,0.629156,comission error
2023-11-23 09:57:44.847595,ct,,omission error
2023-11-23 09:57:45.374487,click,,
2023-11-23 09:57:45.650630,ct,0.526892,correct comission
2023-11-23 09:57:46.321789,click,,
2023-11-23 09:57:46.460147,ct,0.671159,correct comission
2023-11-23 09:57:47.148269,click,,
2023-11-23 09:57:47.264148,ct,0.688122,correct comission
2023-11-23 09:57:47.986764,click,,
2023-11-23 09:57:48.066923,ct,0.722616,correct comission
2023-11-23 09:57:48.797187,click,,
2023-11-23 09:57:48.881373,ct,0.730264,correct comission
2023-11-23 09:57:49.468808,click,,
2023-11-23 09:57:49.682435,ct,0.587435,correct comission
2023-11-23 09:57:50.268401,click,,
2023-11-23 09:57:50.490675,ct,0.585966,correct comission
2023-11-23 09:57:51.074161,click,,
2023-11-23 09:57:51.294024,ct,0.583486,correct comission
2023-11-23 09:57:52.025464,click,,
2023-11-23 09:57:52.097312,mt,0.73144,comission error
2023-11-23 09:57:52.620375,click,,
2023-11-23 09:57:52.899496,ct,0.523063,correct comission
2023-11-23 09:57:53.437710,click,,
2023-11-23 09:57:53.713539,ct,0.538214,correct comission
2023-11-23 09:57:54.520217,ct,,omission error
2023-11-23 09:57:54.879052,click,,
2023-11-23 09:57:55.324581,ct,0.358835,correct comission
2023-11-23 09:57:56.131958,ct,,omission error
2023-11-23 09:57:56.531759,click,,
2023-11-23 09:57:56.943036,ct,0.399801,correct comission
2023-11-23 09:57:57.534818,click,,
2023-11-23 09:57:57.747495,ct,0.591782,correct comission
2023-11-23 09:57:58.350176,click,,
2023-11-23 09:57:58.558595,ct,0.602681,correct comission
2023-11-23 09:57:59.504584,click,,
2023-11-23 09:57:59.361376,ct,0.945989,correct comission
2023-11-23 09:58:00.159370,ct,,omission error
2023-11-23 09:58:00.658153,click,,
2023-11-23 09:58:00.977536,ct,0.498783,correct comission
2023-11-23 09:58:01.776954,click,,
2023-11-23 09:58:01.780992,ct,0.799418,correct comission
2023-11-23 09:58:02.448233,click,,
2023-11-23 09:58:02.582619,ct,0.667241,correct comission
2023-11-23 09:58:03.166708,click,,
2023-11-23 09:58:03.385999,ct,0.584089,correct comission
2023-11-23 09:58:03.972000,click,,
2023-11-23 09:58:04.189698,ct,0.586001,correct comission
2023-11-23 09:58:04.721244,click,,
2023-11-23 09:58:04.993279,ct,0.531546,correct comission
2023-11-23 09:58:05.409871,click,,
2023-11-23 09:58:05.802872,ct,0.416592,correct comission
2023-11-23 09:58:06.384646,click,,
2023-11-23 09:58:06.613775,ct,0.581774,correct comission
2023-11-23 09:58:07.208408,click,,
2023-11-23 09:58:07.411319,mt,0.594633,comission error
2023-11-23 09:58:08.218171,ct,,omission error
2023-11-23 09:58:08.853179,click,,
2023-11-23 09:58:09.019954,ct,0.635008,correct comission
2023-11-23 09:58:09.820628,ct,,omission error
2023-11-23 09:58:10.349945,click,,
2023-11-23 09:58:10.630168,ct,0.529317,correct comission
2023-11-23 09:58:11.119233,click,,
2023-11-23 09:58:11.440879,ct,0.489065,correct comission
2023-11-23 09:58:12.081372,click,,
2023-11-23 09:58:12.260664,ct,0.640493,correct comission
2023-11-23 09:58:13.011662,click,,
2023-11-23 09:58:13.075078,ct,0.750998,correct comission
2023-11-23 09:58:13.814834,click,,
2023-11-23 09:58:13.876370,mt,0.739756,comission error
2023-11-23 09:58:14.562903,click,,
2023-11-23 09:58:14.677247,ct,0.686533,correct comission
2023-11-23 09:58:15.506298,ct,,omission error
2023-11-23 09:58:15.981293,click,,
2023-11-23 09:58:16.304338,ct,0.474995,correct comission
2023-11-23 09:58:16.974221,click,,
2023-11-23 09:58:17.120353,ct,0.669883,correct comission
2023-11-23 09:58:17.877717,click,,
2023-11-23 09:58:17.929994,ct,0.757364,correct comission
2023-11-23 09:58:18.732826,click,,
2023-11-23 09:58:18.750472,ct,0.802832,correct comission
2023-11-23 09:58:19.614715,click,,
2023-11-23 09:58:19.561120,ct,0.864243,correct comission
2023-11-23 09:58:20.593577,click,,
2023-11-23 09:58:20.367464,mt,1.032457,comission error
2023-11-23 09:58:21.261447,click,,
2023-11-23 09:58:21.175366,ct,0.893983,correct comission
2023-11-23 09:58:22.070785,click,,
2023-11-23 09:58:21.973752,ct,0.895419,correct comission
2023-11-23 09:58:22.932846,click,,
2023-11-23 09:58:22.783014,ct,0.959094,correct comission
2023-11-23 09:58:23.779200,click,,
2023-11-23 09:58:23.583592,ct,0.996186,correct comission
2023-11-23 09:58:24.551828,click,,
2023-11-23 09:58:24.380362,ct,0.968236,correct comission
2023-11-23 09:58:25.182257,ct,,omission error
2023-11-23 09:58:25.550033,click,,
2023-11-23 09:58:25.985660,ct,0.367776,correct comission
2023-11-23 09:58:26.388002,click,,
2023-11-23 09:58:26.794818,mt,0.402342,comission error
2023-11-23 09:58:27.262369,click,,
2023-11-23 09:58:27.595848,ct,0.467551,correct comission
2023-11-23 09:58:28.113653,click,,
2023-11-23 09:58:28.399326,ct,0.517805,correct comission
2023-11-23 09:58:28.919500,click,,
2023-11-23 09:58:29.200506,ct,0.520174,correct comission
2023-11-23 09:58:29.773743,click,,
2023-11-23 09:58:30.003857,ct,0.573237,correct comission
2023-11-23 09:58:30.632477,click,,
2023-11-23 09:58:30.805915,ct,0.62862,correct comission
2023-11-23 09:58:31.463860,click,,
2023-11-23 09:58:31.609575,ct,0.657945,correct comission
2023-11-23 09:58:32.302344,click,,
2023-11-23 09:58:32.413685,mt,0.692769,comission error
2023-11-23 09:58:33.218168,ct,,omission error
2023-11-23 09:58:33.662470,click,,
2023-11-23 09:58:34.020211,ct,0.444302,correct comission
2023-11-23 09:58:34.516716,click,,
2023-11-23 09:58:34.829071,ct,0.496505,correct comission
2023-11-23 09:58:35.390612,click,,
2023-11-23 09:58:35.626341,ct,0.561541,correct comission
2023-11-23 09:58:36.322300,click,,
2023-11-23 09:58:36.425953,ct,0.695959,correct comission
2023-11-23 09:58:37.136040,click,,
2023-11-23 09:58:37.228120,ct,0.710087,correct comission
2023-11-23 09:58:38.087300,click,,
2023-11-23 09:58:38.030836,ct,0.85918,correct comission
2023-11-23 09:58:38.969129,click,,
2023-11-23 09:58:38.841513,ct,0.938293,correct comission
2023-11-23 09:58:39.640351,ct,,omission error
2023-11-23 09:58:40.064772,click,,
2023-11-23 09:58:40.446872,ct,0.424421,correct comission
2023-11-23 09:58:40.775580,click,,
2023-11-23 09:58:41.248736,ct,0.328708,correct comission
2023-11-23 09:58:41.922732,click,,
2023-11-23 09:58:42.046589,mt,0.673996,comission error
2023-11-23 09:58:42.862658,ct,,omission error
2023-11-23 09:58:43.446231,click,,
2023-11-23 09:58:43.659989,ct,0.583573,correct comission
2023-11-23 09:58:44.463944,ct,,omission error
2023-11-23 09:58:45.001516,click,,
2023-11-23 09:58:45.267488,ct,0.537572,correct comission
2023-11-23 09:58:45.849590,click,,
2023-11-23 09:58:46.070988,ct,0.582102,correct comission
2023-11-23 09:58:46.837345,click,,
2023-11-23 09:58:46.874578,ct,0.766357,correct comission
2023-11-23 09:58:47.696321,click,,
2023-11-23 09:58:47.673681,ct,0.821743,correct comission
2023-11-23 09:58:48.232425,click,,
2023-11-23 09:58:48.475484,ct,0.558744,correct comission
2023-11-23 09:58:49.250862,click,,
2023-11-23 09:58:49.280225,ct,0.775378,correct comission
2023-11-23 09:58:49.926637,click,,
2023-11-23 09:58:50.082498,ct,0.646412,correct comission
2023-11-23 09:58:50.721068,click,,
2023-11-23 09:58:50.890283,ct,0.63857,correct comission
2023-11-23 09:58:51.445407,click,,
2023-11-23 09:58:51.689137,ct,0.555124,correct comission
2023-11-23 09:58:52.294645,click,,
2023-11-23 09:58:52.496274,ct,0.605508,correct comission
2023-11-23 09:58:53.026157,click,,
2023-11-23 09:58:53.298972,ct,0.529883,correct comission
2023-11-23 09:58:54.023556,click,,
2023-11-23 09:58:54.106325,ct,0.724584,correct comission
2023-11-23 09:58:54.602973,click,,
2023-11-23 09:58:54.906347,ct,0.496648,correct comission
2023-11-23 09:58:55.466807,click,,
2023-11-23 09:58:55.703725,mt,0.56046,comission error
2023-11-23 09:58:56.185831,click,,
2023-11-23 09:58:56.529220,ct,0.482106,correct comission
2023-11-23 09:58:57.145530,click,,
2023-11-23 09:58:57.331801,ct,0.61631,correct comission
2023-11-23 09:58:57.898218,click,,
2023-11-23 09:58:58.148992,ct,0.566417,correct comission
2023-11-23 09:58:58.696649,click,,
2023-11-23 09:58:58.961343,ct,0.547657,correct comission
2023-11-23 09:58:59.460410,click,,
2023-11-23 09:58:59.771957,ct,0.499067,correct comission
2023-11-23 09:59:00.283074,click,,
2023-11-23 09:59:00.577307,ct,0.511117,correct comission
2023-11-23 09:59:01.178034,click,,
2023-11-23 09:59:01.393263,mt,0.600727,comission error
2023-11-23 09:59:02.025851,click,,
2023-11-23 09:59:02.197297,ct,0.632588,correct comission
2023-11-23 09:59:03.000970,ct,,omission error
2023-11-23 09:59:03.561194,click,,
2023-11-23 09:59:03.818147,ct,0.560224,correct comission
2023-11-23 09:59:04.610283,click,,
2023-11-23 09:59:04.624252,ct,0.792136,correct comission
2023-11-23 09:59:05.429098,ct,,omission error
2023-11-23 09:59:05.932176,click,,
2023-11-23 09:59:06.232640,ct,0.503078,correct comission
2023-11-23 09:59:07.063338,click,,
2023-11-23 09:59:07.038201,mt,0.830698,comission error
