time,tag,tr,flag
2023-11-23 16:18:07.454272,ct,,
2023-11-23 16:18:08.151854,click,,
2023-11-23 16:18:08.252241,ct,0.697582,correct comission
2023-11-23 16:18:08.972851,click,,
2023-11-23 16:18:09.057183,ct,0.72061,correct comission
2023-11-23 16:18:09.773040,click,,
2023-11-23 16:18:09.851792,mt,0.715857,comission error
2023-11-23 16:18:10.437974,click,,
2023-11-23 16:18:10.649452,ct,0.586182,correct comission
2023-11-23 16:18:11.388322,click,,
2023-11-23 16:18:11.454804,ct,0.73887,correct comission
2023-11-23 16:18:12.201151,click,,
2023-11-23 16:18:12.256532,ct,0.746347,correct comission
2023-11-23 16:18:12.789914,click,,
2023-11-23 16:18:13.056399,ct,0.533382,correct comission
2023-11-23 16:18:13.587669,click,,
2023-11-23 16:18:13.854859,ct,0.53127,correct comission
2023-11-23 16:18:14.408029,click,,
2023-11-23 16:18:14.659379,ct,0.55317,correct comission
2023-11-23 16:18:15.501605,click,,
2023-11-23 16:18:15.478322,ct,0.842226,correct comission
2023-11-23 16:18:16.373544,click,,
2023-11-23 16:18:16.275883,ct,0.895222,correct comission
2023-11-23 16:18:17.063922,click,,
2023-11-23 16:18:17.083835,ct,0.788039,correct comission
2023-11-23 16:18:17.883412,ct,,omission error
2023-11-23 16:18:18.598036,click,,
2023-11-23 16:18:18.681636,ct,0.714624,correct comission
2023-11-23 16:18:19.203819,click,,
2023-11-23 16:18:19.482070,ct,0.522183,correct comission
2023-11-23 16:18:19.929328,click,,
2023-11-23 16:18:20.285279,mt,0.447258,comission error
2023-11-23 16:18:20.773519,click,,
2023-11-23 16:18:21.082467,ct,0.48824,correct comission
2023-11-23 16:18:21.733040,click,,
2023-11-23 16:18:21.881531,ct,0.650573,correct comission
2023-11-23 16:18:22.356932,click,,
2023-11-23 16:18:22.682398,ct,0.475401,correct comission
2023-11-23 16:18:23.124991,click,,
2023-11-23 16:18:23.491904,ct,0.442593,correct comission
2023-11-23 16:18:24.039406,click,,
2023-11-23 16:18:24.297496,ct,0.547502,correct comission
2023-11-23 16:18:24.793052,click,,
2023-11-23 16:18:25.111183,ct,0.495556,correct comission
2023-11-23 16:18:25.527111,click,,
2023-11-23 16:18:25.919133,mt,0.415928,comission error
2023-11-23 16:18:26.300800,click,,
2023-11-23 16:18:26.730025,ct,0.381667,correct comission
2023-11-23 16:18:27.386318,click,,
2023-11-23 16:18:27.532949,ct,0.656293,correct comission
2023-11-23 16:18:28.090936,click,,
2023-11-23 16:18:28.337268,ct,0.557987,correct comission
2023-11-23 16:18:28.744820,click,,
2023-11-23 16:18:29.150641,ct,0.407552,correct comission
2023-11-23 16:18:30.103759,click,,
2023-11-23 16:18:29.949656,ct,0.953118,correct comission
2023-11-23 16:18:30.763241,click,,
2023-11-23 16:18:30.767507,ct,0.813585,correct comission
2023-11-23 16:18:31.627625,click,,
2023-11-23 16:18:31.573483,ct,0.860118,correct comission
2023-11-23 16:18:32.432345,click,,
2023-11-23 16:18:32.377724,ct,0.858862,correct comission
2023-11-23 16:18:33.398214,click,,
2023-11-23 16:18:33.180147,ct,1.02049,correct comission
2023-11-23 16:18:34.117983,click,,
2023-11-23 16:18:33.986730,ct,0.937836,correct comission
2023-11-23 16:18:34.743857,click,,
2023-11-23 16:18:34.791833,ct,0.757127,correct comission
2023-11-23 16:18:35.706218,click,,
2023-11-23 16:18:35.596538,ct,0.914385,correct comission
2023-11-23 16:18:36.395244,ct,,omission error
2023-11-23 16:18:36.726399,click,,
2023-11-23 16:18:37.194646,mt,0.331155,comission error
2023-11-23 16:18:37.997245,ct,,omission error
2023-11-23 16:18:38.715460,click,,
2023-11-23 16:18:38.798449,mt,0.718215,comission error
2023-11-23 16:18:39.417321,click,,
2023-11-23 16:18:39.593833,ct,0.618872,correct comission
2023-11-23 16:18:40.458592,click,,
2023-11-23 16:18:40.391456,ct,0.864759,correct comission
2023-11-23 16:18:41.135471,click,,
2023-11-23 16:18:41.196781,ct,0.744015,correct comission
2023-11-23 16:18:42.298474,click,,
2023-11-23 16:18:41.997675,ct,1.101693,correct comission
2023-11-23 16:18:43.068655,click,,
2023-11-23 16:18:42.815888,ct,1.07098,correct comission
2023-11-23 16:18:43.854878,click,,
2023-11-23 16:18:43.621446,ct,1.03899,correct comission
2023-11-23 16:18:44.687398,click,,
2023-11-23 16:18:44.436759,ct,1.065952,correct comission
2023-11-23 16:18:45.243810,ct,,omission error
2023-11-23 16:18:45.677154,click,,
2023-11-23 16:18:46.059341,ct,0.433344,correct comission
2023-11-23 16:18:46.794580,click,,
2023-11-23 16:18:46.862284,ct,0.735239,correct comission
2023-11-23 16:18:47.519254,click,,
2023-11-23 16:18:47.681976,ct,0.65697,correct comission
2023-11-23 16:18:48.412331,click,,
2023-11-23 16:18:48.482262,ct,0.730355,correct comission
2023-11-23 16:18:49.292142,click,,
2023-11-23 16:18:49.279759,ct,0.80988,correct comission
2023-11-23 16:18:50.136855,click,,
2023-11-23 16:18:50.092995,ct,0.857096,correct comission
2023-11-23 16:18:50.767281,click,,
2023-11-23 16:18:50.889950,ct,0.674286,correct comission
2023-11-23 16:18:51.678564,click,,
2023-11-23 16:18:51.686661,ct,0.788614,correct comission
2023-11-23 16:18:52.365984,click,,
2023-11-23 16:18:52.491586,ct,0.679323,correct comission
2023-11-23 16:18:53.290223,click,,
2023-11-23 16:18:53.290861,ct,0.798637,correct comission
2023-11-23 16:18:54.296745,click,,
2023-11-23 16:18:54.095328,mt,1.005884,comission error
2023-11-23 16:18:55.010562,click,,
2023-11-23 16:18:54.900553,mt,0.915234,comission error
2023-11-23 16:18:55.900209,click,,
2023-11-23 16:18:55.699554,ct,0.999656,correct comission
2023-11-23 16:18:56.501866,ct,,omission error
2023-11-23 16:18:56.834265,click,,
2023-11-23 16:18:57.302931,ct,0.332399,correct comission
2023-11-23 16:18:58.383340,click,,
2023-11-23 16:18:58.106958,ct,1.080409,correct comission
2023-11-23 16:18:59.212047,click,,
2023-11-23 16:18:58.913538,ct,1.105089,correct comission
2023-11-23 16:18:59.714512,ct,,omission error
2023-11-23 16:19:00.129387,click,,
2023-11-23 16:19:00.522087,ct,0.414875,correct comission
2023-11-23 16:19:00.916555,click,,
2023-11-23 16:19:01.328974,ct,0.394468,correct comission
2023-11-23 16:19:01.674338,click,,
2023-11-23 16:19:02.134850,ct,0.345364,correct comission
2023-11-23 16:19:02.530718,click,,
2023-11-23 16:19:02.935952,ct,0.395868,correct comission
2023-11-23 16:19:03.359781,click,,
2023-11-23 16:19:03.747592,ct,0.423829,correct comission
2023-11-23 16:19:04.285158,click,,
2023-11-23 16:19:04.545190,ct,0.537566,correct comission
2023-11-23 16:19:05.344854,click,,
2023-11-23 16:19:05.357476,mt,0.799664,comission error
2023-11-23 16:19:06.245095,click,,
2023-11-23 16:19:06.157005,ct,0.887619,correct comission
2023-11-23 16:19:07.008340,click,,
2023-11-23 16:19:06.964495,ct,0.851335,correct comission
2023-11-23 16:19:07.732433,click,,
2023-11-23 16:19:07.782801,ct,0.767938,correct comission
2023-11-23 16:19:08.513224,click,,
2023-11-23 16:19:08.598315,ct,0.730423,correct comission
2023-11-23 16:19:09.214269,click,,
2023-11-23 16:19:09.402336,ct,0.615954,correct comission
2023-11-23 16:19:09.937988,click,,
2023-11-23 16:19:10.210187,ct,0.535652,correct comission
2023-11-23 16:19:10.596699,click,,
2023-11-23 16:19:11.030783,ct,0.386512,correct comission
2023-11-23 16:19:11.985389,click,,
2023-11-23 16:19:11.830844,ct,0.954606,correct comission
2023-11-23 16:19:12.722827,click,,
2023-11-23 16:19:12.643248,ct,0.891983,correct comission
2023-11-23 16:19:13.518564,click,,
2023-11-23 16:19:13.450338,mt,0.875316,comission error
2023-11-23 16:19:14.565163,click,,
2023-11-23 16:19:14.268052,ct,1.114825,correct comission
2023-11-23 16:19:15.230592,click,,
2023-11-23 16:19:15.067949,ct,0.96254,correct comission
2023-11-23 16:19:15.855580,click,,
2023-11-23 16:19:15.882088,ct,0.787631,correct comission
2023-11-23 16:19:16.737268,click,,
2023-11-23 16:19:16.693529,ct,0.85518,correct comission
2023-11-23 16:19:17.612153,click,,
2023-11-23 16:19:17.494149,ct,0.918624,correct comission
2023-11-23 16:19:18.351835,click,,
2023-11-23 16:19:18.308371,ct,0.857686,correct comission
2023-11-23 16:19:19.164984,click,,
2023-11-23 16:19:19.107753,ct,0.856613,correct comission
2023-11-23 16:19:19.820395,click,,
2023-11-23 16:19:19.924969,ct,0.712642,correct comission
2023-11-23 16:19:20.480901,click,,
2023-11-23 16:19:20.732373,ct,0.555932,correct comission
2023-11-23 16:19:21.155418,click,,
2023-11-23 16:19:21.547601,mt,0.423045,comission error
2023-11-23 16:19:22.469933,click,,
2023-11-23 16:19:22.352621,ct,0.922332,correct comission
