time,tag,tr,flag
2023-11-16 20:17:43.277998,ct,,
2023-11-16 20:17:43.659068,click,,
2023-11-16 20:17:44.057658,ct,0.38107,correct comission
2023-11-16 20:17:44.759984,click,,
2023-11-16 20:17:44.838385,ct,0.702326,correct comission
2023-11-16 20:17:45.444785,click,,
2023-11-16 20:17:45.615984,ct,0.6064,correct comission
2023-11-16 20:17:46.182092,click,,
2023-11-16 20:17:46.395389,mt,0.566108,comission error
2023-11-16 20:17:47.054315,click,,
2023-11-16 20:17:47.175812,ct,0.658926,correct comission
2023-11-16 20:17:47.756405,click,,
2023-11-16 20:17:47.957407,ct,0.580593,correct comission
2023-11-16 20:17:48.637241,click,,
2023-11-16 20:17:48.734264,ct,0.679834,correct comission
2023-11-16 20:17:49.419719,click,,
2023-11-16 20:17:49.511903,ct,0.685455,correct comission
2023-11-16 20:17:50.167279,click,,
2023-11-16 20:17:50.288323,ct,0.655376,correct comission
2023-11-16 20:17:51.067708,ct,,omission error
2023-11-16 20:17:51.741114,click,,
2023-11-16 20:17:51.849520,ct,0.673406,correct comission
2023-11-16 20:17:52.589358,click,,
2023-11-16 20:17:52.626074,ct,0.739838,correct comission
2023-11-16 20:17:53.331363,click,,
2023-11-16 20:17:53.404393,ct,0.705289,correct comission
2023-11-16 20:17:54.270062,click,,
2023-11-16 20:17:54.184778,ct,0.865669,correct comission
2023-11-16 20:17:54.854944,click,,
2023-11-16 20:17:54.964734,ct,0.670166,correct comission
2023-11-16 20:17:55.527715,click,,
2023-11-16 20:17:55.747512,mt,0.562981,comission error
2023-11-16 20:17:56.525999,ct,,omission error
2023-11-16 20:17:57.270263,click,,
2023-11-16 20:17:57.305811,ct,0.744264,correct comission
2023-11-16 20:17:58.086641,click,,
2023-11-16 20:17:58.088948,ct,0.78083,correct comission
2023-11-16 20:17:58.815818,click,,
2023-11-16 20:17:58.866548,mt,0.72687,comission error
2023-11-16 20:17:59.591243,click,,
2023-11-16 20:17:59.646470,ct,0.724695,correct comission
2023-11-16 20:18:00.296112,click,,
2023-11-16 20:18:00.425234,ct,0.649642,correct comission
2023-11-16 20:18:01.084409,click,,
2023-11-16 20:18:01.203955,ct,0.659175,correct comission
2023-11-16 20:18:01.982929,click,,
