time,tag,tr,flag
2023-11-18 15:03:24.459022,ct,,
2023-11-18 15:03:25.176738,click,,
2023-11-18 15:03:25.237539,mt,0.717716,comission error
2023-11-18 15:03:26.026444,click,,
2023-11-18 15:03:26.015300,ct,0.788905,correct comission
2023-11-18 15:03:26.932733,click,,
2023-11-18 15:03:26.793957,ct,0.917433,correct comission
2023-11-18 15:03:27.752207,click,,
2023-11-18 15:03:27.569778,ct,0.95825,correct comission
2023-11-18 15:03:28.505591,click,,
2023-11-18 15:03:28.345153,ct,0.935813,correct comission
2023-11-18 15:03:29.263122,click,,
2023-11-18 15:03:29.125012,ct,0.917969,correct comission
2023-11-18 15:03:30.002900,click,,
2023-11-18 15:03:29.905284,ct,0.877888,correct comission
2023-11-18 15:03:30.779814,click,,
2023-11-18 15:03:30.683965,ct,0.87453,correct comission
2023-11-18 15:03:31.528979,click,,
2023-11-18 15:03:31.464515,ct,0.845014,correct comission
2023-11-18 15:03:32.279612,click,,
2023-11-18 15:03:32.242945,ct,0.815097,correct comission
2023-11-18 15:03:33.118046,click,,
2023-11-18 15:03:33.022294,mt,0.875101,comission error
2023-11-18 15:03:33.802968,ct,,omission error
2023-11-18 15:03:34.743892,click,,
2023-11-18 15:03:34.582157,ct,0.940924,correct comission
2023-11-18 15:03:35.447996,click,,
2023-11-18 15:03:35.358640,ct,0.865839,correct comission
2023-11-18 15:03:36.155170,click,,
2023-11-18 15:03:36.137831,ct,0.79653,correct comission
2023-11-18 15:03:36.915885,ct,,omission error
2023-11-18 15:03:37.249186,click,,
2023-11-18 15:03:37.695303,ct,0.333301,correct comission
2023-11-18 15:03:38.696491,click,,
2023-11-18 15:03:38.474945,ct,1.001188,correct comission
2023-11-18 15:03:39.252397,ct,,omission error
2023-11-18 15:03:39.641491,click,,
2023-11-18 15:03:40.030420,ct,0.389094,correct comission
2023-11-18 15:03:40.917226,click,,
2023-11-18 15:03:40.809967,ct,0.886806,correct comission
2023-11-18 15:03:41.698647,click,,
2023-11-18 15:03:41.591154,mt,0.88868,comission error
2023-11-18 15:03:42.369274,ct,,omission error
2023-11-18 15:03:43.407440,click,,
2023-11-18 15:03:43.149271,ct,1.038166,correct comission
2023-11-18 15:03:44.086965,click,,
2023-11-18 15:03:43.928765,ct,0.937694,correct comission
2023-11-18 15:03:44.794142,click,,
2023-11-18 15:03:44.706168,ct,0.865377,correct comission
2023-11-18 15:03:45.743316,click,,
2023-11-18 15:03:45.484744,ct,1.037148,correct comission
2023-11-18 15:03:46.404014,click,,
2023-11-18 15:03:46.262222,ct,0.91927,correct comission
2023-11-18 15:03:47.202657,click,,
2023-11-18 15:03:47.043155,ct,0.940435,correct comission
2023-11-18 15:03:48.129128,click,,
2023-11-18 15:03:47.822623,ct,1.085973,correct comission
2023-11-18 15:03:48.654372,click,,
2023-11-18 15:03:48.600964,mt,0.831749,comission error
2023-11-18 15:03:49.379442,ct,,omission error
2023-11-18 15:03:50.202554,click,,
2023-11-18 15:03:50.159241,ct,0.823112,correct comission
2023-11-18 15:03:51.120415,click,,
2023-11-18 15:03:50.939548,ct,0.961174,correct comission
2023-11-18 15:03:51.847540,click,,
2023-11-18 15:03:51.718735,ct,0.907992,correct comission
2023-11-18 15:03:52.578625,click,,
2023-11-18 15:03:52.498173,ct,0.85989,correct comission
2023-11-18 15:03:53.368309,click,,
2023-11-18 15:03:53.277421,ct,0.870136,correct comission
2023-11-18 15:03:54.240570,click,,
2023-11-18 15:03:54.053432,ct,0.963149,correct comission
2023-11-18 15:03:55.040400,click,,
2023-11-18 15:03:54.830977,ct,0.986968,correct comission
2023-11-18 15:03:55.706721,click,,
2023-11-18 15:03:55.610149,ct,0.875744,correct comission
2023-11-18 15:03:56.483076,click,,
2023-11-18 15:03:56.386784,ct,0.872927,correct comission
2023-11-18 15:03:57.281254,click,,
2023-11-18 15:03:57.165290,ct,0.89447,correct comission
2023-11-18 15:03:58.103252,click,,
2023-11-18 15:03:57.942695,ct,0.937962,correct comission
2023-11-18 15:03:58.860859,click,,
2023-11-18 15:03:58.722747,ct,0.918164,correct comission
2023-11-18 15:03:59.585165,click,,
2023-11-18 15:03:59.499623,mt,0.862418,comission error
2023-11-18 15:04:00.411633,click,,
2023-11-18 15:04:00.277857,ct,0.91201,correct comission
2023-11-18 15:04:01.185032,click,,
2023-11-18 15:04:01.056570,ct,0.907175,correct comission
2023-11-18 15:04:01.931671,click,,
2023-11-18 15:04:01.835501,ct,0.875101,correct comission
2023-11-18 15:04:02.713622,click,,
2023-11-18 15:04:02.617273,mt,0.878121,comission error
2023-11-18 15:04:03.396266,ct,,omission error
2023-11-18 15:04:04.241517,click,,
2023-11-18 15:04:04.173929,ct,0.845251,correct comission
2023-11-18 15:04:05.146413,click,,
2023-11-18 15:04:04.951490,ct,0.972484,correct comission
2023-11-18 15:04:05.745902,click,,
2023-11-18 15:04:05.729476,ct,0.794412,correct comission
2023-11-18 15:04:06.629059,click,,
2023-11-18 15:04:06.507160,ct,0.899583,correct comission
2023-11-18 15:04:07.285372,ct,,omission error
2023-11-18 15:04:08.150411,click,,
2023-11-18 15:04:08.064362,ct,0.865039,correct comission
2023-11-18 15:04:08.936928,click,,
2023-11-18 15:04:08.840799,ct,0.872566,correct comission
2023-11-18 15:04:09.836838,click,,
2023-11-18 15:04:09.619989,ct,0.996039,correct comission
2023-11-18 15:04:10.429658,click,,
2023-11-18 15:04:10.397132,ct,0.809669,correct comission
2023-11-18 15:04:11.445052,click,,
2023-11-18 15:04:11.175452,ct,1.04792,correct comission
2023-11-18 15:04:12.043639,click,,
2023-11-18 15:04:11.952467,ct,0.868187,correct comission
2023-11-18 15:04:12.763601,click,,
2023-11-18 15:04:12.730950,ct,0.811134,correct comission
2023-11-18 15:04:13.562579,click,,
2023-11-18 15:04:13.509337,ct,0.831629,correct comission
2023-11-18 15:04:14.393801,click,,
2023-11-18 15:04:14.287145,ct,0.884464,correct comission
2023-11-18 15:04:15.042843,click,,
2023-11-18 15:04:15.065201,ct,0.755698,correct comission
2023-11-18 15:04:15.930378,click,,
2023-11-18 15:04:15.844467,ct,0.865177,correct comission
2023-11-18 15:04:16.758897,click,,
2023-11-18 15:04:16.621334,mt,0.91443,comission error
2023-11-18 15:04:17.397861,ct,,omission error
2023-11-18 15:04:18.259387,click,,
2023-11-18 15:04:18.176705,ct,0.861526,correct comission
2023-11-18 15:04:19.034590,click,,
2023-11-18 15:04:18.953252,ct,0.857885,correct comission
2023-11-18 15:04:19.838808,click,,
2023-11-18 15:04:19.728788,ct,0.885556,correct comission
2023-11-18 15:04:20.615778,click,,
2023-11-18 15:04:20.507219,ct,0.88699,correct comission
2023-11-18 15:04:21.330229,click,,
2023-11-18 15:04:21.287999,ct,0.82301,correct comission
2023-11-18 15:04:22.090172,click,,
2023-11-18 15:04:22.068136,ct,0.802173,correct comission
2023-11-18 15:04:22.901807,click,,
2023-11-18 15:04:22.847885,ct,0.833671,correct comission
2023-11-18 15:04:23.777871,click,,
2023-11-18 15:04:23.626910,ct,0.929986,correct comission
2023-11-18 15:04:24.448968,click,,
2023-11-18 15:04:24.405906,ct,0.822058,correct comission
2023-11-18 15:04:25.337389,click,,
2023-11-18 15:04:25.187081,mt,0.931483,comission error
2023-11-18 15:04:26.246433,click,,
2023-11-18 15:04:25.965605,ct,1.059352,correct comission
2023-11-18 15:04:26.775616,click,,
2023-11-18 15:04:26.743318,ct,0.810011,correct comission
2023-11-18 15:04:27.618228,click,,
2023-11-18 15:04:27.522479,ct,0.87491,correct comission
2023-11-18 15:04:28.554733,click,,
2023-11-18 15:04:28.300303,ct,1.032254,correct comission
2023-11-18 15:04:29.184634,click,,
2023-11-18 15:04:29.077545,mt,0.884331,comission error
2023-11-18 15:04:29.858438,ct,,omission error
2023-11-18 15:04:30.726735,click,,
2023-11-18 15:04:30.640684,ct,0.868297,correct comission
2023-11-18 15:04:31.496485,click,,
2023-11-18 15:04:31.421253,ct,0.855801,correct comission
2023-11-18 15:04:32.307902,click,,
2023-11-18 15:04:32.200545,ct,0.886649,correct comission
2023-11-18 15:04:33.016001,click,,
2023-11-18 15:04:32.983614,ct,0.815456,correct comission
2023-11-18 15:04:33.851140,click,,
2023-11-18 15:04:33.764640,ct,0.867526,correct comission
2023-11-18 15:04:34.683586,click,,
2023-11-18 15:04:34.543248,ct,0.918946,correct comission
2023-11-18 15:04:35.483649,click,,
2023-11-18 15:04:35.322716,ct,0.940401,correct comission
2023-11-18 15:04:36.370324,click,,
2023-11-18 15:04:36.100186,ct,1.047608,correct comission
2023-11-18 15:04:37.106278,click,,
2023-11-18 15:04:36.879661,ct,1.006092,correct comission
2023-11-18 15:04:37.916025,click,,
2023-11-18 15:04:37.661180,mt,1.036364,comission error
2023-11-18 15:04:38.440701,ct,,omission error
2023-11-18 15:04:39.360190,click,,
2023-11-18 15:04:39.222021,ct,0.919489,correct comission
2023-11-18 15:04:40.129454,click,,
2023-11-18 15:04:40.004446,ct,0.907433,correct comission
2023-11-18 15:04:40.879014,click,,
2023-11-18 15:04:40.784213,ct,0.874568,correct comission
2023-11-18 15:04:41.564553,ct,,omission error
2023-11-18 15:04:42.320688,click,,
2023-11-18 15:04:42.343907,ct,0.756135,correct comission
2023-11-18 15:04:43.259684,click,,
2023-11-18 15:04:43.122188,mt,0.915777,comission error
2023-11-18 15:04:43.902618,ct,,omission error
2023-11-18 15:04:44.631961,click,,
2023-11-18 15:04:44.680708,ct,0.729343,correct comission
2023-11-18 15:04:45.558639,click,,
2023-11-18 15:04:45.460515,ct,0.877931,correct comission
2023-11-18 15:04:46.285349,click,,
2023-11-18 15:04:46.242154,ct,0.824834,correct comission
2023-11-18 15:04:47.108281,click,,
2023-11-18 15:04:47.023489,ct,0.866127,correct comission
2023-11-18 15:04:47.801730,ct,,omission error
2023-11-18 15:04:48.505895,click,,
2023-11-18 15:04:48.585158,ct,0.704165,correct comission
2023-11-18 15:04:49.396339,click,,
2023-11-18 15:04:49.364103,ct,0.811181,correct comission
2023-11-18 15:04:50.142646,click,,
2023-11-18 15:04:50.143955,ct,0.778543,correct comission
2023-11-18 15:04:51.063890,click,,
2023-11-18 15:04:50.924008,ct,0.919935,correct comission
2023-11-18 15:04:51.713538,click,,
2023-11-18 15:04:51.700491,ct,0.78953,correct comission
2023-11-18 15:04:52.446323,click,,
2023-11-18 15:04:52.482111,ct,0.745832,correct comission
2023-11-18 15:04:53.227229,click,,
2023-11-18 15:04:53.261014,ct,0.745118,correct comission
2023-11-18 15:04:54.268951,click,,
2023-11-18 15:04:54.040948,ct,1.007937,correct comission
2023-11-18 15:04:54.810048,click,,
2023-11-18 15:04:54.822569,ct,0.7691,correct comission
2023-11-18 15:04:55.625630,click,,
2023-11-18 15:04:55.603630,ct,0.803061,correct comission
2023-11-18 15:04:56.304984,click,,
2023-11-18 15:04:56.382594,mt,0.701354,comission error
2023-11-18 15:04:57.162364,ct,,omission error
2023-11-18 15:04:58.080898,click,,
2023-11-18 15:04:57.943344,ct,0.918534,correct comission
2023-11-18 15:04:58.693771,click,,
2023-11-18 15:04:58.721804,ct,0.750427,correct comission
2023-11-18 15:04:59.607357,click,,
2023-11-18 15:04:59.501212,ct,0.885553,correct comission
2023-11-18 15:05:00.398323,click,,
2023-11-18 15:05:00.280392,ct,0.897111,correct comission
2023-11-18 15:05:01.123730,click,,
2023-11-18 15:05:01.057923,ct,0.843338,correct comission
2023-11-18 15:05:01.837206,ct,,omission error
2023-11-18 15:05:02.259113,click,,
2023-11-18 15:05:02.616934,mt,0.421907,comission error
2023-11-18 15:05:03.395913,ct,,omission error
2023-11-18 15:05:04.251691,click,,
2023-11-18 15:05:04.176691,ct,0.855778,correct comission
2023-11-18 15:05:05.065603,click,,
2023-11-18 15:05:04.956007,ct,0.888912,correct comission
2023-11-18 15:05:05.831494,click,,
2023-11-18 15:05:05.735580,ct,0.875487,correct comission
2023-11-18 15:05:06.603767,click,,
2023-11-18 15:05:06.513928,mt,0.868187,comission error
2023-11-18 15:05:07.292124,ct,,omission error
2023-11-18 15:05:08.209990,click,,
2023-11-18 15:05:08.070385,ct,0.917866,correct comission
2023-11-18 15:05:08.905925,click,,
2023-11-18 15:05:08.848041,ct,0.83554,correct comission
2023-11-18 15:05:09.722247,click,,
2023-11-18 15:05:09.626397,ct,0.874206,correct comission
2023-11-18 15:05:10.417566,click,,
2023-11-18 15:05:10.406294,ct,0.791169,correct comission
2023-11-18 15:05:11.272326,click,,
2023-11-18 15:05:11.184775,ct,0.866032,correct comission
2023-11-18 15:05:12.076346,click,,
2023-11-18 15:05:11.963968,ct,0.891571,correct comission
2023-11-18 15:05:13.055847,click,,
2023-11-18 15:05:12.743408,ct,1.091879,correct comission
2023-11-18 15:05:13.644080,click,,
2023-11-18 15:05:13.522851,ct,0.900672,correct comission
2023-11-18 15:05:14.401889,click,,
2023-11-18 15:05:14.302201,ct,0.879038,correct comission
2023-11-18 15:05:15.187524,click,,
2023-11-18 15:05:15.081069,ct,0.885323,correct comission
2023-11-18 15:05:15.924501,click,,
2023-11-18 15:05:15.860165,ct,0.843432,correct comission
2023-11-18 15:05:16.798301,click,,
2023-11-18 15:05:16.639580,ct,0.938136,correct comission
2023-11-18 15:05:17.418362,click,,
2023-11-18 15:05:17.418612,mt,0.778782,comission error
2023-11-18 15:05:18.197386,ct,,omission error
2023-11-18 15:05:19.001439,click,,
2023-11-18 15:05:18.975676,ct,0.804053,correct comission
2023-11-18 15:05:19.831936,click,,
2023-11-18 15:05:19.756086,ct,0.85626,correct comission
2023-11-18 15:05:20.607227,click,,
2023-11-18 15:05:20.539357,ct,0.851141,correct comission
2023-11-18 15:05:21.317593,ct,,omission error
2023-11-18 15:05:22.095141,ct,,omission error
2023-11-18 15:05:22.786764,click,,
2023-11-18 15:05:22.874632,ct,0.691623,correct comission
2023-11-18 15:05:23.653229,ct,,omission error
2023-11-18 15:05:24.102051,click,,
2023-11-18 15:05:24.430326,ct,0.448822,correct comission
2023-11-18 15:05:24.805145,click,,
2023-11-18 15:05:25.207526,ct,0.374819,correct comission
2023-11-18 15:05:26.197259,click,,
2023-11-18 15:05:25.986977,mt,0.989733,comission error
2023-11-18 15:05:27.039262,click,,
2023-11-18 15:05:26.764751,ct,1.052285,correct comission
2023-11-18 15:05:27.541172,ct,,omission error
2023-11-18 15:05:27.921871,click,,
2023-11-18 15:05:28.319149,ct,0.380699,correct comission
2023-11-18 15:05:28.721368,click,,
2023-11-18 15:05:29.100147,ct,0.402219,correct comission
2023-11-18 15:05:30.065908,click,,
2023-11-18 15:05:29.879238,ct,0.965761,correct comission
2023-11-18 15:05:30.655714,ct,,omission error
2023-11-18 15:05:31.009942,click,,
2023-11-18 15:05:31.435080,ct,0.354228,correct comission
2023-11-18 15:05:32.464123,click,,
2023-11-18 15:05:32.215594,ct,1.029043,correct comission
2023-11-18 15:05:33.257829,click,,
2023-11-18 15:05:32.994513,ct,1.042235,correct comission
2023-11-18 15:05:33.851917,click,,
2023-11-18 15:05:33.774136,ct,0.857404,correct comission
2023-11-18 15:05:34.650591,click,,
2023-11-18 15:05:34.552157,ct,0.876455,correct comission
2023-11-18 15:05:35.619664,click,,
2023-11-18 15:05:35.330105,mt,1.067507,comission error
2023-11-18 15:05:36.107782,ct,,omission error
2023-11-18 15:05:37.035914,click,,
2023-11-18 15:05:36.885796,ct,0.928132,correct comission
2023-11-18 15:05:37.707914,click,,
2023-11-18 15:05:37.665192,ct,0.822118,correct comission
2023-11-18 15:05:38.571490,click,,
2023-11-18 15:05:38.444657,ct,0.906298,correct comission
2023-11-18 15:05:39.368494,click,,
2023-11-18 15:05:39.223131,ct,0.923837,correct comission
2023-11-18 15:05:40.119302,click,,
2023-11-18 15:05:40.003416,ct,0.896171,correct comission
2023-11-18 15:05:40.862480,click,,
2023-11-18 15:05:40.781072,ct,0.859064,correct comission
2023-11-18 15:05:41.559777,ct,,omission error
2023-11-18 15:05:42.002221,click,,
2023-11-18 15:05:42.339318,ct,0.442444,correct comission
2023-11-18 15:05:43.310800,click,,
2023-11-18 15:05:43.117019,mt,0.971482,comission error
2023-11-18 15:05:43.897912,ct,,omission error
2023-11-18 15:05:44.805638,click,,
2023-11-18 15:05:44.677322,ct,0.907726,correct comission
2023-11-18 15:05:45.457600,ct,,omission error
2023-11-18 15:05:45.959031,click,,
2023-11-18 15:05:46.236995,ct,0.501431,correct comission
2023-11-18 15:05:47.103278,click,,
2023-11-18 15:05:47.015856,mt,0.866283,comission error
2023-11-18 15:05:48.013262,click,,
2023-11-18 15:05:47.794402,ct,0.997406,correct comission
2023-11-18 15:05:48.755832,click,,
2023-11-18 15:05:48.575172,ct,0.96143,correct comission
2023-11-18 15:05:49.545780,click,,
2023-11-18 15:05:49.355300,ct,0.970608,correct comission
2023-11-18 15:05:50.341714,click,,
2023-11-18 15:05:50.134031,ct,0.986414,correct comission
2023-11-18 15:05:51.098298,click,,
2023-11-18 15:05:50.912482,ct,0.964267,correct comission
2023-11-18 15:05:51.820841,click,,
2023-11-18 15:05:51.693928,ct,0.908359,correct comission
2023-11-18 15:05:52.594619,click,,
2023-11-18 15:05:52.473246,mt,0.900691,comission error
2023-11-18 15:05:53.345390,click,,
2023-11-18 15:05:53.253430,ct,0.872144,correct comission
2023-11-18 15:05:54.031935,ct,,omission error
2023-11-18 15:05:54.369773,click,,
2023-11-18 15:05:54.810920,ct,0.337838,correct comission
2023-11-18 15:05:55.655986,click,,
2023-11-18 15:05:55.590360,ct,0.845066,correct comission
2023-11-18 15:05:56.488981,click,,
2023-11-18 15:05:56.371724,ct,0.898621,correct comission
2023-11-18 15:05:57.274326,click,,
2023-11-18 15:05:57.151528,ct,0.902602,correct comission
2023-11-18 15:05:58.090259,click,,
2023-11-18 15:05:57.928919,ct,0.938731,correct comission
2023-11-18 15:05:58.812107,click,,
2023-11-18 15:05:58.708926,ct,0.883188,correct comission
2023-11-18 15:05:59.634225,click,,
2023-11-18 15:05:59.485867,mt,0.925299,comission error
2023-11-18 15:06:00.265257,ct,,omission error
2023-11-18 15:06:01.123738,click,,
2023-11-18 15:06:01.044303,ct,0.858481,correct comission
2023-11-18 15:06:01.867843,click,,
2023-11-18 15:06:01.824694,ct,0.82354,correct comission
2023-11-18 15:06:02.612011,click,,
2023-11-18 15:06:02.603818,ct,0.787317,correct comission
2023-11-18 15:06:03.417615,click,,
2023-11-18 15:06:03.382755,ct,0.813797,correct comission
2023-11-18 15:06:04.256986,click,,
2023-11-18 15:06:04.160312,ct,0.874231,correct comission
2023-11-18 15:06:04.935835,ct,,omission error
2023-11-18 15:06:05.267616,click,,
2023-11-18 15:06:05.713911,ct,0.331781,correct comission
2023-11-18 15:06:06.468479,click,,
2023-11-18 15:06:06.493235,ct,0.754568,correct comission
2023-11-18 15:06:07.248429,click,,
2023-11-18 15:06:07.271412,ct,0.755194,correct comission
2023-11-18 15:06:08.140409,click,,
2023-11-18 15:06:08.050985,ct,0.868997,correct comission
2023-11-18 15:06:08.958800,click,,
2023-11-18 15:06:08.829599,ct,0.907815,correct comission
2023-11-18 15:06:09.642536,click,,
2023-11-18 15:06:09.609495,ct,0.812937,correct comission
2023-11-18 15:06:10.410397,click,,
2023-11-18 15:06:10.388857,ct,0.800902,correct comission
2023-11-18 15:06:11.244045,click,,
2023-11-18 15:06:11.168633,ct,0.855188,correct comission
2023-11-18 15:06:12.000303,click,,
2023-11-18 15:06:11.947068,ct,0.83167,correct comission
2023-11-18 15:06:12.859793,click,,
2023-11-18 15:06:12.727171,ct,0.912725,correct comission
2023-11-18 15:06:13.539226,click,,
2023-11-18 15:06:13.506527,ct,0.812055,correct comission
2023-11-18 15:06:14.435813,click,,
2023-11-18 15:06:14.286559,mt,0.929286,comission error
2023-11-18 15:06:15.064616,ct,,omission error
2023-11-18 15:06:15.969183,click,,
2023-11-18 15:06:15.842429,ct,0.904567,correct comission
2023-11-18 15:06:16.690374,click,,
2023-11-18 15:06:16.622110,ct,0.847945,correct comission
2023-11-18 15:06:17.417499,click,,
2023-11-18 15:06:17.401495,ct,0.795389,correct comission
2023-11-18 15:06:18.248860,click,,
2023-11-18 15:06:18.178960,ct,0.847365,correct comission
2023-11-18 15:06:19.120495,click,,
2023-11-18 15:06:18.957827,ct,0.941535,correct comission
2023-11-18 15:06:20.003783,click,,
2023-11-18 15:06:19.733949,ct,1.045956,correct comission
2023-11-18 15:06:20.719618,click,,
2023-11-18 15:06:20.512261,ct,0.985669,correct comission
2023-11-18 15:06:21.458441,click,,
2023-11-18 15:06:21.289223,ct,0.94618,correct comission
2023-11-18 15:06:22.105580,click,,
2023-11-18 15:06:22.066268,mt,0.816357,comission error
2023-11-18 15:06:22.835265,click,,
2023-11-18 15:06:22.844749,ct,0.768997,correct comission
2023-11-18 15:06:23.548453,click,,
2023-11-18 15:06:23.625899,ct,0.703704,correct comission
2023-11-18 15:06:24.596962,click,,
2023-11-18 15:06:24.403842,mt,0.971063,comission error
2023-11-18 15:06:25.182509,ct,,omission error
2023-11-18 15:06:26.135277,click,,
2023-11-18 15:06:25.960449,ct,0.952768,correct comission
2023-11-18 15:06:26.877493,click,,
2023-11-18 15:06:26.737455,ct,0.917044,correct comission
2023-11-18 15:06:27.581150,click,,
2023-11-18 15:06:27.516049,ct,0.843695,correct comission
2023-11-18 15:06:28.466426,click,,
2023-11-18 15:06:28.296518,ct,0.950377,correct comission
2023-11-18 15:06:29.205578,click,,
2023-11-18 15:06:29.073230,ct,0.90906,correct comission
2023-11-18 15:06:29.947636,click,,
2023-11-18 15:06:29.851362,ct,0.874406,correct comission
2023-11-18 15:06:30.667622,click,,
2023-11-18 15:06:30.633421,ct,0.81626,correct comission
2023-11-18 15:06:31.632607,click,,
2023-11-18 15:06:31.414451,ct,0.999186,correct comission
2023-11-18 15:06:32.259286,click,,
2023-11-18 15:06:32.195232,mt,0.844835,comission error
2023-11-18 15:06:33.009832,click,,
2023-11-18 15:06:32.973233,ct,0.8146,correct comission
2023-11-18 15:06:33.982254,click,,
2023-11-18 15:06:33.754105,ct,1.009021,correct comission
2023-11-18 15:06:34.673050,click,,
2023-11-18 15:06:34.533621,ct,0.918945,correct comission
2023-11-18 15:06:35.436422,click,,
2023-11-18 15:06:35.316953,ct,0.902801,correct comission
2023-11-18 15:06:36.291482,click,,
2023-11-18 15:06:36.097976,ct,0.974529,correct comission
2023-11-18 15:06:36.994661,click,,
2023-11-18 15:06:36.877610,ct,0.896685,correct comission
2023-11-18 15:06:37.681691,click,,
2023-11-18 15:06:37.654854,ct,0.804081,correct comission
2023-11-18 15:06:38.376964,click,,
2023-11-18 15:06:38.434029,ct,0.72211,correct comission
2023-11-18 15:06:39.276150,click,,
2023-11-18 15:06:39.211467,ct,0.842121,correct comission
2023-11-18 15:06:40.108130,click,,
2023-11-18 15:06:39.990781,ct,0.896663,correct comission
2023-11-18 15:06:40.826615,click,,
2023-11-18 15:06:40.773308,ct,0.835834,correct comission
2023-11-18 15:06:41.575664,click,,
2023-11-18 15:06:41.554330,ct,0.802356,correct comission
2023-11-18 15:06:42.332101,ct,,omission error
2023-11-18 15:06:42.701959,click,,
2023-11-18 15:06:43.112541,ct,0.369858,correct comission
2023-11-18 15:06:44.008830,click,,
2023-11-18 15:06:43.892127,ct,0.896289,correct comission
