time,tag,tr,flag
2023-11-18 14:34:06.558513,ct,,
2023-11-18 14:34:07.176300,click,,
2023-11-18 14:34:07.338545,ct,0.617787,correct comission
2023-11-18 14:34:07.900733,click,,
2023-11-18 14:34:08.118747,ct,0.562188,correct comission
2023-11-18 14:34:08.552957,click,,
2023-11-18 14:34:08.899835,mt,0.43421,comission error
2023-11-18 14:34:09.526850,click,,
2023-11-18 14:34:09.678351,ct,0.627015,correct comission
2023-11-18 14:34:10.402229,click,,
2023-11-18 14:34:10.459180,ct,0.723878,correct comission
2023-11-18 14:34:11.108250,click,,
2023-11-18 14:34:11.238322,ct,0.64907,correct comission
2023-11-18 14:34:12.032216,click,,
2023-11-18 14:34:12.020889,ct,0.793894,correct comission
2023-11-18 14:34:12.744672,click,,
2023-11-18 14:34:12.801636,ct,0.723783,correct comission
2023-11-18 14:34:13.518596,click,,
2023-11-18 14:34:13.583585,ct,0.71696,correct comission
2023-11-18 14:34:14.255772,click,,
2023-11-18 14:34:14.364775,ct,0.672187,correct comission
2023-11-18 14:34:15.013424,click,,
2023-11-18 14:34:15.143988,ct,0.648649,correct comission
2023-11-18 14:34:15.648118,click,,
2023-11-18 14:34:15.922873,ct,0.50413,correct comission
2023-11-18 14:34:16.418212,click,,
2023-11-18 14:34:16.702356,ct,0.495339,correct comission
2023-11-18 14:34:17.210453,click,,
2023-11-18 14:34:17.482713,ct,0.508097,correct comission
2023-11-18 14:34:17.979204,click,,
2023-11-18 14:34:18.264850,ct,0.496491,correct comission
2023-11-18 14:34:18.865443,click,,
2023-11-18 14:34:19.044186,mt,0.600593,comission error
2023-11-18 14:34:19.803362,click,,
2023-11-18 14:34:19.823445,ct,0.759176,correct comission
2023-11-18 14:34:20.577190,click,,
2023-11-18 14:34:20.602994,ct,0.753745,correct comission
2023-11-18 14:34:21.326713,click,,
2023-11-18 14:34:21.384205,ct,0.723719,correct comission
2023-11-18 14:34:22.373606,click,,
2023-11-18 14:34:22.166147,ct,0.989401,correct comission
2023-11-18 14:34:22.873453,click,,
2023-11-18 14:34:22.948279,ct,0.707306,correct comission
2023-11-18 14:34:23.729142,ct,,omission error
2023-11-18 14:34:24.053049,click,,
2023-11-18 14:34:24.508891,ct,0.323907,correct comission
2023-11-18 14:34:25.190665,click,,
2023-11-18 14:34:25.290878,ct,0.681774,correct comission
2023-11-18 14:34:25.941774,click,,
2023-11-18 14:34:26.071736,ct,0.650896,correct comission
2023-11-18 14:34:26.755649,click,,
2023-11-18 14:34:26.848971,mt,0.683913,comission error
2023-11-18 14:34:27.388249,click,,
2023-11-18 14:34:27.630617,ct,0.539278,correct comission
2023-11-18 14:34:28.316160,click,,
2023-11-18 14:34:28.412851,ct,0.685543,correct comission
2023-11-18 14:34:29.053110,click,,
2023-11-18 14:34:29.194765,mt,0.640259,comission error
2023-11-18 14:34:29.976364,ct,,omission error
2023-11-18 14:34:30.495731,click,,
2023-11-18 14:34:30.756123,ct,0.519367,correct comission
2023-11-18 14:34:31.374955,click,,
2023-11-18 14:34:31.534116,ct,0.618832,correct comission
2023-11-18 14:34:32.117031,click,,
2023-11-18 14:34:32.314604,ct,0.582915,correct comission
2023-11-18 14:34:32.898095,click,,
2023-11-18 14:34:33.094239,ct,0.583491,correct comission
2023-11-18 14:34:33.788052,click,,
2023-11-18 14:34:33.875482,ct,0.693813,correct comission
