time,tag,tr,flag
2023-11-17 15:10:07.888290,ct,,
2023-11-17 15:10:08.668985,ct,,omission error
2023-11-17 15:10:09.448353,ct,,omission error
2023-11-17 15:10:10.356347,click,,
2023-11-17 15:10:10.227443,ct,0.907994,correct comission
2023-11-17 15:10:11.147713,click,,
2023-11-17 15:10:11.005960,ct,0.92027,correct comission
2023-11-17 15:10:11.996878,click,,
2023-11-17 15:10:11.786203,ct,0.990918,correct comission
2023-11-17 15:10:12.639375,click,,
2023-11-17 15:10:12.565083,ct,0.853172,correct comission
2023-11-17 15:10:13.340942,click,,
2023-11-17 15:10:13.342604,ct,0.775859,correct comission
2023-11-17 15:10:14.220939,click,,
2023-11-17 15:10:14.122532,mt,0.878335,comission error
2023-11-17 15:10:14.901911,ct,,omission error
2023-11-17 15:10:15.686333,click,,
2023-11-17 15:10:15.679183,ct,0.784422,correct comission
2023-11-17 15:10:16.460747,click,,
2023-11-17 15:10:16.456883,ct,0.781564,correct comission
2023-11-17 15:10:17.237200,ct,,omission error
2023-11-17 15:10:17.939796,click,,
2023-11-17 15:10:18.017301,mt,0.702596,comission error
2023-11-17 15:10:18.796226,click,,
2023-11-17 15:10:18.797676,ct,0.778925,correct comission
2023-11-17 15:10:19.576210,click,,
2023-11-17 15:10:19.577858,ct,0.778534,correct comission
2023-11-17 15:10:20.330903,click,,
2023-11-17 15:10:20.356120,ct,0.753045,correct comission
2023-11-17 15:10:21.304246,click,,
2023-11-17 15:10:21.133937,ct,0.948126,correct comission
2023-11-17 15:10:22.125066,click,,
2023-11-17 15:10:21.914003,ct,0.991129,correct comission
2023-11-17 15:10:22.876042,click,,
2023-11-17 15:10:22.693596,ct,0.962039,correct comission
2023-11-17 15:10:23.788518,click,,
2023-11-17 15:10:23.471408,ct,1.094922,correct comission
2023-11-17 15:10:24.334528,click,,
2023-11-17 15:10:24.248446,ct,0.86312,correct comission
2023-11-17 15:10:25.105040,click,,
2023-11-17 15:10:25.030174,ct,0.856594,correct comission
2023-11-17 15:10:25.905799,click,,
2023-11-17 15:10:25.808699,ct,0.875625,correct comission
2023-11-17 15:10:26.807211,click,,
2023-11-17 15:10:26.590777,ct,0.998512,correct comission
2023-11-17 15:10:27.503496,click,,
2023-11-17 15:10:27.373655,ct,0.912719,correct comission
2023-11-17 15:10:28.322583,click,,
2023-11-17 15:10:28.151988,ct,0.948928,correct comission
2023-11-17 15:10:29.093730,click,,
2023-11-17 15:10:28.931407,ct,0.941742,correct comission
2023-11-17 15:10:30.011537,click,,
2023-11-17 15:10:29.710717,mt,1.08013,comission error
2023-11-17 15:10:30.489136,ct,,omission error
