time,tag,tr,flag
2023-11-18 12:20:01.743578,ct,,
2023-11-18 12:20:02.338637,click,,
2023-11-18 12:20:02.519968,ct,0.595059,correct comission
2023-11-18 12:20:03.251850,click,,
2023-11-18 12:20:03.294047,ct,0.731882,correct comission
2023-11-18 12:20:04.016510,click,,
2023-11-18 12:20:04.070812,ct,0.722463,correct comission
2023-11-18 12:20:04.900302,click,,
2023-11-18 12:20:04.846454,ct,0.82949,correct comission
2023-11-18 12:20:05.794210,click,,
2023-11-18 12:20:05.622490,ct,0.947756,correct comission
2023-11-18 12:20:06.422036,click,,
2023-11-18 12:20:06.400757,ct,0.799546,correct comission
2023-11-18 12:20:07.254166,click,,
2023-11-18 12:20:07.177671,mt,0.853409,comission error
2023-11-18 12:20:07.954395,ct,,omission error
2023-11-18 12:20:08.450874,click,,
2023-11-18 12:20:08.731549,ct,0.496479,correct comission
2023-11-18 12:20:09.280863,click,,
2023-11-18 12:20:09.508172,ct,0.549314,correct comission
2023-11-18 12:20:10.273258,click,,
2023-11-18 12:20:10.283846,ct,0.765086,correct comission
2023-11-18 12:20:10.920560,click,,
2023-11-18 12:20:11.060587,ct,0.636714,correct comission
2023-11-18 12:20:11.696888,click,,
2023-11-18 12:20:11.837078,ct,0.636301,correct comission
2023-11-18 12:20:12.447887,click,,
2023-11-18 12:20:12.611988,ct,0.610809,correct comission
2023-11-18 12:20:13.247939,click,,
2023-11-18 12:20:13.387259,mt,0.635951,comission error
2023-11-18 12:20:14.467938,click,,
2023-11-18 12:20:14.167065,ct,1.080679,correct comission
2023-11-18 12:20:14.945392,ct,,omission error
2023-11-18 12:20:15.471930,click,,
2023-11-18 12:20:15.720053,ct,0.526538,correct comission
2023-11-18 12:20:16.451837,click,,
2023-11-18 12:20:16.496953,ct,0.731784,correct comission
2023-11-18 12:20:17.271323,ct,,omission error
2023-11-18 12:20:17.704204,click,,
2023-11-18 12:20:18.045745,mt,0.432881,comission error
2023-11-18 12:20:18.551633,click,,
2023-11-18 12:20:18.822679,ct,0.505888,correct comission
2023-11-18 12:20:19.528433,click,,
2023-11-18 12:20:19.598971,ct,0.705754,correct comission
2023-11-18 12:20:20.287356,click,,
2023-11-18 12:20:20.375761,ct,0.688385,correct comission
2023-11-18 12:20:21.086444,click,,
2023-11-18 12:20:21.153406,ct,0.710683,correct comission
2023-11-18 12:20:21.992491,click,,
2023-11-18 12:20:21.928826,ct,0.839085,correct comission
2023-11-18 12:20:22.707314,ct,,omission error
2023-11-18 12:20:23.258981,click,,
2023-11-18 12:20:23.484884,ct,0.551667,correct comission
2023-11-18 12:20:24.066136,click,,
2023-11-18 12:20:24.260595,ct,0.581252,correct comission
2023-11-18 12:20:24.742586,click,,
2023-11-18 12:20:25.037872,ct,0.481991,correct comission
2023-11-18 12:20:25.543960,click,,
2023-11-18 12:20:25.815256,ct,0.506088,correct comission
2023-11-18 12:20:26.273215,click,,
2023-11-18 12:20:26.594771,ct,0.457959,correct comission
2023-11-18 12:20:27.370905,ct,,omission error
2023-11-18 12:20:28.036127,click,,
2023-11-18 12:20:28.146489,mt,0.665222,comission error
2023-11-18 12:20:28.741623,click,,
2023-11-18 12:20:28.923592,ct,0.595134,correct comission
2023-11-18 12:20:29.660060,click,,
2023-11-18 12:20:29.700613,ct,0.736468,correct comission
2023-11-18 12:20:30.784515,click,,
2023-11-18 12:20:30.477416,ct,1.083902,correct comission
2023-11-18 12:20:31.251979,ct,,omission error
2023-11-18 12:20:31.866399,click,,
2023-11-18 12:20:32.029308,mt,0.61442,comission error
2023-11-18 12:20:32.805908,ct,,omission error
2023-11-18 12:20:33.417718,click,,
2023-11-18 12:20:33.579427,ct,0.61181,correct comission
2023-11-18 12:20:34.238181,click,,
2023-11-18 12:20:34.355912,ct,0.658754,correct comission
2023-11-18 12:20:35.098897,click,,
2023-11-18 12:20:35.131528,ct,0.742985,correct comission
2023-11-18 12:20:35.908938,click,,
2023-11-18 12:20:35.909810,ct,0.77741,correct comission
2023-11-18 12:20:36.596183,click,,
2023-11-18 12:20:36.685733,ct,0.686373,correct comission
2023-11-18 12:20:37.532371,click,,
2023-11-18 12:20:37.462369,ct,0.846638,correct comission
2023-11-18 12:20:38.239725,ct,,omission error
2023-11-18 12:20:39.014769,ct,,omission error
2023-11-18 12:20:39.515375,click,,
2023-11-18 12:20:39.792846,ct,0.500606,correct comission
2023-11-18 12:20:40.568640,ct,,omission error
2023-11-18 12:20:41.019235,click,,
2023-11-18 12:20:41.343953,ct,0.450595,correct comission
2023-11-18 12:20:42.370553,click,,
2023-11-18 12:20:42.121356,mt,1.0266,comission error
2023-11-18 12:20:42.899292,ct,,omission error
2023-11-18 12:20:43.468354,click,,
