time,tag,tr,flag
2023-11-16 19:03:14.441705,ct,,
2023-11-16 19:03:15.318579,click,,
2023-11-16 19:03:15.221653,mt,0.876874,comission error
2023-11-16 19:03:16.000210,ct,,omission error
2023-11-16 19:03:16.443148,click,,
2023-11-16 19:03:16.782015,ct,0.442938,correct comission
2023-11-16 19:03:17.617835,click,,
2023-11-16 19:03:17.560447,ct,0.83582,correct comission
2023-11-16 19:03:18.340145,ct,,omission error
2023-11-16 19:03:19.105450,click,,
2023-11-16 19:03:19.119715,ct,0.765305,correct comission
2023-11-16 19:03:20.137383,click,,
2023-11-16 19:03:19.899225,ct,1.017668,correct comission
2023-11-16 19:03:20.680601,ct,,omission error
2023-11-16 19:03:21.134585,click,,
2023-11-16 19:03:21.458560,ct,0.453984,correct comission
2023-11-16 19:03:21.945375,click,,
2023-11-16 19:03:22.239877,ct,0.486815,correct comission
2023-11-16 19:03:22.911737,click,,
2023-11-16 19:03:23.020190,ct,0.67186,correct comission
2023-11-16 19:03:23.799991,ct,,omission error
2023-11-16 19:03:24.438625,click,,
2023-11-16 19:03:24.579713,ct,0.638634,correct comission
2023-11-16 19:03:25.310935,click,,
2023-11-16 19:03:25.356892,mt,0.731222,comission error
2023-11-16 19:03:26.136452,ct,,omission error
2023-11-16 19:03:26.859511,click,,
2023-11-16 19:03:26.915104,ct,0.723059,correct comission
2023-11-16 19:03:27.817652,click,,
2023-11-16 19:03:27.696822,ct,0.902548,correct comission
2023-11-16 19:03:28.473615,ct,,omission error
2023-11-16 19:03:29.189763,click,,
2023-11-16 19:03:29.254561,ct,0.716148,correct comission
2023-11-16 19:03:29.926118,click,,
2023-11-16 19:03:30.035193,ct,0.671557,correct comission
2023-11-16 19:03:30.814380,mt,,correct omission
2023-11-16 19:03:31.364467,click,,
2023-11-16 19:03:31.593442,ct,0.550087,correct comission
2023-11-16 19:03:32.374861,ct,,omission error
2023-11-16 19:03:32.721554,click,,
2023-11-16 19:03:33.154461,ct,0.346693,correct comission
2023-11-16 19:03:33.762487,click,,
2023-11-16 19:03:33.935473,ct,0.608026,correct comission
2023-11-16 19:03:34.921987,click,,
2023-11-16 19:03:34.715858,ct,0.986514,correct comission
2023-11-16 19:03:35.494970,ct,,omission error
2023-11-16 19:03:36.402626,click,,
2023-11-16 19:03:36.273217,ct,0.907656,correct comission
