time,tag,tr,flag
2023-11-16 14:42:48.594104,ct,,
2023-11-16 14:42:49.086963,click,,
2023-11-16 14:42:49.407688,ct,0.492859,correct comission
2023-11-16 14:42:49.759137,click,,
2023-11-16 14:42:50.211043,mt,0.351449,comission error
2023-11-16 14:42:51.249411,click,,
2023-11-16 14:42:51.014293,ct,1.038368,correct comission
2023-11-16 14:42:51.825756,click,,
2023-11-16 14:42:51.813464,ct,0.811463,correct comission
2023-11-16 14:42:52.511931,click,,
2023-11-16 14:42:52.614852,ct,0.698467,correct comission
2023-11-16 14:42:53.367521,click,,
2023-11-16 14:42:53.421320,ct,0.752669,correct comission
2023-11-16 14:42:54.487304,click,,
2023-11-16 14:42:54.217842,ct,1.065984,correct comission
2023-11-16 14:42:54.942544,click,,
2023-11-16 14:42:55.016487,ct,0.724702,correct comission
2023-11-16 14:42:55.687404,click,,
2023-11-16 14:42:55.825468,ct,0.670917,correct comission
2023-11-16 14:42:56.469760,click,,
2023-11-16 14:42:56.626557,ct,0.644292,correct comission
2023-11-16 14:42:57.228767,click,,
2023-11-16 14:42:57.436071,ct,0.60221,correct comission
2023-11-16 14:42:58.132424,click,,
2023-11-16 14:42:58.244626,ct,0.696353,correct comission
2023-11-16 14:42:58.859032,click,,
2023-11-16 14:42:59.058496,mt,0.614406,comission error
2023-11-16 14:42:59.862781,ct,,omission error
2023-11-16 14:43:00.383349,click,,
2023-11-16 14:43:00.662936,ct,0.520568,correct comission
2023-11-16 14:43:01.377735,click,,
2023-11-16 14:43:01.468090,ct,0.714799,correct comission
2023-11-16 14:43:02.231109,click,,
2023-11-16 14:43:02.267512,ct,0.763019,correct comission
2023-11-16 14:43:03.288955,click,,
2023-11-16 14:43:03.076410,ct,1.021443,correct comission
2023-11-16 14:43:03.776241,click,,
2023-11-16 14:43:03.878500,ct,0.699831,correct comission
2023-11-16 14:43:04.698013,click,,
2023-11-16 14:43:04.685273,ct,0.819513,correct comission
2023-11-16 14:43:05.625517,click,,
2023-11-16 14:43:05.487533,ct,0.940244,correct comission
2023-11-16 14:43:06.259020,click,,
2023-11-16 14:43:06.290529,ct,0.771487,correct comission
2023-11-16 14:43:07.150221,click,,
2023-11-16 14:43:07.096395,mt,0.859692,comission error
2023-11-16 14:43:07.893788,ct,,omission error
2023-11-16 14:43:08.378922,click,,
2023-11-16 14:43:08.691334,ct,0.485134,correct comission
2023-11-16 14:43:09.413574,click,,
2023-11-16 14:43:09.496831,ct,0.72224,correct comission
2023-11-16 14:43:10.285524,click,,
2023-11-16 14:43:10.307424,ct,0.788693,correct comission
2023-11-16 14:43:11.004217,click,,
2023-11-16 14:43:11.108082,ct,0.696793,correct comission
2023-11-16 14:43:11.827781,click,,
2023-11-16 14:43:11.907259,ct,0.719699,correct comission
2023-11-16 14:43:12.613798,click,,
2023-11-16 14:43:12.717233,ct,0.706539,correct comission
2023-11-16 14:43:13.617930,click,,
2023-11-16 14:43:13.519532,ct,0.900697,correct comission
2023-11-16 14:43:14.269493,click,,
2023-11-16 14:43:14.330187,ct,0.749961,correct comission
2023-11-16 14:43:15.135909,click,,
2023-11-16 14:43:15.138271,mt,0.805722,comission error
2023-11-16 14:43:15.942979,ct,,omission error
2023-11-16 14:43:16.558435,click,,
2023-11-16 14:43:16.758418,ct,0.615456,correct comission
2023-11-16 14:43:17.508539,click,,
2023-11-16 14:43:17.556878,ct,0.750121,correct comission
2023-11-16 14:43:18.334099,click,,
