time,tag,tr,flag
2023-11-19 17:16:03.159999,ct,,
2023-11-19 17:16:04.184058,click,,
2023-11-19 17:16:03.936394,ct,1.024059,correct comission
2023-11-19 17:16:04.679548,click,,
2023-11-19 17:16:04.715105,ct,0.743154,correct comission
2023-11-19 17:16:05.320182,click,,
2023-11-19 17:16:05.492969,ct,0.605077,correct comission
2023-11-19 17:16:06.119730,click,,
2023-11-19 17:16:06.272950,ct,0.626761,correct comission
2023-11-19 17:16:07.028380,click,,
2023-11-19 17:16:07.052725,ct,0.75543,correct comission
2023-11-19 17:16:07.821251,click,,
2023-11-19 17:16:07.833983,ct,0.768526,correct comission
2023-11-19 17:16:08.536174,click,,
2023-11-19 17:16:08.609708,ct,0.702191,correct comission
2023-11-19 17:16:09.235101,click,,
2023-11-19 17:16:09.385071,mt,0.625393,comission error
2023-11-19 17:16:09.999073,click,,
2023-11-19 17:16:10.161839,ct,0.614002,correct comission
2023-11-19 17:16:10.711943,click,,
2023-11-19 17:16:10.937618,ct,0.550104,correct comission
2023-11-19 17:16:11.570016,click,,
2023-11-19 17:16:11.711129,ct,0.632398,correct comission
2023-11-19 17:16:12.344150,click,,
2023-11-19 17:16:12.488158,ct,0.633021,correct comission
2023-11-19 17:16:13.120316,click,,
2023-11-19 17:16:13.265746,ct,0.632158,correct comission
2023-11-19 17:16:13.923061,click,,
2023-11-19 17:16:14.041549,ct,0.657315,correct comission
2023-11-19 17:16:14.721347,click,,
2023-11-19 17:16:14.817950,ct,0.679798,correct comission
2023-11-19 17:16:15.432840,click,,
2023-11-19 17:16:15.595373,mt,0.61489,comission error
2023-11-19 17:16:16.329934,click,,
2023-11-19 17:16:16.369914,ct,0.734561,correct comission
2023-11-19 17:16:17.014981,click,,
2023-11-19 17:16:17.146076,ct,0.645067,correct comission
2023-11-19 17:16:17.679581,click,,
2023-11-19 17:16:17.922183,ct,0.533505,correct comission
2023-11-19 17:16:18.405938,click,,
2023-11-19 17:16:18.698230,ct,0.483755,correct comission
2023-11-19 17:16:19.281798,click,,
2023-11-19 17:16:19.475728,ct,0.583568,correct comission
2023-11-19 17:16:20.016279,click,,
2023-11-19 17:16:20.253408,ct,0.540551,correct comission
2023-11-19 17:16:20.954817,click,,
2023-11-19 17:16:21.029224,ct,0.701409,correct comission
2023-11-19 17:16:21.783736,click,,
2023-11-19 17:16:21.808148,mt,0.754512,comission error
2023-11-19 17:16:22.588304,ct,,omission error
2023-11-19 17:16:23.106909,click,,
2023-11-19 17:16:23.365960,ct,0.518605,correct comission
2023-11-19 17:16:23.984042,click,,
2023-11-19 17:16:24.146913,ct,0.618082,correct comission
2023-11-19 17:16:24.774437,click,,
2023-11-19 17:16:24.926452,ct,0.627524,correct comission
2023-11-19 17:16:25.736888,click,,
2023-11-19 17:16:25.705238,ct,0.810436,correct comission
2023-11-19 17:16:26.319771,click,,
2023-11-19 17:16:26.480733,ct,0.614533,correct comission
2023-11-19 17:16:27.175767,click,,
2023-11-19 17:16:27.256861,ct,0.695034,correct comission
2023-11-19 17:16:27.805171,click,,
2023-11-19 17:16:28.032199,ct,0.54831,correct comission
2023-11-19 17:16:28.613744,click,,
2023-11-19 17:16:28.807343,ct,0.581545,correct comission
2023-11-19 17:16:29.337019,click,,
2023-11-19 17:16:29.583969,ct,0.529676,correct comission
2023-11-19 17:16:30.188998,click,,
2023-11-19 17:16:30.363562,mt,0.605029,comission error
2023-11-19 17:16:31.003010,click,,
2023-11-19 17:16:31.139583,ct,0.639448,correct comission
2023-11-19 17:16:31.760034,click,,
2023-11-19 17:16:31.916412,ct,0.620451,correct comission
2023-11-19 17:16:32.488585,click,,
2023-11-19 17:16:32.692340,ct,0.572173,correct comission
2023-11-19 17:16:33.310808,click,,
2023-11-19 17:16:33.470343,mt,0.618468,comission error
2023-11-19 17:16:34.018712,click,,
2023-11-19 17:16:34.248807,ct,0.548369,correct comission
2023-11-19 17:16:34.745070,click,,
2023-11-19 17:16:35.027700,ct,0.496263,correct comission
2023-11-19 17:16:35.613653,click,,
2023-11-19 17:16:35.804822,ct,0.585953,correct comission
2023-11-19 17:16:36.437241,click,,
2023-11-19 17:16:36.583585,ct,0.632419,correct comission
2023-11-19 17:16:37.189688,click,,
2023-11-19 17:16:37.362200,ct,0.606103,correct comission
2023-11-19 17:16:38.128348,click,,
2023-11-19 17:16:38.139757,ct,0.766148,correct comission
2023-11-19 17:16:38.778594,click,,
2023-11-19 17:16:38.920373,ct,0.638837,correct comission
2023-11-19 17:16:39.719410,click,,
2023-11-19 17:16:39.697863,ct,0.799037,correct comission
2023-11-19 17:16:40.440012,click,,
2023-11-19 17:16:40.474737,ct,0.742149,correct comission
2023-11-19 17:16:41.130599,click,,
2023-11-19 17:16:41.250289,ct,0.655862,correct comission
2023-11-19 17:16:41.885171,click,,
2023-11-19 17:16:42.027243,ct,0.634882,correct comission
2023-11-19 17:16:42.661339,click,,
2023-11-19 17:16:42.803301,ct,0.634096,correct comission
2023-11-19 17:16:43.580291,ct,,omission error
2023-11-19 17:16:44.245121,click,,
2023-11-19 17:16:44.357233,ct,0.66483,correct comission
2023-11-19 17:16:45.133293,ct,,omission error
2023-11-19 17:16:45.908493,mt,,correct omission
2023-11-19 17:16:46.685631,ct,,omission error
2023-11-19 17:16:47.540991,click,,
2023-11-19 17:16:47.461385,ct,0.85536,correct comission
2023-11-19 17:16:48.236641,ct,,omission error
2023-11-19 17:16:48.947552,click,,
2023-11-19 17:16:49.011930,ct,0.710911,correct comission
2023-11-19 17:16:49.788675,ct,,omission error
2023-11-19 17:16:50.566570,ct,,omission error
2023-11-19 17:16:51.316694,click,,
2023-11-19 17:16:51.343156,ct,0.750124,correct comission
2023-11-19 17:16:52.117654,ct,,omission error
2023-11-19 17:16:52.894266,ct,,omission error
2023-11-19 17:16:53.561621,click,,
2023-11-19 17:16:53.670796,ct,0.667355,correct comission
2023-11-19 17:16:54.447599,ct,,omission error
2023-11-19 17:16:54.979229,click,,
2023-11-19 17:16:55.225480,ct,0.53163,correct comission
2023-11-19 17:16:55.853787,click,,
2023-11-19 17:16:56.001252,mt,0.628307,comission error
2023-11-19 17:16:56.883284,click,,
2023-11-19 17:16:56.776843,ct,0.882032,correct comission
2023-11-19 17:16:57.422843,click,,
2023-11-19 17:16:57.551890,ct,0.646,correct comission
2023-11-19 17:16:58.381882,click,,
2023-11-19 17:16:58.327950,ct,0.829992,correct comission
2023-11-19 17:16:59.130607,click,,
2023-11-19 17:16:59.105013,ct,0.802657,correct comission
2023-11-19 17:16:59.879916,ct,,omission error
2023-11-19 17:17:00.460808,click,,
2023-11-19 17:17:00.657285,ct,0.580892,correct comission
2023-11-19 17:17:01.630584,click,,
2023-11-19 17:17:01.437103,ct,0.973299,correct comission
2023-11-19 17:17:02.240182,click,,
2023-11-19 17:17:02.214032,mt,0.803079,comission error
2023-11-19 17:17:02.988587,ct,,omission error
2023-11-19 17:17:03.601638,click,,
2023-11-19 17:17:03.762764,ct,0.613051,correct comission
2023-11-19 17:17:04.436428,click,,
2023-11-19 17:17:04.539758,ct,0.673664,correct comission
2023-11-19 17:17:05.239223,click,,
2023-11-19 17:17:05.316464,ct,0.699465,correct comission
2023-11-19 17:17:06.213634,click,,
2023-11-19 17:17:06.090963,mt,0.89717,comission error
2023-11-19 17:17:06.865956,ct,,omission error
2023-11-19 17:17:07.475539,click,,
2023-11-19 17:17:07.643572,ct,0.609583,correct comission
2023-11-19 17:17:08.273339,click,,
2023-11-19 17:17:08.419421,ct,0.629767,correct comission
2023-11-19 17:17:09.131715,click,,
2023-11-19 17:17:09.198525,ct,0.712294,correct comission
2023-11-19 17:17:09.971791,click,,
2023-11-19 17:17:09.975663,ct,0.773266,correct comission
2023-11-19 17:17:10.712333,click,,
2023-11-19 17:17:10.752714,ct,0.73667,correct comission
2023-11-19 17:17:11.682244,click,,
2023-11-19 17:17:11.531233,ct,0.92953,correct comission
2023-11-19 17:17:12.382497,click,,
2023-11-19 17:17:12.307305,ct,0.851264,correct comission
2023-11-19 17:17:12.972820,click,,
2023-11-19 17:17:13.085408,mt,0.665515,comission error
2023-11-19 17:17:13.733071,click,,
2023-11-19 17:17:13.863819,ct,0.647663,correct comission
2023-11-19 17:17:14.482902,click,,
2023-11-19 17:17:14.643888,ct,0.619083,correct comission
2023-11-19 17:17:15.267677,click,,
2023-11-19 17:17:15.419430,ct,0.623789,correct comission
2023-11-19 17:17:16.180124,click,,
2023-11-19 17:17:16.193757,ct,0.760694,correct comission
2023-11-19 17:17:17.043294,click,,
2023-11-19 17:17:16.973709,ct,0.849537,correct comission
2023-11-19 17:17:17.957129,click,,
2023-11-19 17:17:17.749069,ct,0.98342,correct comission
2023-11-19 17:17:18.628933,click,,
2023-11-19 17:17:18.524725,ct,0.879864,correct comission
2023-11-19 17:17:19.299922,ct,,omission error
2023-11-19 17:17:19.877069,click,,
2023-11-19 17:17:20.075564,ct,0.577147,correct comission
2023-11-19 17:17:20.670227,click,,
2023-11-19 17:17:20.854306,mt,0.594663,comission error
2023-11-19 17:17:21.382516,click,,
2023-11-19 17:17:21.631460,ct,0.52821,correct comission
2023-11-19 17:17:22.203800,click,,
2023-11-19 17:17:22.410376,ct,0.57234,correct comission
2023-11-19 17:17:22.954623,click,,
2023-11-19 17:17:23.186161,ct,0.544247,correct comission
2023-11-19 17:17:23.714497,click,,
2023-11-19 17:17:23.963277,ct,0.528336,correct comission
2023-11-19 17:17:24.490131,click,,
2023-11-19 17:17:24.737621,ct,0.526854,correct comission
2023-11-19 17:17:25.328310,click,,
2023-11-19 17:17:25.511747,ct,0.590689,correct comission
2023-11-19 17:17:26.005365,click,,
2023-11-19 17:17:26.287467,ct,0.493618,correct comission
2023-11-19 17:17:26.781978,click,,
2023-11-19 17:17:27.062926,ct,0.494511,correct comission
2023-11-19 17:17:27.573960,click,,
2023-11-19 17:17:27.841184,ct,0.511034,correct comission
2023-11-19 17:17:28.435683,click,,
2023-11-19 17:17:28.618289,ct,0.594499,correct comission
2023-11-19 17:17:29.146387,click,,
2023-11-19 17:17:29.395384,ct,0.528098,correct comission
2023-11-19 17:17:29.963414,click,,
2023-11-19 17:17:30.171470,ct,0.56803,correct comission
2023-11-19 17:17:30.769058,click,,
2023-11-19 17:17:30.947851,ct,0.597588,correct comission
2023-11-19 17:17:31.558939,click,,
2023-11-19 17:17:31.725762,ct,0.611088,correct comission
2023-11-19 17:17:32.565212,click,,
2023-11-19 17:17:32.501591,mt,0.83945,comission error
2023-11-19 17:17:33.273853,ct,,omission error
2023-11-19 17:17:33.972259,click,,
2023-11-19 17:17:34.049038,ct,0.698406,correct comission
2023-11-19 17:17:34.607805,click,,
2023-11-19 17:17:34.827048,ct,0.558767,correct comission
2023-11-19 17:17:35.404158,click,,
2023-11-19 17:17:35.602934,ct,0.57711,correct comission
2023-11-19 17:17:36.319277,click,,
2023-11-19 17:17:36.379645,ct,0.716343,correct comission
2023-11-19 17:17:37.017354,click,,
2023-11-19 17:17:37.153032,ct,0.637709,correct comission
2023-11-19 17:17:37.803385,click,,
2023-11-19 17:17:37.929742,ct,0.650353,correct comission
2023-11-19 17:17:38.734235,click,,
2023-11-19 17:17:38.705477,ct,0.804493,correct comission
2023-11-19 17:17:39.581495,click,,
2023-11-19 17:17:39.482022,ct,0.876018,correct comission
2023-11-19 17:17:40.142717,click,,
2023-11-19 17:17:40.258473,mt,0.660695,comission error
2023-11-19 17:17:41.032265,ct,,omission error
2023-11-19 17:17:41.477976,click,,
2023-11-19 17:17:41.808960,ct,0.445711,correct comission
2023-11-19 17:17:42.325242,click,,
2023-11-19 17:17:42.585923,ct,0.516282,correct comission
2023-11-19 17:17:43.148973,click,,
2023-11-19 17:17:43.362805,ct,0.56305,correct comission
2023-11-19 17:17:43.978853,click,,
2023-11-19 17:17:44.140655,ct,0.616048,correct comission
2023-11-19 17:17:44.917015,click,,
2023-11-19 17:17:44.918402,ct,0.77636,correct comission
2023-11-19 17:17:45.597786,click,,
2023-11-19 17:17:45.697061,ct,0.679384,correct comission
2023-11-19 17:17:46.345061,click,,
2023-11-19 17:17:46.476612,ct,0.648,correct comission
2023-11-19 17:17:46.999607,click,,
2023-11-19 17:17:47.253047,ct,0.522995,correct comission
2023-11-19 17:17:47.877354,click,,
2023-11-19 17:17:48.030336,ct,0.624307,correct comission
2023-11-19 17:17:48.651720,click,,
2023-11-19 17:17:48.807245,ct,0.621384,correct comission
2023-11-19 17:17:49.491832,click,,
2023-11-19 17:17:49.581781,ct,0.684587,correct comission
2023-11-19 17:17:50.187874,click,,
2023-11-19 17:17:50.358829,mt,0.606093,comission error
2023-11-19 17:17:51.089739,click,,
2023-11-19 17:17:51.135240,ct,0.73091,correct comission
2023-11-19 17:17:51.800181,click,,
2023-11-19 17:17:51.910946,ct,0.664941,correct comission
2023-11-19 17:17:52.600847,click,,
2023-11-19 17:17:52.688269,mt,0.689901,comission error
2023-11-19 17:17:53.360101,click,,
2023-11-19 17:17:53.465138,ct,0.671832,correct comission
2023-11-19 17:17:54.068396,click,,
2023-11-19 17:17:54.240921,ct,0.603258,correct comission
2023-11-19 17:17:54.831949,click,,
2023-11-19 17:17:55.018929,ct,0.591028,correct comission
2023-11-19 17:17:55.654720,click,,
2023-11-19 17:17:55.795500,ct,0.635791,correct comission
2023-11-19 17:17:56.433602,click,,
2023-11-19 17:17:56.573400,ct,0.638102,correct comission
2023-11-19 17:17:57.187228,click,,
2023-11-19 17:17:57.348941,ct,0.613828,correct comission
2023-11-19 17:17:58.030627,click,,
2023-11-19 17:17:58.125682,ct,0.681686,correct comission
2023-11-19 17:17:58.773725,click,,
2023-11-19 17:17:58.900256,ct,0.648043,correct comission
2023-11-19 17:17:59.676554,ct,,omission error
2023-11-19 17:18:00.453521,ct,,omission error
2023-11-19 17:18:01.231973,ct,,omission error
2023-11-19 17:18:02.010322,ct,,omission error
2023-11-19 17:18:02.540551,click,,
2023-11-19 17:18:02.787314,ct,0.530229,correct comission
2023-11-19 17:18:03.401963,click,,
2023-11-19 17:18:03.564053,ct,0.614649,correct comission
2023-11-19 17:18:04.562433,click,,
2023-11-19 17:18:04.340237,ct,0.99838,correct comission
2023-11-19 17:18:05.296078,click,,
2023-11-19 17:18:05.119912,ct,0.955841,correct comission
2023-11-19 17:18:06.134027,click,,
2023-11-19 17:18:05.897698,mt,1.014115,comission error
2023-11-19 17:18:06.673855,ct,,omission error
2023-11-19 17:18:07.322853,click,,
2023-11-19 17:18:07.451129,ct,0.648998,correct comission
2023-11-19 17:18:08.227496,ct,,omission error
2023-11-19 17:18:08.723957,click,,
2023-11-19 17:18:09.003329,ct,0.496461,correct comission
2023-11-19 17:18:09.553397,click,,
2023-11-19 17:18:09.783020,ct,0.550068,correct comission
2023-11-19 17:18:10.437198,click,,
2023-11-19 17:18:10.558811,ct,0.654178,correct comission
2023-11-19 17:18:11.302586,click,,
2023-11-19 17:18:11.335233,ct,0.743775,correct comission
2023-11-19 17:18:12.097969,click,,
2023-11-19 17:18:12.113144,ct,0.762736,correct comission
2023-11-19 17:18:12.914545,click,,
2023-11-19 17:18:12.889500,mt,0.801401,comission error
2023-11-19 17:18:13.639652,click,,
2023-11-19 17:18:13.666319,ct,0.750152,correct comission
2023-11-19 17:18:14.353542,click,,
2023-11-19 17:18:14.445386,ct,0.687223,correct comission
2023-11-19 17:18:15.125017,click,,
