time,tag,tr,flag
2023-11-18 14:04:58.381962,ct,,
2023-11-18 14:04:59.158468,ct,,omission error
2023-11-18 14:04:59.937469,ct,,omission error
2023-11-18 14:05:00.716509,ct,,omission error
2023-11-18 14:05:01.495400,ct,,omission error
2023-11-18 14:05:02.277657,ct,,omission error
2023-11-18 14:05:03.059105,mt,,correct omission
2023-11-18 14:05:03.838728,ct,,omission error
2023-11-18 14:05:04.620379,ct,,omission error
2023-11-18 14:05:05.403761,ct,,omission error
2023-11-18 14:05:06.185144,ct,,omission error
2023-11-18 14:05:06.965507,ct,,omission error
2023-11-18 14:05:07.747968,ct,,omission error
2023-11-18 14:05:08.529655,ct,,omission error
2023-11-18 14:05:09.311758,ct,,omission error
2023-11-18 14:05:10.091737,ct,,omission error
2023-11-18 14:05:10.873925,ct,,omission error
2023-11-18 14:05:11.654570,mt,,correct omission
2023-11-18 14:05:12.434778,ct,,omission error
2023-11-18 14:05:13.214059,ct,,omission error
2023-11-18 14:05:13.994978,ct,,omission error
2023-11-18 14:05:14.776653,ct,,omission error
2023-11-18 14:05:15.558406,ct,,omission error
2023-11-18 14:05:16.339437,ct,,omission error
2023-11-18 14:05:17.121404,mt,,correct omission
2023-11-18 14:05:17.902021,ct,,omission error
2023-11-18 14:05:18.681246,ct,,omission error
2023-11-18 14:05:19.458999,ct,,omission error
2023-11-18 14:05:20.238464,ct,,omission error
2023-11-18 14:05:21.019483,ct,,omission error
2023-11-18 14:05:21.800949,ct,,omission error
2023-11-18 14:05:22.580373,mt,,correct omission
2023-11-18 14:05:23.358712,ct,,omission error
2023-11-18 14:05:24.136528,ct,,omission error
2023-11-18 14:05:24.917052,ct,,omission error
2023-11-18 14:05:25.697937,ct,,omission error
2023-11-18 14:05:26.476774,ct,,omission error
2023-11-18 14:05:27.254900,ct,,omission error
2023-11-18 14:05:28.035039,ct,,omission error
2023-11-18 14:05:28.816508,ct,,omission error
2023-11-18 14:05:29.595097,ct,,omission error
2023-11-18 14:05:30.376956,ct,,omission error
2023-11-18 14:05:31.155458,ct,,omission error
2023-11-18 14:05:31.934641,ct,,omission error
2023-11-18 14:05:32.713951,ct,,omission error
2023-11-18 14:05:33.494389,ct,,omission error
2023-11-18 14:05:34.275306,ct,,omission error
2023-11-18 14:05:35.054616,ct,,omission error
2023-11-18 14:05:35.836117,mt,,correct omission
2023-11-18 14:05:36.617921,ct,,omission error
2023-11-18 14:05:37.397598,ct,,omission error
2023-11-18 14:05:38.177301,ct,,omission error
2023-11-18 14:05:38.957670,ct,,omission error
2023-11-18 14:05:39.736735,ct,,omission error
2023-11-18 14:05:40.519761,ct,,omission error
2023-11-18 14:05:41.299218,ct,,omission error
2023-11-18 14:05:42.079659,mt,,correct omission
2023-11-18 14:05:42.860714,ct,,omission error
2023-11-18 14:05:43.638557,ct,,omission error
2023-11-18 14:05:44.417049,ct,,omission error
2023-11-18 14:05:45.196864,ct,,omission error
2023-11-18 14:05:45.978541,ct,,omission error
2023-11-18 14:05:46.758167,ct,,omission error
2023-11-18 14:05:47.538133,ct,,omission error
2023-11-18 14:05:48.317802,mt,,correct omission
2023-11-18 14:05:49.097577,ct,,omission error
2023-11-18 14:05:49.876931,ct,,omission error
2023-11-18 14:05:50.656904,ct,,omission error
2023-11-18 14:05:51.438413,ct,,omission error
2023-11-18 14:05:52.217959,ct,,omission error
2023-11-18 14:05:52.999920,ct,,omission error
2023-11-18 14:05:53.779076,ct,,omission error
2023-11-18 14:05:54.558745,ct,,omission error
2023-11-18 14:05:55.338485,ct,,omission error
2023-11-18 14:05:56.117957,mt,,correct omission
2023-11-18 14:05:56.899703,ct,,omission error
2023-11-18 14:05:57.678715,ct,,omission error
2023-11-18 14:05:58.459222,ct,,omission error
2023-11-18 14:05:59.235774,ct,,omission error
2023-11-18 14:06:00.016947,ct,,omission error
2023-11-18 14:06:00.796141,ct,,omission error
2023-11-18 14:06:01.578767,ct,,omission error
2023-11-18 14:06:02.360653,ct,,omission error
2023-11-18 14:06:03.141882,ct,,omission error
2023-11-18 14:06:03.922057,ct,,omission error
2023-11-18 14:06:04.703283,mt,,correct omission
2023-11-18 14:06:05.483747,ct,,omission error
2023-11-18 14:06:06.265562,ct,,omission error
2023-11-18 14:06:07.046081,ct,,omission error
2023-11-18 14:06:07.830236,ct,,omission error
2023-11-18 14:06:08.609717,ct,,omission error
2023-11-18 14:06:09.387024,mt,,correct omission
2023-11-18 14:06:10.167136,ct,,omission error
2023-11-18 14:06:10.948422,ct,,omission error
2023-11-18 14:06:11.727671,ct,,omission error
2023-11-18 14:06:12.505878,ct,,omission error
2023-11-18 14:06:13.284538,ct,,omission error
2023-11-18 14:06:14.063548,ct,,omission error
2023-11-18 14:06:14.844793,ct,,omission error
2023-11-18 14:06:15.626984,ct,,omission error
2023-11-18 14:06:16.409798,ct,,omission error
2023-11-18 14:06:17.189663,ct,,omission error
2023-11-18 14:06:17.970508,ct,,omission error
2023-11-18 14:06:18.752072,ct,,omission error
2023-11-18 14:06:19.532247,ct,,omission error
2023-11-18 14:06:20.313512,ct,,omission error
2023-11-18 14:06:21.090789,ct,,omission error
2023-11-18 14:06:21.869357,mt,,correct omission
2023-11-18 14:06:22.650649,ct,,omission error
2023-11-18 14:06:23.431323,ct,,omission error
2023-11-18 14:06:24.214373,ct,,omission error
2023-11-18 14:06:24.994562,mt,,correct omission
2023-11-18 14:06:25.775234,ct,,omission error
2023-11-18 14:06:26.557633,ct,,omission error
2023-11-18 14:06:27.338376,ct,,omission error
2023-11-18 14:06:28.116893,ct,,omission error
2023-11-18 14:06:28.896852,ct,,omission error
2023-11-18 14:06:29.675065,ct,,omission error
2023-11-18 14:06:30.456127,ct,,omission error
2023-11-18 14:06:31.237715,ct,,omission error
2023-11-18 14:06:32.019343,ct,,omission error
2023-11-18 14:06:32.799079,ct,,omission error
2023-11-18 14:06:33.581629,ct,,omission error
2023-11-18 14:06:34.364604,ct,,omission error
2023-11-18 14:06:35.145686,ct,,omission error
2023-11-18 14:06:35.928862,mt,,correct omission
2023-11-18 14:06:36.708259,ct,,omission error
2023-11-18 14:06:37.487745,ct,,omission error
2023-11-18 14:06:38.269572,ct,,omission error
2023-11-18 14:06:39.048229,ct,,omission error
2023-11-18 14:06:39.827330,ct,,omission error
2023-11-18 14:06:40.606932,mt,,correct omission
2023-11-18 14:06:41.384972,ct,,omission error
2023-11-18 14:06:42.164417,ct,,omission error
2023-11-18 14:06:42.941802,ct,,omission error
2023-11-18 14:06:43.724021,ct,,omission error
2023-11-18 14:06:44.504646,ct,,omission error
2023-11-18 14:06:45.284831,ct,,omission error
2023-11-18 14:06:46.064043,ct,,omission error
2023-11-18 14:06:46.846858,ct,,omission error
2023-11-18 14:06:47.630033,ct,,omission error
