time,tag,tr,flag
2023-11-16 14:24:52.375878,ct,,
2023-11-16 14:24:53.177223,ct,,omission error
2023-11-16 14:24:53.975208,ct,,omission error
2023-11-16 14:24:54.775382,ct,,omission error
2023-11-16 14:24:55.579350,ct,,omission error
2023-11-16 14:24:56.375924,mt,,correct omission
2023-11-16 14:24:57.189742,ct,,omission error
2023-11-16 14:24:57.987035,ct,,omission error
2023-11-16 14:24:58.801228,ct,,omission error
2023-11-16 14:24:59.608386,ct,,omission error
2023-11-16 14:25:00.425684,ct,,omission error
2023-11-16 14:25:01.233975,mt,,correct omission
2023-11-16 14:25:02.050136,ct,,omission error
2023-11-16 14:25:02.859565,ct,,omission error
2023-11-16 14:25:03.656913,ct,,omission error
2023-11-16 14:25:04.463438,ct,,omission error
2023-11-16 14:25:05.261873,ct,,omission error
2023-11-16 14:25:06.069223,ct,,omission error
2023-11-16 14:25:06.889477,ct,,omission error
2023-11-16 14:25:07.702284,ct,,omission error
2023-11-16 14:25:08.502248,mt,,correct omission
2023-11-16 14:25:09.303841,ct,,omission error
2023-11-16 14:25:10.111299,ct,,omission error
2023-11-16 14:25:10.910211,ct,,omission error
2023-11-16 14:25:11.707218,ct,,omission error
2023-11-16 14:25:12.504845,ct,,omission error
2023-11-16 14:25:13.300964,ct,,omission error
2023-11-16 14:25:14.103632,ct,,omission error
2023-11-16 14:25:14.904736,ct,,omission error
2023-11-16 14:25:15.703934,mt,,correct omission
2023-11-16 14:25:16.503853,ct,,omission error
2023-11-16 14:25:17.308171,ct,,omission error
2023-11-16 14:25:18.121192,ct,,omission error
2023-11-16 14:25:18.921839,ct,,omission error
2023-11-16 14:25:19.738229,ct,,omission error
2023-11-16 14:25:20.546607,ct,,omission error
2023-11-16 14:25:21.353510,ct,,omission error
2023-11-16 14:25:22.161451,ct,,omission error
2023-11-16 14:25:22.969065,ct,,omission error
2023-11-16 14:25:23.773798,ct,,omission error
2023-11-16 14:25:24.576954,ct,,omission error
2023-11-16 14:25:25.406583,ct,,omission error
2023-11-16 14:25:26.202743,ct,,omission error
2023-11-16 14:25:27.014973,ct,,omission error
2023-11-16 14:25:27.813639,ct,,omission error
2023-11-16 14:25:28.616221,ct,,omission error
2023-11-16 14:25:29.422433,ct,,omission error
2023-11-16 14:25:30.221865,mt,,correct omission
2023-11-16 14:25:31.029726,ct,,omission error
2023-11-16 14:25:31.829471,ct,,omission error
2023-11-16 14:25:32.636123,mt,,correct omission
2023-11-16 14:25:33.441088,ct,,omission error
2023-11-16 14:25:34.238460,ct,,omission error
2023-11-16 14:25:35.035126,ct,,omission error
2023-11-16 14:25:35.836376,ct,,omission error
2023-11-16 14:25:36.646232,ct,,omission error
2023-11-16 14:25:37.455851,ct,,omission error
2023-11-16 14:25:38.255820,ct,,omission error
2023-11-16 14:25:39.061108,ct,,omission error
2023-11-16 14:25:39.862061,ct,,omission error
2023-11-16 14:25:40.671014,ct,,omission error
2023-11-16 14:25:41.478492,ct,,omission error
2023-11-16 14:25:42.279911,mt,,correct omission
2023-11-16 14:25:43.085857,ct,,omission error
2023-11-16 14:25:43.883453,ct,,omission error
2023-11-16 14:25:44.679769,ct,,omission error
2023-11-16 14:25:45.479705,ct,,omission error
2023-11-16 14:25:46.281971,ct,,omission error
2023-11-16 14:25:47.084555,ct,,omission error
2023-11-16 14:25:47.882596,ct,,omission error
2023-11-16 14:25:48.683477,mt,,correct omission
2023-11-16 14:25:49.485070,ct,,omission error
2023-11-16 14:25:50.283692,ct,,omission error
2023-11-16 14:25:51.091346,ct,,omission error
2023-11-16 14:25:51.895154,ct,,omission error
2023-11-16 14:25:52.702583,ct,,omission error
2023-11-16 14:25:53.505146,ct,,omission error
2023-11-16 14:25:54.324920,ct,,omission error
2023-11-16 14:25:55.121936,ct,,omission error
2023-11-16 14:25:55.940210,ct,,omission error
2023-11-16 14:25:56.739812,ct,,omission error
2023-11-16 14:25:57.555309,mt,,correct omission
2023-11-16 14:25:58.360464,ct,,omission error
2023-11-16 14:25:59.163337,ct,,omission error
2023-11-16 14:25:59.974186,ct,,omission error
2023-11-16 14:26:00.774916,ct,,omission error
2023-11-16 14:26:01.578409,ct,,omission error
2023-11-16 14:26:02.384326,ct,,omission error
2023-11-16 14:26:03.185461,ct,,omission error
2023-11-16 14:26:03.993493,mt,,correct omission
2023-11-16 14:26:04.791534,ct,,omission error
2023-11-16 14:26:05.588859,ct,,omission error
2023-11-16 14:26:06.385696,ct,,omission error
2023-11-16 14:26:07.179992,ct,,omission error
2023-11-16 14:26:07.977322,ct,,omission error
2023-11-16 14:26:08.776512,ct,,omission error
2023-11-16 14:26:09.586396,ct,,omission error
2023-11-16 14:26:10.385985,ct,,omission error
2023-11-16 14:26:11.190285,ct,,omission error
2023-11-16 14:26:11.989686,mt,,correct omission
2023-11-16 14:26:12.792262,ct,,omission error
2023-11-16 14:26:13.601909,ct,,omission error
2023-11-16 14:26:14.398543,ct,,omission error
2023-11-16 14:26:15.194360,ct,,omission error
2023-11-16 14:26:15.990386,ct,,omission error
2023-11-16 14:26:16.784642,ct,,omission error
2023-11-16 14:26:17.580477,ct,,omission error
2023-11-16 14:26:18.386855,ct,,omission error
2023-11-16 14:26:19.189152,ct,,omission error
2023-11-16 14:26:19.994747,ct,,omission error
2023-11-16 14:26:20.795172,mt,,correct omission
2023-11-16 14:26:21.614512,ct,,omission error
2023-11-16 14:26:22.413729,ct,,omission error
2023-11-16 14:26:23.226380,ct,,omission error
2023-11-16 14:26:24.025161,ct,,omission error
2023-11-16 14:26:24.832094,ct,,omission error
2023-11-16 14:26:25.653003,ct,,omission error
2023-11-16 14:26:26.448240,ct,,omission error
2023-11-16 14:26:27.272040,ct,,omission error
2023-11-16 14:26:28.068987,ct,,omission error
2023-11-16 14:26:28.871332,ct,,omission error
2023-11-16 14:26:29.673628,ct,,omission error
2023-11-16 14:26:30.470440,ct,,omission error
2023-11-16 14:26:31.271660,ct,,omission error
2023-11-16 14:26:32.068084,ct,,omission error
2023-11-16 14:26:32.871325,mt,,correct omission
2023-11-16 14:26:33.670122,ct,,omission error
2023-11-16 14:26:34.471616,ct,,omission error
2023-11-16 14:26:35.283040,ct,,omission error
2023-11-16 14:26:36.081959,ct,,omission error
2023-11-16 14:26:36.895943,ct,,omission error
2023-11-16 14:26:37.706076,ct,,omission error
2023-11-16 14:26:38.518098,mt,,correct omission
2023-11-16 14:26:39.327332,ct,,omission error
2023-11-16 14:26:40.126549,ct,,omission error
2023-11-16 14:26:40.932617,ct,,omission error
2023-11-16 14:26:41.728950,ct,,omission error
2023-11-16 14:26:42.525953,ct,,omission error
2023-11-16 14:26:43.334398,ct,,omission error
2023-11-16 14:26:44.135895,ct,,omission error
2023-11-16 14:26:44.933951,ct,,omission error
2023-11-16 14:26:45.732242,ct,,omission error
2023-11-16 14:26:46.537320,mt,,correct omission
2023-11-16 14:26:47.338740,ct,,omission error
2023-11-16 14:26:48.142448,ct,,omission error
2023-11-16 14:26:48.951274,ct,,omission error
2023-11-16 14:26:49.759957,ct,,omission error
2023-11-16 14:26:50.565697,ct,,omission error
2023-11-16 14:26:51.373207,ct,,omission error
2023-11-16 14:26:52.182598,ct,,omission error
2023-11-16 14:26:52.987423,ct,,omission error
2023-11-16 14:26:53.785077,mt,,correct omission
2023-11-16 14:26:54.593918,ct,,omission error
2023-11-16 14:26:55.395431,ct,,omission error
2023-11-16 14:26:56.203315,ct,,omission error
2023-11-16 14:26:57.004360,ct,,omission error
2023-11-16 14:26:57.800404,ct,,omission error
2023-11-16 14:26:58.598258,ct,,omission error
2023-11-16 14:26:59.399176,ct,,omission error
2023-11-16 14:27:00.198698,ct,,omission error
2023-11-16 14:27:01.002267,ct,,omission error
2023-11-16 14:27:01.800125,ct,,omission error
2023-11-16 14:27:02.607343,ct,,omission error
2023-11-16 14:27:03.415916,ct,,omission error
2023-11-16 14:27:04.223998,ct,,omission error
2023-11-16 14:27:05.040280,ct,,omission error
2023-11-16 14:27:05.847896,ct,,omission error
2023-11-16 14:27:06.651260,mt,,correct omission
2023-11-16 14:27:07.452205,ct,,omission error
2023-11-16 14:27:08.271504,ct,,omission error
2023-11-16 14:27:09.069385,ct,,omission error
2023-11-16 14:27:09.888484,ct,,omission error
2023-11-16 14:27:10.687683,ct,,omission error
2023-11-16 14:27:11.489731,ct,,omission error
2023-11-16 14:27:12.297307,ct,,omission error
2023-11-16 14:27:13.099996,ct,,omission error
2023-11-16 14:27:13.908092,mt,,correct omission
2023-11-16 14:27:14.708323,ct,,omission error
2023-11-16 14:27:15.518907,ct,,omission error
2023-11-16 14:27:16.319080,ct,,omission error
2023-11-16 14:27:17.122049,ct,,omission error
2023-11-16 14:27:17.927316,ct,,omission error
2023-11-16 14:27:18.724739,ct,,omission error
2023-11-16 14:27:19.523956,ct,,omission error
2023-11-16 14:27:20.326133,mt,,correct omission
2023-11-16 14:27:21.125111,ct,,omission error
2023-11-16 14:27:21.929637,ct,,omission error
2023-11-16 14:27:22.726263,ct,,omission error
2023-11-16 14:27:23.535228,ct,,omission error
2023-11-16 14:27:24.334417,ct,,omission error
2023-11-16 14:27:25.141351,ct,,omission error
2023-11-16 14:27:25.944133,ct,,omission error
2023-11-16 14:27:26.742431,ct,,omission error
2023-11-16 14:27:27.541439,ct,,omission error
2023-11-16 14:27:28.345083,ct,,omission error
2023-11-16 14:27:29.147097,ct,,omission error
2023-11-16 14:27:29.955662,ct,,omission error
2023-11-16 14:27:30.755061,ct,,omission error
2023-11-16 14:27:31.557290,mt,,correct omission
2023-11-16 14:27:32.359957,ct,,omission error
2023-11-16 14:27:33.158866,ct,,omission error
2023-11-16 14:27:33.957557,ct,,omission error
2023-11-16 14:27:34.752431,ct,,omission error
2023-11-16 14:27:35.558649,ct,,omission error
2023-11-16 14:27:36.358308,ct,,omission error
2023-11-16 14:27:37.158877,ct,,omission error
2023-11-16 14:27:37.964077,ct,,omission error
2023-11-16 14:27:38.766348,ct,,omission error
2023-11-16 14:27:39.705752,mt,,correct omission
2023-11-16 14:27:40.511492,ct,,omission error
2023-11-16 14:27:41.318095,ct,,omission error
2023-11-16 14:27:42.119499,ct,,omission error
2023-11-16 14:27:42.924049,ct,,omission error
2023-11-16 14:27:43.730091,ct,,omission error
2023-11-16 14:27:44.527689,ct,,omission error
2023-11-16 14:27:45.336815,ct,,omission error
2023-11-16 14:27:46.137765,ct,,omission error
2023-11-16 14:27:46.947548,mt,,correct omission
2023-11-16 14:27:47.749848,ct,,omission error
2023-11-16 14:27:48.554977,ct,,omission error
2023-11-16 14:27:49.361207,ct,,omission error
2023-11-16 14:27:50.172388,ct,,omission error
2023-11-16 14:27:50.970827,mt,,correct omission
2023-11-16 14:27:51.768182,ct,,omission error
2023-11-16 14:27:52.571792,ct,,omission error
2023-11-16 14:27:53.371659,ct,,omission error
2023-11-16 14:27:54.170405,ct,,omission error
2023-11-16 14:27:54.966752,ct,,omission error
2023-11-16 14:27:55.771782,ct,,omission error
2023-11-16 14:27:56.575660,ct,,omission error
2023-11-16 14:27:57.371836,ct,,omission error
2023-11-16 14:27:58.186771,ct,,omission error
2023-11-16 14:27:58.983353,ct,,omission error
2023-11-16 14:27:59.789256,mt,,correct omission
2023-11-16 14:28:00.588819,ct,,omission error
2023-11-16 14:28:01.386391,ct,,omission error
2023-11-16 14:28:02.184099,ct,,omission error
2023-11-16 14:28:02.989188,ct,,omission error
2023-11-16 14:28:03.790287,ct,,omission error
2023-11-16 14:28:04.591307,ct,,omission error
2023-11-16 14:28:05.386219,ct,,omission error
2023-11-16 14:28:06.187978,ct,,omission error
2023-11-16 14:28:06.990573,ct,,omission error
2023-11-16 14:28:07.792846,mt,,correct omission
2023-11-16 14:28:08.601958,ct,,omission error
2023-11-16 14:28:09.400337,ct,,omission error
2023-11-16 14:28:10.222041,ct,,omission error
2023-11-16 14:28:11.026907,ct,,omission error
2023-11-16 14:28:11.837761,ct,,omission error
2023-11-16 14:28:12.640224,ct,,omission error
2023-11-16 14:28:13.449981,ct,,omission error
2023-11-16 14:28:14.252290,ct,,omission error
2023-11-16 14:28:15.051109,ct,,omission error
2023-11-16 14:28:15.852501,mt,,correct omission
2023-11-16 14:28:16.652943,ct,,omission error
2023-11-16 14:28:17.459764,ct,,omission error
2023-11-16 14:28:18.265416,ct,,omission error
2023-11-16 14:28:19.069135,ct,,omission error
2023-11-16 14:28:19.876500,ct,,omission error
2023-11-16 14:28:20.693472,ct,,omission error
2023-11-16 14:28:21.494142,ct,,omission error
2023-11-16 14:28:22.300985,ct,,omission error
2023-11-16 14:28:23.105388,ct,,omission error
2023-11-16 14:28:23.902379,ct,,omission error
2023-11-16 14:28:24.702587,ct,,omission error
2023-11-16 14:28:25.502571,mt,,correct omission
2023-11-16 14:28:26.301003,ct,,omission error
2023-11-16 14:28:27.100624,ct,,omission error
2023-11-16 14:28:27.896338,ct,,omission error
2023-11-16 14:28:28.703162,ct,,omission error
2023-11-16 14:28:29.518083,ct,,omission error
2023-11-16 14:28:30.317632,ct,,omission error
2023-11-16 14:28:31.128970,ct,,omission error
2023-11-16 14:28:31.927135,ct,,omission error
2023-11-16 14:28:32.736562,mt,,correct omission
2023-11-16 14:28:33.541225,ct,,omission error
2023-11-16 14:28:34.350484,ct,,omission error
2023-11-16 14:28:35.156333,ct,,omission error
2023-11-16 14:28:35.968971,ct,,omission error
2023-11-16 14:28:36.773657,ct,,omission error
2023-11-16 14:28:37.570144,ct,,omission error
2023-11-16 14:28:38.383237,ct,,omission error
2023-11-16 14:28:39.183843,ct,,omission error
2023-11-16 14:28:39.992528,ct,,omission error
2023-11-16 14:28:40.802765,ct,,omission error
2023-11-16 14:28:41.609337,ct,,omission error
2023-11-16 14:28:42.410698,ct,,omission error
2023-11-16 14:28:43.213029,mt,,correct omission
2023-11-16 14:28:44.015368,ct,,omission error
2023-11-16 14:28:44.817716,ct,,omission error
2023-11-16 14:28:45.620070,ct,,omission error
2023-11-16 14:28:46.422543,ct,,omission error
2023-11-16 14:28:47.224103,ct,,omission error
2023-11-16 14:28:48.022501,mt,,correct omission
2023-11-16 14:28:48.822420,ct,,omission error
2023-11-16 14:28:49.621730,ct,,omission error
2023-11-16 14:28:50.419557,ct,,omission error
2023-11-16 14:28:51.218177,ct,,omission error
2023-11-16 14:28:52.025897,ct,,omission error
2023-11-16 14:28:52.831916,ct,,omission error
2023-11-16 14:28:53.639485,ct,,omission error
2023-11-16 14:28:54.437534,ct,,omission error
2023-11-16 14:28:55.235799,ct,,omission error
2023-11-16 14:28:56.034222,mt,,correct omission
2023-11-16 14:28:56.836499,ct,,omission error
2023-11-16 14:28:57.634703,ct,,omission error
2023-11-16 14:28:58.433670,ct,,omission error
2023-11-16 14:28:59.237058,ct,,omission error
2023-11-16 14:29:00.039353,ct,,omission error
2023-11-16 14:29:00.836941,ct,,omission error
2023-11-16 14:29:01.645021,ct,,omission error
2023-11-16 14:29:02.448260,ct,,omission error
2023-11-16 14:29:03.246646,ct,,omission error
2023-11-16 14:29:04.050502,ct,,omission error
2023-11-16 14:29:04.849703,ct,,omission error
2023-11-16 14:29:05.655119,mt,,correct omission
2023-11-16 14:29:06.459222,ct,,omission error
2023-11-16 14:29:07.263879,ct,,omission error
2023-11-16 14:29:08.068765,ct,,omission error
2023-11-16 14:29:08.867792,ct,,omission error
2023-11-16 14:29:09.670220,ct,,omission error
2023-11-16 14:29:10.474960,mt,,correct omission
2023-11-16 14:29:11.276580,ct,,omission error
2023-11-16 14:29:12.073400,ct,,omission error
2023-11-16 14:29:12.876950,ct,,omission error
2023-11-16 14:29:13.676543,ct,,omission error
2023-11-16 14:29:14.471125,ct,,omission error
2023-11-16 14:29:15.267175,ct,,omission error
2023-11-16 14:29:16.065904,ct,,omission error
2023-11-16 14:29:16.864417,ct,,omission error
2023-11-16 14:29:17.666829,ct,,omission error
2023-11-16 14:29:18.466719,ct,,omission error
2023-11-16 14:29:19.283634,ct,,omission error
2023-11-16 14:29:20.085979,ct,,omission error
2023-11-16 14:29:20.896814,ct,,omission error
2023-11-16 14:29:21.699414,mt,,correct omission
2023-11-16 14:29:22.506015,ct,,omission error
2023-11-16 14:29:23.313081,ct,,omission error
2023-11-16 14:29:24.133087,ct,,omission error
2023-11-16 14:29:24.940283,ct,,omission error
2023-11-16 14:29:25.741558,ct,,omission error
2023-11-16 14:29:26.556927,ct,,omission error
2023-11-16 14:29:27.353978,ct,,omission error
2023-11-16 14:29:28.162383,ct,,omission error
2023-11-16 14:29:28.963392,ct,,omission error
2023-11-16 14:29:29.762809,ct,,omission error
2023-11-16 14:29:30.565760,ct,,omission error
2023-11-16 14:29:31.364751,mt,,correct omission
2023-11-16 14:29:32.165746,ct,,omission error
2023-11-16 14:29:32.963255,ct,,omission error
2023-11-16 14:29:33.769674,ct,,omission error
2023-11-16 14:29:34.575998,ct,,omission error
2023-11-16 14:29:35.390368,mt,,correct omission
2023-11-16 14:29:36.189762,ct,,omission error
2023-11-16 14:29:36.994030,ct,,omission error
2023-11-16 14:29:37.799530,ct,,omission error
2023-11-16 14:29:38.606709,ct,,omission error
2023-11-16 14:29:39.404850,ct,,omission error
2023-11-16 14:29:40.208544,ct,,omission error
2023-11-16 14:29:41.016578,ct,,omission error
2023-11-16 14:29:41.822424,mt,,correct omission
2023-11-16 14:29:42.622851,ct,,omission error
2023-11-16 14:29:43.421433,ct,,omission error
2023-11-16 14:29:44.219336,ct,,omission error
2023-11-16 14:29:45.017887,ct,,omission error
2023-11-16 14:29:45.821408,ct,,omission error
2023-11-16 14:29:46.620939,ct,,omission error
2023-11-16 14:29:47.422571,ct,,omission error
2023-11-16 14:29:48.221552,ct,,omission error
2023-11-16 14:29:49.019025,ct,,omission error
2023-11-16 14:29:49.819884,ct,,omission error
2023-11-16 14:29:50.616777,ct,,omission error
2023-11-16 14:29:51.414563,ct,,omission error
2023-11-16 14:29:52.219980,ct,,omission error
2023-11-16 14:29:53.018920,ct,,omission error
2023-11-16 14:29:53.831365,ct,,omission error
2023-11-16 14:29:54.630650,mt,,correct omission
2023-11-16 14:29:55.430949,ct,,omission error
2023-11-16 14:29:56.230174,ct,,omission error
