time,tag,tr,flag
2023-11-20 16:19:55.284746,ct,,
2023-11-20 16:19:56.067184,ct,,omission error
2023-11-20 16:19:56.847540,ct,,omission error
2023-11-20 16:19:57.629518,ct,,omission error
2023-11-20 16:19:58.409515,mt,,correct omission
2023-11-20 16:19:59.189385,ct,,omission error
2023-11-20 16:19:59.967971,ct,,omission error
2023-11-20 16:20:00.746156,ct,,omission error
2023-11-20 16:20:01.525867,ct,,omission error
2023-11-20 16:20:02.306377,ct,,omission error
2023-11-20 16:20:03.082950,ct,,omission error
2023-11-20 16:20:03.859761,ct,,omission error
2023-11-20 16:20:04.639378,ct,,omission error
2023-11-20 16:20:05.420401,ct,,omission error
2023-11-20 16:20:06.200310,ct,,omission error
2023-11-20 16:20:06.979907,ct,,omission error
2023-11-20 16:20:07.760178,ct,,omission error
2023-11-20 16:20:08.540530,ct,,omission error
2023-11-20 16:20:09.320169,mt,,correct omission
2023-11-20 16:20:10.098778,ct,,omission error
2023-11-20 16:20:10.878341,mt,,correct omission
2023-11-20 16:20:11.657506,ct,,omission error
2023-11-20 16:20:12.436194,ct,,omission error
2023-11-20 16:20:13.216481,ct,,omission error
2023-11-20 16:20:13.992085,ct,,omission error
2023-11-20 16:20:14.771423,ct,,omission error
2023-11-20 16:20:15.550161,ct,,omission error
2023-11-20 16:20:16.330419,ct,,omission error
2023-11-20 16:20:17.112965,ct,,omission error
2023-11-20 16:20:17.894423,ct,,omission error
2023-11-20 16:20:18.671476,mt,,correct omission
2023-11-20 16:20:19.450470,ct,,omission error
2023-11-20 16:20:20.230212,ct,,omission error
2023-11-20 16:20:21.009473,ct,,omission error
2023-11-20 16:20:21.791531,ct,,omission error
2023-11-20 16:20:22.574323,ct,,omission error
2023-11-20 16:20:23.356114,ct,,omission error
2023-11-20 16:20:24.136346,ct,,omission error
2023-11-20 16:20:24.914845,ct,,omission error
2023-11-20 16:20:25.693117,ct,,omission error
2023-11-20 16:20:26.471514,ct,,omission error
2023-11-20 16:20:27.252321,ct,,omission error
2023-11-20 16:20:28.031593,mt,,correct omission
2023-11-20 16:20:28.811168,ct,,omission error
2023-11-20 16:20:29.589340,ct,,omission error
2023-11-20 16:20:30.370720,ct,,omission error
2023-11-20 16:20:31.150622,ct,,omission error
2023-11-20 16:20:31.930657,ct,,omission error
2023-11-20 16:20:32.709522,ct,,omission error
2023-11-20 16:20:33.487609,ct,,omission error
2023-11-20 16:20:34.267830,mt,,correct omission
2023-11-20 16:20:35.048734,ct,,omission error
2023-11-20 16:20:35.827917,ct,,omission error
2023-11-20 16:20:36.607435,ct,,omission error
2023-11-20 16:20:37.387057,ct,,omission error
2023-11-20 16:20:38.168670,ct,,omission error
2023-11-20 16:20:38.950733,ct,,omission error
2023-11-20 16:20:39.729957,ct,,omission error
2023-11-20 16:20:40.508816,ct,,omission error
2023-11-20 16:20:41.288582,ct,,omission error
2023-11-20 16:20:42.067543,ct,,omission error
2023-11-20 16:20:42.846101,ct,,omission error
2023-11-20 16:20:43.625004,ct,,omission error
2023-11-20 16:20:44.406046,mt,,correct omission
2023-11-20 16:20:45.184639,ct,,omission error
2023-11-20 16:20:45.967420,ct,,omission error
2023-11-20 16:20:46.749514,ct,,omission error
2023-11-20 16:20:47.531398,ct,,omission error
2023-11-20 16:20:48.312849,ct,,omission error
2023-11-20 16:20:49.092788,ct,,omission error
2023-11-20 16:20:49.871965,ct,,omission error
2023-11-20 16:20:50.651498,ct,,omission error
2023-11-20 16:20:51.429390,ct,,omission error
2023-11-20 16:20:52.210100,ct,,omission error
2023-11-20 16:20:52.989394,ct,,omission error
2023-11-20 16:20:53.770586,mt,,correct omission
2023-11-20 16:20:54.549201,ct,,omission error
2023-11-20 16:20:55.329826,ct,,omission error
2023-11-20 16:20:56.109697,ct,,omission error
2023-11-20 16:20:56.889552,ct,,omission error
2023-11-20 16:20:57.671193,ct,,omission error
2023-11-20 16:20:58.448458,ct,,omission error
2023-11-20 16:20:59.227946,ct,,omission error
2023-11-20 16:21:00.007792,ct,,omission error
2023-11-20 16:21:00.788232,mt,,correct omission
2023-11-20 16:21:01.570421,ct,,omission error
2023-11-20 16:21:02.352775,ct,,omission error
2023-11-20 16:21:03.130783,ct,,omission error
2023-11-20 16:21:03.910500,ct,,omission error
2023-11-20 16:21:04.688901,ct,,omission error
2023-11-20 16:21:05.472243,ct,,omission error
2023-11-20 16:21:06.249614,ct,,omission error
2023-11-20 16:21:07.029162,ct,,omission error
2023-11-20 16:21:07.807465,ct,,omission error
2023-11-20 16:21:08.586008,ct,,omission error
2023-11-20 16:21:09.366715,mt,,correct omission
2023-11-20 16:21:10.143055,ct,,omission error
2023-11-20 16:21:10.920682,ct,,omission error
2023-11-20 16:21:11.694785,ct,,omission error
2023-11-20 16:21:12.473279,ct,,omission error
2023-11-20 16:21:13.250335,ct,,omission error
2023-11-20 16:21:14.026416,ct,,omission error
2023-11-20 16:21:14.804526,ct,,omission error
2023-11-20 16:21:15.583689,mt,,correct omission
2023-11-20 16:21:16.362698,ct,,omission error
2023-11-20 16:21:17.137807,ct,,omission error
2023-11-20 16:21:17.917429,ct,,omission error
2023-11-20 16:21:18.699617,ct,,omission error
2023-11-20 16:21:19.478377,ct,,omission error
2023-11-20 16:21:20.259100,ct,,omission error
2023-11-20 16:21:21.040612,ct,,omission error
2023-11-20 16:21:21.817734,ct,,omission error
2023-11-20 16:21:22.597555,mt,,correct omission
2023-11-20 16:21:23.377637,ct,,omission error
2023-11-20 16:21:24.153834,ct,,omission error
