time,tag,tr,flag
2023-11-22 20:17:24.349477,ct,,
2023-11-22 20:17:25.130764,ct,,omission error
2023-11-22 20:17:25.910809,ct,,omission error
2023-11-22 20:17:26.691841,ct,,omission error
2023-11-22 20:17:27.469020,mt,,correct omission
2023-11-22 20:17:28.247964,ct,,omission error
2023-11-22 20:17:29.025447,ct,,omission error
2023-11-22 20:17:29.805099,ct,,omission error
2023-11-22 20:17:30.583274,ct,,omission error
2023-11-22 20:17:31.361327,ct,,omission error
2023-11-22 20:17:32.139600,ct,,omission error
2023-11-22 20:17:32.919638,ct,,omission error
2023-11-22 20:17:33.698530,ct,,omission error
2023-11-22 20:17:34.478811,ct,,omission error
2023-11-22 20:17:35.256213,ct,,omission error
2023-11-22 20:17:36.032479,ct,,omission error
2023-11-22 20:17:36.813897,ct,,omission error
2023-11-22 20:17:37.594363,mt,,correct omission
2023-11-22 20:17:38.374015,ct,,omission error
2023-11-22 20:17:39.155766,ct,,omission error
2023-11-22 20:17:39.939829,ct,,omission error
2023-11-22 20:17:40.722039,ct,,omission error
2023-11-22 20:17:41.500688,ct,,omission error
2023-11-22 20:17:42.281384,ct,,omission error
2023-11-22 20:17:43.061570,ct,,omission error
2023-11-22 20:17:43.842376,ct,,omission error
2023-11-22 20:17:44.620974,ct,,omission error
2023-11-22 20:17:45.399884,ct,,omission error
2023-11-22 20:17:46.178284,mt,,correct omission
2023-11-22 20:17:46.958212,ct,,omission error
2023-11-22 20:17:47.738849,ct,,omission error
2023-11-22 20:17:48.517207,mt,,correct omission
2023-11-22 20:17:49.297106,ct,,omission error
2023-11-22 20:17:50.076100,ct,,omission error
2023-11-22 20:17:50.851509,ct,,omission error
2023-11-22 20:17:51.626460,ct,,omission error
2023-11-22 20:17:52.403622,ct,,omission error
2023-11-22 20:17:53.178949,ct,,omission error
2023-11-22 20:17:53.958880,ct,,omission error
2023-11-22 20:17:54.739960,ct,,omission error
2023-11-22 20:17:55.518402,ct,,omission error
2023-11-22 20:17:56.298914,ct,,omission error
2023-11-22 20:17:57.077718,ct,,omission error
2023-11-22 20:17:57.857712,ct,,omission error
2023-11-22 20:17:58.639012,ct,,omission error
2023-11-22 20:17:59.417802,ct,,omission error
2023-11-22 20:18:00.196425,mt,,correct omission
2023-11-22 20:18:00.976177,ct,,omission error
2023-11-22 20:18:01.755878,ct,,omission error
2023-11-22 20:18:02.536802,ct,,omission error
2023-11-22 20:18:03.316850,ct,,omission error
2023-11-22 20:18:04.096032,ct,,omission error
2023-11-22 20:18:04.873238,ct,,omission error
2023-11-22 20:18:05.650833,ct,,omission error
2023-11-22 20:18:06.428330,ct,,omission error
2023-11-22 20:18:07.206793,ct,,omission error
2023-11-22 20:18:07.985940,ct,,omission error
2023-11-22 20:18:08.765216,ct,,omission error
2023-11-22 20:18:09.547370,mt,,correct omission
2023-11-22 20:18:10.327112,ct,,omission error
2023-11-22 20:18:11.107907,ct,,omission error
2023-11-22 20:18:11.888842,ct,,omission error
2023-11-22 20:18:12.670265,ct,,omission error
2023-11-22 20:18:13.450177,ct,,omission error
2023-11-22 20:18:14.229543,mt,,correct omission
2023-11-22 20:18:15.010988,ct,,omission error
2023-11-22 20:18:15.792302,ct,,omission error
2023-11-22 20:18:16.572791,ct,,omission error
2023-11-22 20:18:17.353287,ct,,omission error
2023-11-22 20:18:18.132928,ct,,omission error
2023-11-22 20:18:18.914153,ct,,omission error
2023-11-22 20:18:19.691713,ct,,omission error
2023-11-22 20:18:20.472929,ct,,omission error
2023-11-22 20:18:21.254453,mt,,correct omission
2023-11-22 20:18:22.036637,ct,,omission error
2023-11-22 20:18:22.818424,ct,,omission error
2023-11-22 20:18:23.598081,ct,,omission error
2023-11-22 20:18:24.382214,ct,,omission error
2023-11-22 20:18:25.163784,ct,,omission error
2023-11-22 20:18:25.942278,mt,,correct omission
2023-11-22 20:18:26.720860,ct,,omission error
2023-11-22 20:18:27.502729,ct,,omission error
2023-11-22 20:18:28.282582,ct,,omission error
2023-11-22 20:18:29.063634,ct,,omission error
2023-11-22 20:18:29.846564,ct,,omission error
2023-11-22 20:18:30.624971,ct,,omission error
2023-11-22 20:18:31.405044,ct,,omission error
2023-11-22 20:18:32.184553,ct,,omission error
2023-11-22 20:18:32.964690,ct,,omission error
2023-11-22 20:18:33.741890,mt,,correct omission
2023-11-22 20:18:34.523131,ct,,omission error
2023-11-22 20:18:35.304051,ct,,omission error
2023-11-22 20:18:36.085428,ct,,omission error
2023-11-22 20:18:36.866572,ct,,omission error
2023-11-22 20:18:37.645840,ct,,omission error
2023-11-22 20:18:38.425124,ct,,omission error
2023-11-22 20:18:39.202202,ct,,omission error
2023-11-22 20:18:39.982839,ct,,omission error
2023-11-22 20:18:40.760562,ct,,omission error
2023-11-22 20:18:41.539421,ct,,omission error
2023-11-22 20:18:42.319778,ct,,omission error
2023-11-22 20:18:43.101734,ct,,omission error
2023-11-22 20:18:43.881814,mt,,correct omission
2023-11-22 20:18:44.660544,ct,,omission error
2023-11-22 20:18:45.439888,ct,,omission error
2023-11-22 20:18:46.217783,ct,,omission error
2023-11-22 20:18:46.995465,ct,,omission error
2023-11-22 20:18:47.774848,ct,,omission error
2023-11-22 20:18:48.554879,ct,,omission error
2023-11-22 20:18:49.335137,ct,,omission error
2023-11-22 20:18:50.117561,ct,,omission error
2023-11-22 20:18:50.896773,ct,,omission error
2023-11-22 20:18:51.675717,ct,,omission error
2023-11-22 20:18:52.453469,ct,,omission error
2023-11-22 20:18:53.233115,mt,,correct omission
2023-11-22 20:18:54.014483,ct,,omission error
2023-11-22 20:18:54.793541,ct,,omission error
2023-11-22 20:18:55.570752,ct,,omission error
2023-11-22 20:18:56.351528,ct,,omission error
2023-11-22 20:18:57.130319,ct,,omission error
2023-11-22 20:18:57.907257,ct,,omission error
2023-11-22 20:18:58.686832,ct,,omission error
2023-11-22 20:18:59.466677,ct,,omission error
2023-11-22 20:19:00.245025,ct,,omission error
2023-11-22 20:19:01.024848,ct,,omission error
2023-11-22 20:19:01.802669,ct,,omission error
2023-11-22 20:19:02.580839,mt,,correct omission
2023-11-22 20:19:03.360447,ct,,omission error
2023-11-22 20:19:04.139459,ct,,omission error
2023-11-22 20:19:04.919089,ct,,omission error
2023-11-22 20:19:05.696154,ct,,omission error
2023-11-22 20:19:06.473608,ct,,omission error
2023-11-22 20:19:07.251682,ct,,omission error
2023-11-22 20:19:08.031492,ct,,omission error
2023-11-22 20:19:08.809319,ct,,omission error
2023-11-22 20:19:09.587895,ct,,omission error
2023-11-22 20:19:10.365463,ct,,omission error
2023-11-22 20:19:11.143503,mt,,correct omission
2023-11-22 20:19:11.924522,ct,,omission error
2023-11-22 20:19:12.702156,ct,,omission error
2023-11-22 20:19:13.479772,ct,,omission error
2023-11-22 20:19:14.260209,ct,,omission error
2023-11-22 20:19:15.039897,ct,,omission error
2023-11-22 20:19:15.818281,ct,,omission error
2023-11-22 20:19:16.596885,mt,,correct omission
2023-11-22 20:19:17.377271,ct,,omission error
2023-11-22 20:19:18.155258,ct,,omission error
2023-11-22 20:19:18.932622,ct,,omission error
2023-11-22 20:19:19.710681,ct,,omission error
2023-11-22 20:19:20.490165,ct,,omission error
2023-11-22 20:19:21.270597,ct,,omission error
2023-11-22 20:19:22.048330,ct,,omission error
2023-11-22 20:19:22.828153,ct,,omission error
2023-11-22 20:19:23.606879,ct,,omission error
2023-11-22 20:19:24.385843,ct,,omission error
2023-11-22 20:19:25.164543,ct,,omission error
2023-11-22 20:19:25.947676,ct,,omission error
2023-11-22 20:19:26.726880,mt,,correct omission
2023-11-22 20:19:27.508181,ct,,omission error
2023-11-22 20:19:28.288313,ct,,omission error
2023-11-22 20:19:29.069562,ct,,omission error
2023-11-22 20:19:29.851682,ct,,omission error
2023-11-22 20:19:30.630524,ct,,omission error
2023-11-22 20:19:31.410232,ct,,omission error
2023-11-22 20:19:32.190936,ct,,omission error
2023-11-22 20:19:32.970310,ct,,omission error
