time,tag,tr,flag
2023-11-23 11:01:27.979319,mt,,
2023-11-23 11:01:28.786917,ct,,omission error
2023-11-23 11:01:29.586724,ct,,omission error
2023-11-23 11:01:30.388606,ct,,omission error
2023-11-23 11:01:31.190741,ct,,omission error
2023-11-23 11:01:31.996948,ct,,omission error
2023-11-23 11:01:32.803475,ct,,omission error
2023-11-23 11:01:33.620897,ct,,omission error
2023-11-23 11:01:34.420036,ct,,omission error
2023-11-23 11:01:35.228937,ct,,omission error
2023-11-23 11:01:36.033716,ct,,omission error
2023-11-23 11:01:36.835881,ct,,omission error
2023-11-23 11:01:37.647763,ct,,omission error
2023-11-23 11:01:38.444050,ct,,omission error
2023-11-23 11:01:39.251918,ct,,omission error
2023-11-23 11:01:40.057963,ct,,omission error
2023-11-23 11:01:40.864432,ct,,omission error
2023-11-23 11:01:41.681270,mt,,correct omission
2023-11-23 11:01:42.482760,ct,,omission error
2023-11-23 11:01:43.283196,ct,,omission error
2023-11-23 11:01:44.085672,mt,,correct omission
2023-11-23 11:01:44.895017,ct,,omission error
2023-11-23 11:01:45.699990,ct,,omission error
2023-11-23 11:01:46.504423,ct,,omission error
2023-11-23 11:01:47.307335,ct,,omission error
2023-11-23 11:01:48.107476,ct,,omission error
2023-11-23 11:01:48.908321,ct,,omission error
2023-11-23 11:01:49.706564,ct,,omission error
2023-11-23 11:01:50.504525,ct,,omission error
2023-11-23 11:01:51.305505,ct,,omission error
2023-11-23 11:01:52.107438,ct,,omission error
2023-11-23 11:01:52.906357,ct,,omission error
2023-11-23 11:01:53.707285,ct,,omission error
2023-11-23 11:01:54.512403,mt,,correct omission
2023-11-23 11:01:55.316211,ct,,omission error
2023-11-23 11:01:56.127507,ct,,omission error
2023-11-23 11:01:56.932241,ct,,omission error
2023-11-23 11:01:57.732613,ct,,omission error
2023-11-23 11:01:58.542991,ct,,omission error
2023-11-23 11:01:59.346024,ct,,omission error
2023-11-23 11:02:00.151030,ct,,omission error
2023-11-23 11:02:00.954413,ct,,omission error
2023-11-23 11:02:01.771988,ct,,omission error
2023-11-23 11:02:02.575134,ct,,omission error
2023-11-23 11:02:03.375226,ct,,omission error
2023-11-23 11:02:04.176887,ct,,omission error
2023-11-23 11:02:04.975385,mt,,correct omission
2023-11-23 11:02:05.776414,ct,,omission error
2023-11-23 11:02:06.575532,ct,,omission error
2023-11-23 11:02:07.374570,ct,,omission error
2023-11-23 11:02:08.172784,ct,,omission error
2023-11-23 11:02:08.970511,ct,,omission error
2023-11-23 11:02:09.768334,mt,,correct omission
2023-11-23 11:02:10.568261,ct,,omission error
2023-11-23 11:02:11.367000,ct,,omission error
2023-11-23 11:02:12.181254,ct,,omission error
2023-11-23 11:02:12.978351,ct,,omission error
2023-11-23 11:02:13.798959,ct,,omission error
2023-11-23 11:02:14.607292,ct,,omission error
2023-11-23 11:02:15.416414,ct,,omission error
2023-11-23 11:02:16.225255,ct,,omission error
2023-11-23 11:02:17.045289,ct,,omission error
