time,tag,tr,flag
2023-11-23 16:29:04.040111,ct,,
2023-11-23 16:29:04.845952,ct,,omission error
2023-11-23 16:29:05.643324,ct,,omission error
2023-11-23 16:29:06.461006,ct,,omission error
2023-11-23 16:29:07.261486,ct,,omission error
2023-11-23 16:29:08.078942,ct,,omission error
2023-11-23 16:29:08.889098,ct,,omission error
2023-11-23 16:29:09.701714,ct,,omission error
2023-11-23 16:29:10.501028,mt,,correct omission
2023-11-23 16:29:11.300652,ct,,omission error
2023-11-23 16:29:12.108326,ct,,omission error
2023-11-23 16:29:12.905160,ct,,omission error
2023-11-23 16:29:13.715292,ct,,omission error
2023-11-23 16:29:14.513217,ct,,omission error
2023-11-23 16:29:15.310244,ct,,omission error
2023-11-23 16:29:16.111299,ct,,omission error
2023-11-23 16:29:16.911556,ct,,omission error
2023-11-23 16:29:17.709651,mt,,correct omission
2023-11-23 16:29:18.505168,ct,,omission error
2023-11-23 16:29:19.301040,ct,,omission error
2023-11-23 16:29:20.116138,ct,,omission error
2023-11-23 16:29:20.915023,ct,,omission error
2023-11-23 16:29:21.726764,ct,,omission error
2023-11-23 16:29:22.530373,ct,,omission error
2023-11-23 16:29:23.335061,mt,,correct omission
2023-11-23 16:29:24.133163,ct,,omission error
2023-11-23 16:29:24.936185,ct,,omission error
2023-11-23 16:29:25.738157,ct,,omission error
2023-11-23 16:29:26.535194,ct,,omission error
2023-11-23 16:29:27.336004,ct,,omission error
2023-11-23 16:29:28.140088,ct,,omission error
2023-11-23 16:29:28.940830,ct,,omission error
2023-11-23 16:29:29.737438,ct,,omission error
2023-11-23 16:29:30.533313,ct,,omission error
2023-11-23 16:29:31.341947,ct,,omission error
2023-11-23 16:29:32.140256,ct,,omission error
2023-11-23 16:29:32.939325,ct,,omission error
2023-11-23 16:29:33.751668,mt,,correct omission
2023-11-23 16:29:34.552234,ct,,omission error
2023-11-23 16:29:35.367191,ct,,omission error
2023-11-23 16:29:36.170899,ct,,omission error
2023-11-23 16:29:36.980723,mt,,correct omission
2023-11-23 16:29:37.787615,ct,,omission error
2023-11-23 16:29:38.610401,ct,,omission error
2023-11-23 16:29:39.413730,ct,,omission error
2023-11-23 16:29:40.212880,ct,,omission error
2023-11-23 16:29:41.015860,ct,,omission error
2023-11-23 16:29:41.818846,ct,,omission error
2023-11-23 16:29:42.615679,ct,,omission error
2023-11-23 16:29:43.411475,ct,,omission error
2023-11-23 16:29:44.207523,ct,,omission error
2023-11-23 16:29:45.004912,ct,,omission error
2023-11-23 16:29:45.809474,ct,,omission error
2023-11-23 16:29:46.608585,ct,,omission error
2023-11-23 16:29:47.409248,ct,,omission error
2023-11-23 16:29:48.214820,ct,,omission error
2023-11-23 16:29:49.020794,ct,,omission error
2023-11-23 16:29:49.833848,mt,,correct omission
2023-11-23 16:29:50.646016,ct,,omission error
2023-11-23 16:29:51.460558,ct,,omission error
2023-11-23 16:29:52.269980,ct,,omission error
2023-11-23 16:29:53.074902,ct,,omission error
2023-11-23 16:29:53.871569,mt,,correct omission
2023-11-23 16:29:54.687608,ct,,omission error
2023-11-23 16:29:55.488453,ct,,omission error
2023-11-23 16:29:56.296201,ct,,omission error
2023-11-23 16:29:57.098860,ct,,omission error
2023-11-23 16:29:57.903445,ct,,omission error
2023-11-23 16:29:58.706064,ct,,omission error
2023-11-23 16:29:59.511692,ct,,omission error
2023-11-23 16:30:00.309491,ct,,omission error
2023-11-23 16:30:01.105532,ct,,omission error
2023-11-23 16:30:01.904284,ct,,omission error
2023-11-23 16:30:02.712898,ct,,omission error
2023-11-23 16:30:03.513151,ct,,omission error
2023-11-23 16:30:04.317036,ct,,omission error
2023-11-23 16:30:05.119210,ct,,omission error
2023-11-23 16:30:05.918759,mt,,correct omission
2023-11-23 16:30:06.719775,ct,,omission error
2023-11-23 16:30:07.519368,ct,,omission error
2023-11-23 16:30:08.340169,ct,,omission error
2023-11-23 16:30:09.136746,ct,,omission error
2023-11-23 16:30:09.944106,ct,,omission error
2023-11-23 16:30:10.752824,ct,,omission error
2023-11-23 16:30:11.562080,mt,,correct omission
2023-11-23 16:30:12.364776,ct,,omission error
2023-11-23 16:30:13.168140,ct,,omission error
2023-11-23 16:30:13.965670,ct,,omission error
2023-11-23 16:30:14.763318,ct,,omission error
2023-11-23 16:30:15.566597,ct,,omission error
2023-11-23 16:30:16.369476,ct,,omission error
2023-11-23 16:30:17.180606,ct,,omission error
2023-11-23 16:30:17.979647,ct,,omission error
2023-11-23 16:30:18.777177,ct,,omission error
2023-11-23 16:30:19.579280,ct,,omission error
2023-11-23 16:30:20.386527,ct,,omission error
2023-11-23 16:30:21.188773,mt,,correct omission
2023-11-23 16:30:21.998375,ct,,omission error
2023-11-23 16:30:22.792845,ct,,omission error
2023-11-23 16:30:23.603901,ct,,omission error
2023-11-23 16:30:24.404603,ct,,omission error
2023-11-23 16:30:25.216019,ct,,omission error
2023-11-23 16:30:26.014936,ct,,omission error
2023-11-23 16:30:26.813452,ct,,omission error
2023-11-23 16:30:27.619327,ct,,omission error
2023-11-23 16:30:28.428710,ct,,omission error
2023-11-23 16:30:29.229367,ct,,omission error
2023-11-23 16:30:30.025604,ct,,omission error
2023-11-23 16:30:30.824093,mt,,correct omission
2023-11-23 16:30:31.629850,ct,,omission error
2023-11-23 16:30:32.431548,ct,,omission error
2023-11-23 16:30:33.246456,mt,,correct omission
2023-11-23 16:30:34.046352,ct,,omission error
2023-11-23 16:30:34.853978,ct,,omission error
2023-11-23 16:30:35.663856,ct,,omission error
2023-11-23 16:30:36.470395,ct,,omission error
2023-11-23 16:30:37.269360,ct,,omission error
2023-11-23 16:30:38.072176,ct,,omission error
2023-11-23 16:30:38.891347,ct,,omission error
2023-11-23 16:30:39.690163,ct,,omission error
2023-11-23 16:30:40.505666,ct,,omission error
2023-11-23 16:30:41.315026,ct,,omission error
2023-11-23 16:30:42.114640,ct,,omission error
2023-11-23 16:30:42.926750,mt,,correct omission
2023-11-23 16:30:43.726779,ct,,omission error
2023-11-23 16:30:44.526459,ct,,omission error
2023-11-23 16:30:45.337462,ct,,omission error
2023-11-23 16:30:46.134842,ct,,omission error
2023-11-23 16:30:46.937878,ct,,omission error
2023-11-23 16:30:47.739664,ct,,omission error
2023-11-23 16:30:48.552389,ct,,omission error
2023-11-23 16:30:49.354826,ct,,omission error
2023-11-23 16:30:50.161844,ct,,omission error
2023-11-23 16:30:50.964295,ct,,omission error
2023-11-23 16:30:51.765314,mt,,correct omission
2023-11-23 16:30:52.576863,ct,,omission error
2023-11-23 16:30:53.385298,ct,,omission error
2023-11-23 16:30:54.184091,ct,,omission error
2023-11-23 16:30:54.984357,ct,,omission error
2023-11-23 16:30:55.789867,ct,,omission error
2023-11-23 16:30:56.599626,ct,,omission error
2023-11-23 16:30:57.403177,ct,,omission error
2023-11-23 16:30:58.219685,ct,,omission error
2023-11-23 16:30:59.018920,ct,,omission error
2023-11-23 16:30:59.831754,ct,,omission error
2023-11-23 16:31:00.631964,mt,,correct omission
2023-11-23 16:31:01.445237,ct,,omission error
2023-11-23 16:31:02.250651,ct,,omission error
2023-11-23 16:31:03.054603,ct,,omission error
2023-11-23 16:31:03.872875,ct,,omission error
2023-11-23 16:31:04.678152,ct,,omission error
2023-11-23 16:31:05.492513,ct,,omission error
2023-11-23 16:31:06.295777,ct,,omission error
2023-11-23 16:31:07.101396,ct,,omission error
2023-11-23 16:31:07.904889,mt,,correct omission
2023-11-23 16:31:08.701477,ct,,omission error
2023-11-23 16:31:09.499426,ct,,omission error
2023-11-23 16:31:10.302973,ct,,omission error
2023-11-23 16:31:11.101802,ct,,omission error
2023-11-23 16:31:11.897777,ct,,omission error
2023-11-23 16:31:12.698945,ct,,omission error
2023-11-23 16:31:13.503176,ct,,omission error
2023-11-23 16:31:14.301658,ct,,omission error
2023-11-23 16:31:15.112330,ct,,omission error
2023-11-23 16:31:15.911655,ct,,omission error
2023-11-23 16:31:16.708851,ct,,omission error
2023-11-23 16:31:17.532128,ct,,omission error
2023-11-23 16:31:18.334152,ct,,omission error
2023-11-23 16:31:19.148463,mt,,correct omission
2023-11-23 16:31:19.953567,ct,,omission error
2023-11-23 16:31:20.761459,ct,,omission error
2023-11-23 16:31:21.575058,ct,,omission error
2023-11-23 16:31:22.387696,ct,,omission error
2023-11-23 16:31:23.193196,ct,,omission error
2023-11-23 16:31:23.991569,ct,,omission error
2023-11-23 16:31:24.819793,ct,,omission error
2023-11-23 16:31:25.620344,ct,,omission error
2023-11-23 16:31:26.423012,ct,,omission error
2023-11-23 16:31:27.229227,mt,,correct omission
2023-11-23 16:31:28.040301,ct,,omission error
2023-11-23 16:31:28.841687,ct,,omission error
2023-11-23 16:31:29.639544,ct,,omission error
2023-11-23 16:31:30.445432,mt,,correct omission
2023-11-23 16:31:31.243022,ct,,omission error
2023-11-23 16:31:32.042407,ct,,omission error
2023-11-23 16:31:32.844575,ct,,omission error
2023-11-23 16:31:33.647806,ct,,omission error
2023-11-23 16:31:34.456229,ct,,omission error
2023-11-23 16:31:35.259707,ct,,omission error
2023-11-23 16:31:36.070425,ct,,omission error
2023-11-23 16:31:36.870899,ct,,omission error
2023-11-23 16:31:37.673481,ct,,omission error
2023-11-23 16:31:38.502414,ct,,omission error
2023-11-23 16:31:39.299614,mt,,correct omission
2023-11-23 16:31:40.100105,ct,,omission error
2023-11-23 16:31:40.905385,ct,,omission error
2023-11-23 16:31:41.702789,ct,,omission error
2023-11-23 16:31:42.499169,ct,,omission error
2023-11-23 16:31:43.297940,ct,,omission error
2023-11-23 16:31:44.094234,mt,,correct omission
2023-11-23 16:31:44.897794,ct,,omission error
2023-11-23 16:31:45.694082,ct,,omission error
2023-11-23 16:31:46.511426,ct,,omission error
2023-11-23 16:31:47.324778,ct,,omission error
2023-11-23 16:31:48.127592,ct,,omission error
2023-11-23 16:31:48.933963,ct,,omission error
2023-11-23 16:31:49.733647,ct,,omission error
2023-11-23 16:31:50.530017,ct,,omission error
2023-11-23 16:31:51.412995,ct,,omission error
2023-11-23 16:31:52.218631,ct,,omission error
2023-11-23 16:31:53.019962,ct,,omission error
2023-11-23 16:31:53.827720,ct,,omission error
2023-11-23 16:31:54.627445,ct,,omission error
2023-11-23 16:31:55.433323,ct,,omission error
2023-11-23 16:31:56.240035,ct,,omission error
2023-11-23 16:31:57.038268,mt,,correct omission
2023-11-23 16:31:57.841165,ct,,omission error
2023-11-23 16:31:58.642886,ct,,omission error
2023-11-23 16:31:59.439629,ct,,omission error
2023-11-23 16:32:00.236249,ct,,omission error
2023-11-23 16:32:01.041043,ct,,omission error
2023-11-23 16:32:01.841484,ct,,omission error
2023-11-23 16:32:02.639962,ct,,omission error
2023-11-23 16:32:03.438429,ct,,omission error
2023-11-23 16:32:04.242892,ct,,omission error
2023-11-23 16:32:05.050843,ct,,omission error
2023-11-23 16:32:05.854831,mt,,correct omission
2023-11-23 16:32:06.669388,ct,,omission error
2023-11-23 16:32:07.470890,ct,,omission error
2023-11-23 16:32:08.272647,ct,,omission error
2023-11-23 16:32:09.087300,ct,,omission error
2023-11-23 16:32:09.912330,ct,,omission error
2023-11-23 16:32:10.710382,ct,,omission error
2023-11-23 16:32:11.507876,ct,,omission error
2023-11-23 16:32:12.318007,mt,,correct omission
2023-11-23 16:32:13.112428,ct,,omission error
2023-11-23 16:32:13.909213,ct,,omission error
2023-11-23 16:32:14.713827,ct,,omission error
2023-11-23 16:32:15.513617,ct,,omission error
2023-11-23 16:32:16.310954,ct,,omission error
2023-11-23 16:32:17.109535,ct,,omission error
2023-11-23 16:32:17.907098,ct,,omission error
2023-11-23 16:32:18.712416,ct,,omission error
2023-11-23 16:32:19.508044,ct,,omission error
2023-11-23 16:32:20.307225,mt,,correct omission
2023-11-23 16:32:21.111284,ct,,omission error
