time,tag,tr,flag
2023-11-16 20:25:28.072535,ct,,
2023-11-16 20:25:28.848976,ct,,omission error
2023-11-16 20:25:29.627047,ct,,omission error
2023-11-16 20:25:30.403920,ct,,omission error
2023-11-16 20:25:31.183191,ct,,omission error
2023-11-16 20:25:31.965667,ct,,omission error
2023-11-16 20:25:32.748295,ct,,omission error
2023-11-16 20:25:33.526284,ct,,omission error
2023-11-16 20:25:34.306746,ct,,omission error
2023-11-16 20:25:35.084653,mt,,correct omission
2023-11-16 20:25:35.864209,ct,,omission error
2023-11-16 20:25:36.644371,ct,,omission error
2023-11-16 20:25:37.422854,ct,,omission error
2023-11-16 20:25:38.201616,ct,,omission error
2023-11-16 20:25:38.983659,ct,,omission error
2023-11-16 20:25:39.761703,ct,,omission error
2023-11-16 20:25:40.541034,ct,,omission error
2023-11-16 20:25:41.322969,ct,,omission error
2023-11-16 20:25:42.102488,ct,,omission error
2023-11-16 20:25:42.880994,ct,,omission error
2023-11-16 20:25:43.659686,ct,,omission error
2023-11-16 20:25:44.438011,ct,,omission error
2023-11-16 20:25:45.215963,ct,,omission error
2023-11-16 20:25:45.994373,ct,,omission error
2023-11-16 20:25:46.773312,ct,,omission error
2023-11-16 20:25:47.552037,ct,,omission error
2023-11-16 20:25:48.332688,ct,,omission error
2023-11-16 20:25:49.110462,ct,,omission error
2023-11-16 20:25:49.887139,mt,,correct omission
2023-11-16 20:25:50.663671,ct,,omission error
2023-11-16 20:25:51.444611,ct,,omission error
2023-11-16 20:25:52.224125,ct,,omission error
2023-11-16 20:25:53.003350,ct,,omission error
2023-11-16 20:25:53.783406,ct,,omission error
2023-11-16 20:25:54.561689,ct,,omission error
2023-11-16 20:25:55.341127,mt,,correct omission
2023-11-16 20:25:56.121214,ct,,omission error
2023-11-16 20:25:56.899121,ct,,omission error
2023-11-16 20:25:57.678083,ct,,omission error
2023-11-16 20:25:58.455325,ct,,omission error
2023-11-16 20:25:59.233151,ct,,omission error
2023-11-16 20:26:00.011275,ct,,omission error
2023-11-16 20:26:00.788551,ct,,omission error
2023-11-16 20:26:01.568067,ct,,omission error
2023-11-16 20:26:02.346237,ct,,omission error
2023-11-16 20:26:03.123297,ct,,omission error
2023-11-16 20:26:03.902083,ct,,omission error
2023-11-16 20:26:04.680629,ct,,omission error
2023-11-16 20:26:05.458558,mt,,correct omission
