time,tag,tr,flag
2023-11-18 15:11:32.919807,ct,,
2023-11-18 15:11:33.699973,ct,,omission error
2023-11-18 15:11:34.477901,ct,,omission error
2023-11-18 15:11:35.256029,ct,,omission error
2023-11-18 15:11:36.034238,ct,,omission error
2023-11-18 15:11:36.812797,ct,,omission error
2023-11-18 15:11:37.592152,mt,,correct omission
2023-11-18 15:11:38.369086,ct,,omission error
2023-11-18 15:11:39.147717,ct,,omission error
2023-11-18 15:11:39.927527,ct,,omission error
2023-11-18 15:11:40.704665,ct,,omission error
2023-11-18 15:11:41.481905,ct,,omission error
2023-11-18 15:11:42.257579,ct,,omission error
2023-11-18 15:11:43.035653,ct,,omission error
2023-11-18 15:11:43.812974,ct,,omission error
2023-11-18 15:11:44.589609,ct,,omission error
2023-11-18 15:11:45.365375,ct,,omission error
2023-11-18 15:11:46.144505,ct,,omission error
2023-11-18 15:11:46.921195,mt,,correct omission
2023-11-18 15:11:47.700793,mt,,correct omission
2023-11-18 15:11:48.480049,ct,,omission error
2023-11-18 15:11:49.260189,ct,,omission error
2023-11-18 15:11:50.042205,ct,,omission error
2023-11-18 15:11:50.820366,ct,,omission error
2023-11-18 15:11:51.601690,ct,,omission error
2023-11-18 15:11:52.378130,ct,,omission error
2023-11-18 15:11:53.156917,ct,,omission error
2023-11-18 15:11:53.935111,ct,,omission error
2023-11-18 15:11:54.712534,ct,,omission error
2023-11-18 15:11:55.492669,mt,,correct omission
2023-11-18 15:11:56.274033,ct,,omission error
2023-11-18 15:11:57.057639,ct,,omission error
2023-11-18 15:11:57.836393,ct,,omission error
2023-11-18 15:11:58.617303,ct,,omission error
2023-11-18 15:11:59.397298,ct,,omission error
2023-11-18 15:12:00.177764,ct,,omission error
2023-11-18 15:12:00.956428,ct,,omission error
2023-11-18 15:12:01.735028,ct,,omission error
2023-11-18 15:12:02.516600,ct,,omission error
2023-11-18 15:12:03.296603,ct,,omission error
2023-11-18 15:12:04.075299,ct,,omission error
2023-11-18 15:12:04.856661,ct,,omission error
2023-11-18 15:12:05.633228,ct,,omission error
2023-11-18 15:12:06.411672,ct,,omission error
2023-11-18 15:12:07.188464,ct,,omission error
2023-11-18 15:12:07.967177,ct,,omission error
2023-11-18 15:12:08.745959,ct,,omission error
2023-11-18 15:12:09.524812,mt,,correct omission
2023-11-18 15:12:10.302888,ct,,omission error
2023-11-18 15:12:11.080969,ct,,omission error
2023-11-18 15:12:11.858532,ct,,omission error
2023-11-18 15:12:12.637089,ct,,omission error
2023-11-18 15:12:13.416608,mt,,correct omission
2023-11-18 15:12:14.198252,ct,,omission error
2023-11-18 15:12:14.978093,ct,,omission error
2023-11-18 15:12:15.755460,ct,,omission error
2023-11-18 15:12:16.531362,ct,,omission error
