time,tag,tr,flag
2023-11-18 14:42:50.923340,ct,,
2023-11-18 14:42:51.703838,ct,,omission error
2023-11-18 14:42:52.484481,ct,,omission error
2023-11-18 14:42:53.265019,ct,,omission error
2023-11-18 14:42:54.045899,ct,,omission error
2023-11-18 14:42:54.827069,ct,,omission error
2023-11-18 14:42:55.605057,ct,,omission error
2023-11-18 14:42:56.387522,mt,,correct omission
2023-11-18 14:42:57.169633,ct,,omission error
2023-11-18 14:42:57.950570,ct,,omission error
2023-11-18 14:42:58.731485,ct,,omission error
2023-11-18 14:42:59.510751,ct,,omission error
2023-11-18 14:43:00.294716,ct,,omission error
2023-11-18 14:43:01.075064,ct,,omission error
2023-11-18 14:43:01.855562,mt,,correct omission
2023-11-18 14:43:02.635016,ct,,omission error
2023-11-18 14:43:03.413113,ct,,omission error
2023-11-18 14:43:04.194984,ct,,omission error
2023-11-18 14:43:04.975476,ct,,omission error
2023-11-18 14:43:05.753907,ct,,omission error
2023-11-18 14:43:06.531861,ct,,omission error
2023-11-18 14:43:07.311965,ct,,omission error
2023-11-18 14:43:08.091486,ct,,omission error
2023-11-18 14:43:08.873024,ct,,omission error
2023-11-18 14:43:09.654307,mt,,correct omission
2023-11-18 14:43:10.433260,ct,,omission error
2023-11-18 14:43:11.212748,ct,,omission error
2023-11-18 14:43:11.991635,ct,,omission error
2023-11-18 14:43:12.773350,ct,,omission error
2023-11-18 14:43:13.551095,ct,,omission error
2023-11-18 14:43:14.331210,ct,,omission error
2023-11-18 14:43:15.112927,ct,,omission error
2023-11-18 14:43:15.892270,ct,,omission error
2023-11-18 14:43:16.672178,ct,,omission error
2023-11-18 14:43:17.450435,ct,,omission error
2023-11-18 14:43:18.232910,ct,,omission error
2023-11-18 14:43:19.012328,ct,,omission error
2023-11-18 14:43:19.791735,ct,,omission error
2023-11-18 14:43:20.570990,mt,,correct omission
2023-11-18 14:43:21.349087,ct,,omission error
2023-11-18 14:43:22.129433,ct,,omission error
2023-11-18 14:43:22.910481,ct,,omission error
2023-11-18 14:43:23.689399,ct,,omission error
2023-11-18 14:43:24.469183,ct,,omission error
2023-11-18 14:43:25.252358,ct,,omission error
2023-11-18 14:43:26.035797,ct,,omission error
2023-11-18 14:43:26.818384,ct,,omission error
2023-11-18 14:43:27.600467,ct,,omission error
2023-11-18 14:43:28.380018,mt,,correct omission
2023-11-18 14:43:29.157501,ct,,omission error
2023-11-18 14:43:29.937964,ct,,omission error
2023-11-18 14:43:30.719408,ct,,omission error
2023-11-18 14:43:31.500799,ct,,omission error
2023-11-18 14:43:32.280523,ct,,omission error
2023-11-18 14:43:33.059452,ct,,omission error
2023-11-18 14:43:33.840721,ct,,omission error
2023-11-18 14:43:34.618559,ct,,omission error
2023-11-18 14:43:35.399552,ct,,omission error
2023-11-18 14:43:36.178689,mt,,correct omission
2023-11-18 14:43:36.960601,ct,,omission error
2023-11-18 14:43:37.742167,mt,,correct omission
2023-11-18 14:43:38.522627,ct,,omission error
2023-11-18 14:43:39.299961,ct,,omission error
2023-11-18 14:43:40.082804,ct,,omission error
2023-11-18 14:43:40.862545,ct,,omission error
2023-11-18 14:43:41.641194,ct,,omission error
2023-11-18 14:43:42.418110,ct,,omission error
2023-11-18 14:43:43.197075,ct,,omission error
2023-11-18 14:43:43.975586,ct,,omission error
2023-11-18 14:43:44.756743,ct,,omission error
2023-11-18 14:43:45.537276,ct,,omission error
2023-11-18 14:43:46.319018,mt,,correct omission
2023-11-18 14:43:47.096939,ct,,omission error
2023-11-18 14:43:47.876541,ct,,omission error
2023-11-18 14:43:48.658074,ct,,omission error
2023-11-18 14:43:49.437677,ct,,omission error
2023-11-18 14:43:50.218327,ct,,omission error
2023-11-18 14:43:50.999284,ct,,omission error
2023-11-18 14:43:51.778142,ct,,omission error
2023-11-18 14:43:52.558310,ct,,omission error
2023-11-18 14:43:53.338725,ct,,omission error
2023-11-18 14:43:54.119657,ct,,omission error
2023-11-18 14:43:54.897372,mt,,correct omission
2023-11-18 14:43:55.676714,ct,,omission error
2023-11-18 14:43:56.455454,ct,,omission error
2023-11-18 14:43:57.235934,ct,,omission error
2023-11-18 14:43:58.014328,ct,,omission error
2023-11-18 14:43:58.795972,ct,,omission error
2023-11-18 14:43:59.576437,ct,,omission error
2023-11-18 14:44:00.355675,ct,,omission error
2023-11-18 14:44:01.139457,ct,,omission error
2023-11-18 14:44:01.918959,ct,,omission error
2023-11-18 14:44:02.698354,ct,,omission error
2023-11-18 14:44:03.480816,ct,,omission error
2023-11-18 14:44:04.261394,mt,,correct omission
2023-11-18 14:44:05.040265,ct,,omission error
2023-11-18 14:44:05.818670,ct,,omission error
2023-11-18 14:44:06.598106,ct,,omission error
2023-11-18 14:44:07.380003,ct,,omission error
2023-11-18 14:44:08.161018,ct,,omission error
2023-11-18 14:44:08.939227,ct,,omission error
2023-11-18 14:44:09.720360,ct,,omission error
2023-11-18 14:44:10.498325,ct,,omission error
2023-11-18 14:44:11.277296,ct,,omission error
2023-11-18 14:44:12.057209,ct,,omission error
2023-11-18 14:44:12.836716,ct,,omission error
2023-11-18 14:44:13.616832,ct,,omission error
2023-11-18 14:44:14.399369,mt,,correct omission
2023-11-18 14:44:15.180667,ct,,omission error
2023-11-18 14:44:15.959461,mt,,correct omission
2023-11-18 14:44:16.740131,ct,,omission error
2023-11-18 14:44:17.520210,ct,,omission error
2023-11-18 14:44:18.299479,ct,,omission error
2023-11-18 14:44:19.079795,ct,,omission error
2023-11-18 14:44:19.860512,ct,,omission error
2023-11-18 14:44:20.643810,ct,,omission error
2023-11-18 14:44:21.425742,ct,,omission error
2023-11-18 14:44:22.209232,ct,,omission error
2023-11-18 14:44:22.989197,ct,,omission error
2023-11-18 14:44:23.769208,ct,,omission error
2023-11-18 14:44:24.549638,mt,,correct omission
2023-11-18 14:44:25.330107,ct,,omission error
2023-11-18 14:44:26.112896,ct,,omission error
2023-11-18 14:44:26.894790,ct,,omission error
2023-11-18 14:44:27.675941,ct,,omission error
2023-11-18 14:44:28.457799,ct,,omission error
2023-11-18 14:44:29.240823,ct,,omission error
2023-11-18 14:44:30.022194,ct,,omission error
2023-11-18 14:44:30.801820,ct,,omission error
2023-11-18 14:44:31.583451,ct,,omission error
2023-11-18 14:44:32.363478,ct,,omission error
2023-11-18 14:44:33.143281,ct,,omission error
2023-11-18 14:44:33.925472,mt,,correct omission
2023-11-18 14:44:34.705535,ct,,omission error
2023-11-18 14:44:35.486669,ct,,omission error
2023-11-18 14:44:36.267675,ct,,omission error
2023-11-18 14:44:37.047361,ct,,omission error
2023-11-18 14:44:37.827105,ct,,omission error
2023-11-18 14:44:38.608065,ct,,omission error
2023-11-18 14:44:39.391127,ct,,omission error
2023-11-18 14:44:40.173978,ct,,omission error
2023-11-18 14:44:40.954448,mt,,correct omission
2023-11-18 14:44:41.733566,ct,,omission error
2023-11-18 14:44:42.512857,ct,,omission error
2023-11-18 14:44:43.292339,ct,,omission error
2023-11-18 14:44:44.071212,ct,,omission error
2023-11-18 14:44:44.850507,ct,,omission error
2023-11-18 14:44:45.632035,ct,,omission error
2023-11-18 14:44:46.412377,ct,,omission error
2023-11-18 14:44:47.192588,ct,,omission error
2023-11-18 14:44:47.972675,ct,,omission error
2023-11-18 14:44:48.752803,ct,,omission error
2023-11-18 14:44:49.531534,ct,,omission error
2023-11-18 14:44:50.313646,ct,,omission error
2023-11-18 14:44:51.095123,mt,,correct omission
2023-11-18 14:44:51.877950,ct,,omission error
2023-11-18 14:44:52.658945,ct,,omission error
2023-11-18 14:44:53.439927,ct,,omission error
2023-11-18 14:44:54.220117,ct,,omission error
2023-11-18 14:44:55.004350,ct,,omission error
2023-11-18 14:44:55.785183,ct,,omission error
2023-11-18 14:44:56.564596,ct,,omission error
2023-11-18 14:44:57.342413,ct,,omission error
2023-11-18 14:44:58.123088,ct,,omission error
2023-11-18 14:44:58.903545,ct,,omission error
2023-11-18 14:44:59.684588,ct,,omission error
2023-11-18 14:45:00.463922,ct,,omission error
2023-11-18 14:45:01.245651,ct,,omission error
2023-11-18 14:45:02.026052,mt,,correct omission
2023-11-18 14:45:02.805434,ct,,omission error
2023-11-18 14:45:03.585595,ct,,omission error
2023-11-18 14:45:04.367168,ct,,omission error
2023-11-18 14:45:05.148672,mt,,correct omission
2023-11-18 14:45:05.928389,ct,,omission error
2023-11-18 14:45:06.706105,ct,,omission error
2023-11-18 14:45:07.486757,ct,,omission error
2023-11-18 14:45:08.265801,ct,,omission error
2023-11-18 14:45:09.043920,ct,,omission error
2023-11-18 14:45:09.824774,ct,,omission error
2023-11-18 14:45:10.603712,ct,,omission error
2023-11-18 14:45:11.383826,ct,,omission error
2023-11-18 14:45:12.165789,ct,,omission error
2023-11-18 14:45:12.947618,ct,,omission error
2023-11-18 14:45:13.727404,ct,,omission error
2023-11-18 14:45:14.508203,ct,,omission error
2023-11-18 14:45:15.287962,ct,,omission error
2023-11-18 14:45:16.068230,ct,,omission error
2023-11-18 14:45:16.847654,ct,,omission error
2023-11-18 14:45:17.625888,mt,,correct omission
2023-11-18 14:45:18.403142,ct,,omission error
2023-11-18 14:45:19.183911,ct,,omission error
2023-11-18 14:45:19.962947,ct,,omission error
2023-11-18 14:45:20.741782,ct,,omission error
2023-11-18 14:45:21.522777,ct,,omission error
2023-11-18 14:45:22.305866,ct,,omission error
2023-11-18 14:45:23.084999,ct,,omission error
2023-11-18 14:45:23.867953,ct,,omission error
2023-11-18 14:45:24.648691,ct,,omission error
2023-11-18 14:45:25.431485,mt,,correct omission
2023-11-18 14:45:26.215636,ct,,omission error
2023-11-18 14:45:26.996135,ct,,omission error
2023-11-18 14:45:27.776500,ct,,omission error
2023-11-18 14:45:28.555076,ct,,omission error
2023-11-18 14:45:29.338246,ct,,omission error
2023-11-18 14:45:30.118965,ct,,omission error
2023-11-18 14:45:30.899789,mt,,correct omission
2023-11-18 14:45:31.680079,ct,,omission error
2023-11-18 14:45:32.459367,ct,,omission error
2023-11-18 14:45:33.239330,ct,,omission error
2023-11-18 14:45:34.018309,ct,,omission error
2023-11-18 14:45:34.795583,mt,,correct omission
2023-11-18 14:45:35.575744,ct,,omission error
2023-11-18 14:45:36.356643,ct,,omission error
2023-11-18 14:45:37.133797,ct,,omission error
2023-11-18 14:45:37.914610,ct,,omission error
2023-11-18 14:45:38.696460,ct,,omission error
2023-11-18 14:45:39.477089,ct,,omission error
2023-11-18 14:45:40.256997,ct,,omission error
2023-11-18 14:45:41.037539,ct,,omission error
2023-11-18 14:45:41.818894,ct,,omission error
2023-11-18 14:45:42.597987,ct,,omission error
2023-11-18 14:45:43.379667,ct,,omission error
2023-11-18 14:45:44.160321,ct,,omission error
2023-11-18 14:45:44.937476,ct,,omission error
2023-11-18 14:45:45.716423,ct,,omission error
2023-11-18 14:45:46.497130,ct,,omission error
2023-11-18 14:45:47.276295,mt,,correct omission
2023-11-18 14:45:48.056190,ct,,omission error
2023-11-18 14:45:48.837340,ct,,omission error
2023-11-18 14:45:49.616136,ct,,omission error
2023-11-18 14:45:50.394242,ct,,omission error
2023-11-18 14:45:51.174026,ct,,omission error
2023-11-18 14:45:51.954827,ct,,omission error
2023-11-18 14:45:52.733518,ct,,omission error
2023-11-18 14:45:53.512990,ct,,omission error
2023-11-18 14:45:54.292430,ct,,omission error
2023-11-18 14:45:55.072218,mt,,correct omission
2023-11-18 14:45:55.852225,ct,,omission error
2023-11-18 14:45:56.631461,ct,,omission error
2023-11-18 14:45:57.410742,ct,,omission error
2023-11-18 14:45:58.188760,ct,,omission error
2023-11-18 14:45:58.968726,ct,,omission error
2023-11-18 14:45:59.750004,ct,,omission error
2023-11-18 14:46:00.529720,mt,,correct omission
2023-11-18 14:46:01.309260,ct,,omission error
2023-11-18 14:46:02.089489,ct,,omission error
2023-11-18 14:46:02.869603,ct,,omission error
2023-11-18 14:46:03.649503,ct,,omission error
2023-11-18 14:46:04.431132,ct,,omission error
2023-11-18 14:46:05.210014,ct,,omission error
2023-11-18 14:46:05.988194,ct,,omission error
2023-11-18 14:46:06.767984,mt,,correct omission
2023-11-18 14:46:07.546842,ct,,omission error
2023-11-18 14:46:08.326898,ct,,omission error
2023-11-18 14:46:09.105647,ct,,omission error
2023-11-18 14:46:09.887605,ct,,omission error
2023-11-18 14:46:10.670047,ct,,omission error
2023-11-18 14:46:11.452305,ct,,omission error
2023-11-18 14:46:12.231676,ct,,omission error
2023-11-18 14:46:13.014243,ct,,omission error
2023-11-18 14:46:13.795299,ct,,omission error
2023-11-18 14:46:14.575861,ct,,omission error
2023-11-18 14:46:15.354244,ct,,omission error
2023-11-18 14:46:16.134114,ct,,omission error
2023-11-18 14:46:16.915087,ct,,omission error
2023-11-18 14:46:17.696842,ct,,omission error
2023-11-18 14:46:18.476206,mt,,correct omission
2023-11-18 14:46:19.255076,ct,,omission error
2023-11-18 14:46:20.037169,ct,,omission error
2023-11-18 14:46:20.818445,ct,,omission error
2023-11-18 14:46:21.597070,ct,,omission error
2023-11-18 14:46:22.378387,ct,,omission error
2023-11-18 14:46:23.159780,ct,,omission error
2023-11-18 14:46:23.939190,mt,,correct omission
2023-11-18 14:46:24.718134,ct,,omission error
2023-11-18 14:46:25.496502,ct,,omission error
2023-11-18 14:46:26.276039,ct,,omission error
2023-11-18 14:46:27.056521,ct,,omission error
2023-11-18 14:46:27.839267,ct,,omission error
2023-11-18 14:46:28.619611,ct,,omission error
2023-11-18 14:46:29.399187,ct,,omission error
2023-11-18 14:46:30.179631,ct,,omission error
2023-11-18 14:46:30.960271,mt,,correct omission
2023-11-18 14:46:31.742199,ct,,omission error
2023-11-18 14:46:32.523116,ct,,omission error
2023-11-18 14:46:33.304471,ct,,omission error
2023-11-18 14:46:34.087339,ct,,omission error
2023-11-18 14:46:34.866687,ct,,omission error
2023-11-18 14:46:35.650285,ct,,omission error
2023-11-18 14:46:36.431336,ct,,omission error
2023-11-18 14:46:37.211598,ct,,omission error
