time,tag,tr,flag
2023-11-17 15:19:29.960024,ct,,
2023-11-17 15:19:30.739188,ct,,omission error
2023-11-17 15:19:31.519129,ct,,omission error
2023-11-17 15:19:32.298001,ct,,omission error
2023-11-17 15:19:33.078390,mt,,correct omission
2023-11-17 15:19:33.857210,ct,,omission error
2023-11-17 15:19:34.636027,ct,,omission error
2023-11-17 15:19:35.415604,ct,,omission error
2023-11-17 15:19:36.193973,ct,,omission error
2023-11-17 15:19:36.973313,ct,,omission error
2023-11-17 15:19:37.753727,mt,,correct omission
2023-11-17 15:19:38.531978,ct,,omission error
2023-11-17 15:19:39.310341,ct,,omission error
2023-11-17 15:19:40.088841,ct,,omission error
2023-11-17 15:19:40.869539,ct,,omission error
2023-11-17 15:19:41.649729,ct,,omission error
2023-11-17 15:19:42.429058,ct,,omission error
2023-11-17 15:19:43.208075,ct,,omission error
2023-11-17 15:19:43.986240,ct,,omission error
2023-11-17 15:19:44.766206,ct,,omission error
2023-11-17 15:19:45.546394,ct,,omission error
2023-11-17 15:19:46.326934,ct,,omission error
2023-11-17 15:19:47.105955,ct,,omission error
2023-11-17 15:19:47.884798,mt,,correct omission
2023-11-17 15:19:48.663738,ct,,omission error
2023-11-17 15:19:49.442294,ct,,omission error
2023-11-17 15:19:50.220435,ct,,omission error
2023-11-17 15:19:51.000786,ct,,omission error
2023-11-17 15:19:51.781944,ct,,omission error
2023-11-17 15:19:52.561886,mt,,correct omission
2023-11-17 15:19:53.342873,ct,,omission error
2023-11-17 15:19:54.122568,ct,,omission error
2023-11-17 15:19:54.900623,ct,,omission error
2023-11-17 15:19:55.678422,ct,,omission error
2023-11-17 15:19:56.457008,ct,,omission error
2023-11-17 15:19:57.236785,ct,,omission error
2023-11-17 15:19:58.017140,ct,,omission error
2023-11-17 15:19:58.795196,ct,,omission error
2023-11-17 15:19:59.574116,ct,,omission error
2023-11-17 15:20:00.351575,ct,,omission error
2023-11-17 15:20:01.130677,ct,,omission error
2023-11-17 15:20:01.909097,ct,,omission error
2023-11-17 15:20:02.686483,ct,,omission error
2023-11-17 15:20:03.464958,ct,,omission error
2023-11-17 15:20:04.244377,ct,,omission error
2023-11-17 15:20:05.024053,ct,,omission error
2023-11-17 15:20:05.801807,ct,,omission error
2023-11-17 15:20:06.581677,ct,,omission error
2023-11-17 15:20:07.357876,mt,,correct omission
2023-11-17 15:20:08.135726,ct,,omission error
2023-11-17 15:20:08.914365,ct,,omission error
2023-11-17 15:20:09.692238,ct,,omission error
2023-11-17 15:20:10.470588,ct,,omission error
2023-11-17 15:20:11.249491,ct,,omission error
2023-11-17 15:20:12.028344,ct,,omission error
2023-11-17 15:20:12.806619,mt,,correct omission
2023-11-17 15:20:13.585677,ct,,omission error
2023-11-17 15:20:14.366373,ct,,omission error
2023-11-17 15:20:15.148338,ct,,omission error
2023-11-17 15:20:15.928456,ct,,omission error
2023-11-17 15:20:16.707463,ct,,omission error
2023-11-17 15:20:17.486733,ct,,omission error
2023-11-17 15:20:18.264081,mt,,correct omission
2023-11-17 15:20:19.041954,ct,,omission error
2023-11-17 15:20:19.819292,ct,,omission error
2023-11-17 15:20:20.599567,ct,,omission error
2023-11-17 15:20:21.379737,ct,,omission error
2023-11-17 15:20:22.158472,ct,,omission error
2023-11-17 15:20:22.936859,ct,,omission error
2023-11-17 15:20:23.715213,ct,,omission error
2023-11-17 15:20:24.493728,ct,,omission error
