time,tag,tr,flag
2023-11-18 12:32:21.749499,ct,,
2023-11-18 12:32:22.527296,mt,,correct omission
2023-11-18 12:32:23.303571,ct,,omission error
2023-11-18 12:32:24.079901,ct,,omission error
2023-11-18 12:32:24.855536,ct,,omission error
2023-11-18 12:32:25.629716,ct,,omission error
2023-11-18 12:32:26.405337,ct,,omission error
2023-11-18 12:32:27.182224,ct,,omission error
2023-11-18 12:32:27.957360,ct,,omission error
2023-11-18 12:32:28.734018,ct,,omission error
2023-11-18 12:32:29.507610,ct,,omission error
2023-11-18 12:32:30.282228,mt,,correct omission
2023-11-18 12:32:31.059367,ct,,omission error
2023-11-18 12:32:31.835834,ct,,omission error
2023-11-18 12:32:32.611140,ct,,omission error
2023-11-18 12:32:33.386536,ct,,omission error
2023-11-18 12:32:34.164171,ct,,omission error
2023-11-18 12:32:34.942541,ct,,omission error
2023-11-18 12:32:35.718670,ct,,omission error
2023-11-18 12:32:36.493109,ct,,omission error
2023-11-18 12:32:37.268770,ct,,omission error
2023-11-18 12:32:38.045425,ct,,omission error
2023-11-18 12:32:38.822899,ct,,omission error
2023-11-18 12:32:39.598198,ct,,omission error
2023-11-18 12:32:40.375640,mt,,correct omission
2023-11-18 12:32:41.152040,ct,,omission error
2023-11-18 12:32:41.928452,ct,,omission error
2023-11-18 12:32:42.704915,ct,,omission error
2023-11-18 12:32:43.480471,ct,,omission error
2023-11-18 12:32:44.257811,ct,,omission error
2023-11-18 12:32:45.032266,ct,,omission error
2023-11-18 12:32:45.809466,ct,,omission error
2023-11-18 12:32:46.585973,ct,,omission error
2023-11-18 12:32:47.362033,ct,,omission error
2023-11-18 12:32:48.139042,ct,,omission error
2023-11-18 12:32:48.914792,ct,,omission error
2023-11-18 12:32:49.690471,ct,,omission error
2023-11-18 12:32:50.468752,mt,,correct omission
2023-11-18 12:32:51.243520,ct,,omission error
2023-11-18 12:32:52.018212,ct,,omission error
2023-11-18 12:32:52.793290,ct,,omission error
