time,tag,tr,flag
2023-11-16 19:10:18.309771,mt,,
2023-11-16 19:10:19.091160,ct,,omission error
2023-11-16 19:10:19.874242,ct,,omission error
2023-11-16 19:10:20.653479,ct,,omission error
2023-11-16 19:10:21.430855,ct,,omission error
2023-11-16 19:10:22.211180,ct,,omission error
2023-11-16 19:10:22.993048,ct,,omission error
2023-11-16 19:10:23.772903,ct,,omission error
2023-11-16 19:10:24.552980,ct,,omission error
2023-11-16 19:10:25.332155,ct,,omission error
2023-11-16 19:10:26.112398,ct,,omission error
2023-11-16 19:10:26.890278,ct,,omission error
2023-11-16 19:10:27.672942,ct,,omission error
2023-11-16 19:10:28.451965,ct,,omission error
2023-11-16 19:10:29.231395,ct,,omission error
2023-11-16 19:10:30.009552,ct,,omission error
2023-11-16 19:10:30.788258,ct,,omission error
2023-11-16 19:10:31.568638,mt,,correct omission
2023-11-16 19:10:32.350996,ct,,omission error
2023-11-16 19:10:33.131731,mt,,correct omission
2023-11-16 19:10:33.911342,ct,,omission error
2023-11-16 19:10:34.692051,ct,,omission error
2023-11-16 19:10:35.474152,ct,,omission error
2023-11-16 19:10:36.255431,ct,,omission error
2023-11-16 19:10:37.034545,ct,,omission error
2023-11-16 19:10:37.815675,ct,,omission error
2023-11-16 19:10:38.598272,ct,,omission error
2023-11-16 19:10:39.379287,ct,,omission error
2023-11-16 19:10:40.159698,ct,,omission error
2023-11-16 19:10:40.941784,ct,,omission error
2023-11-16 19:10:41.721892,ct,,omission error
2023-11-16 19:10:42.498544,ct,,omission error
2023-11-16 19:10:43.277516,mt,,correct omission
2023-11-16 19:10:44.056467,ct,,omission error
2023-11-16 19:10:44.837365,ct,,omission error
2023-11-16 19:10:45.618572,ct,,omission error
2023-11-16 19:10:46.396412,ct,,omission error
2023-11-16 19:10:47.177532,ct,,omission error
2023-11-16 19:10:47.957797,ct,,omission error
2023-11-16 19:10:48.739229,mt,,correct omission
2023-11-16 19:10:49.520242,ct,,omission error
2023-11-16 19:10:50.298864,ct,,omission error
2023-11-16 19:10:51.080140,ct,,omission error
2023-11-16 19:10:51.858665,ct,,omission error
2023-11-16 19:10:52.638044,ct,,omission error
2023-11-16 19:10:53.417516,ct,,omission error
2023-11-16 19:10:54.196083,ct,,omission error
2023-11-16 19:10:54.973442,ct,,omission error
2023-11-16 19:10:55.753801,ct,,omission error
2023-11-16 19:10:56.537360,mt,,correct omission
2023-11-16 19:10:57.317138,ct,,omission error
2023-11-16 19:10:58.097177,ct,,omission error
2023-11-16 19:10:58.877135,ct,,omission error
2023-11-16 19:10:59.654999,ct,,omission error
2023-11-16 19:11:00.434037,ct,,omission error
2023-11-16 19:11:01.213708,ct,,omission error
2023-11-16 19:11:01.993700,ct,,omission error
2023-11-16 19:11:02.774104,ct,,omission error
2023-11-16 19:11:03.553901,ct,,omission error
2023-11-16 19:11:04.334535,ct,,omission error
2023-11-16 19:11:05.114645,ct,,omission error
2023-11-16 19:11:05.894303,ct,,omission error
2023-11-16 19:11:06.676889,ct,,omission error
2023-11-16 19:11:07.458834,mt,,correct omission
2023-11-16 19:11:08.238420,ct,,omission error
2023-11-16 19:11:09.018794,ct,,omission error
2023-11-16 19:11:09.796280,ct,,omission error
2023-11-16 19:11:10.580087,ct,,omission error
2023-11-16 19:11:11.361070,ct,,omission error
2023-11-16 19:11:12.142730,ct,,omission error
2023-11-16 19:11:12.921102,ct,,omission error
2023-11-16 19:11:13.701826,ct,,omission error
2023-11-16 19:11:14.480873,mt,,correct omission
2023-11-16 19:11:15.262700,ct,,omission error
2023-11-16 19:11:16.040044,ct,,omission error
2023-11-16 19:11:16.817067,ct,,omission error
2023-11-16 19:11:17.595425,ct,,omission error
2023-11-16 19:11:18.373957,ct,,omission error
2023-11-16 19:11:19.151856,ct,,omission error
2023-11-16 19:11:19.931348,ct,,omission error
2023-11-16 19:11:20.709024,ct,,omission error
2023-11-16 19:11:21.489659,ct,,omission error
2023-11-16 19:11:22.270270,ct,,omission error
2023-11-16 19:11:23.053686,mt,,correct omission
2023-11-16 19:11:23.834951,ct,,omission error
2023-11-16 19:11:24.612828,ct,,omission error
2023-11-16 19:11:25.390409,ct,,omission error
2023-11-16 19:11:26.172152,ct,,omission error
2023-11-16 19:11:26.954432,ct,,omission error
2023-11-16 19:11:27.734172,ct,,omission error
2023-11-16 19:11:28.515380,ct,,omission error
2023-11-16 19:11:29.297001,ct,,omission error
2023-11-16 19:11:30.078058,ct,,omission error
2023-11-16 19:11:30.863959,ct,,omission error
2023-11-16 19:11:31.643658,ct,,omission error
2023-11-16 19:11:32.422969,ct,,omission error
2023-11-16 19:11:33.202562,mt,,correct omission
2023-11-16 19:11:33.984482,ct,,omission error
2023-11-16 19:11:34.766828,ct,,omission error
2023-11-16 19:11:35.547968,ct,,omission error
2023-11-16 19:11:36.327178,ct,,omission error
2023-11-16 19:11:37.105500,ct,,omission error
2023-11-16 19:11:37.884590,ct,,omission error
2023-11-16 19:11:38.665566,ct,,omission error
2023-11-16 19:11:39.441734,ct,,omission error
2023-11-16 19:11:40.222285,ct,,omission error
2023-11-16 19:11:41.001709,ct,,omission error
2023-11-16 19:11:41.782452,ct,,omission error
2023-11-16 19:11:42.562339,mt,,correct omission
2023-11-16 19:11:43.343654,ct,,omission error
2023-11-16 19:11:44.125520,ct,,omission error
2023-11-16 19:11:44.907943,ct,,omission error
2023-11-16 19:11:45.687353,ct,,omission error
2023-11-16 19:11:46.467771,ct,,omission error
2023-11-16 19:11:47.247768,ct,,omission error
2023-11-16 19:11:48.028949,ct,,omission error
2023-11-16 19:11:48.808539,ct,,omission error
2023-11-16 19:11:49.588946,mt,,correct omission
2023-11-16 19:11:50.369689,ct,,omission error
2023-11-16 19:11:51.153566,mt,,correct omission
2023-11-16 19:11:51.932948,ct,,omission error
2023-11-16 19:11:52.713904,ct,,omission error
2023-11-16 19:11:53.492486,ct,,omission error
