time,tag,tr,flag
2023-11-16 14:59:16.282377,ct,,
2023-11-16 14:59:17.064944,mt,,correct omission
2023-11-16 14:59:17.842559,ct,,omission error
2023-11-16 14:59:18.624598,ct,,omission error
2023-11-16 14:59:19.405735,ct,,omission error
2023-11-16 14:59:20.182317,ct,,omission error
2023-11-16 14:59:20.961323,ct,,omission error
2023-11-16 14:59:21.742162,ct,,omission error
2023-11-16 14:59:22.517399,ct,,omission error
2023-11-16 14:59:23.296192,ct,,omission error
2023-11-16 14:59:24.073910,ct,,omission error
2023-11-16 14:59:24.850981,ct,,omission error
2023-11-16 14:59:25.631817,ct,,omission error
2023-11-16 14:59:26.410619,ct,,omission error
2023-11-16 14:59:27.186787,ct,,omission error
2023-11-16 14:59:27.966286,ct,,omission error
2023-11-16 14:59:28.747052,ct,,omission error
2023-11-16 14:59:29.524517,mt,,correct omission
2023-11-16 14:59:30.305778,ct,,omission error
2023-11-16 14:59:31.081645,ct,,omission error
2023-11-16 14:59:31.860849,ct,,omission error
2023-11-16 14:59:32.637871,ct,,omission error
2023-11-16 14:59:33.415756,mt,,correct omission
2023-11-16 14:59:34.193540,ct,,omission error
2023-11-16 14:59:34.971900,ct,,omission error
2023-11-16 14:59:35.750903,ct,,omission error
2023-11-16 14:59:36.529229,ct,,omission error
2023-11-16 14:59:37.306769,ct,,omission error
2023-11-16 14:59:38.083793,ct,,omission error
2023-11-16 14:59:38.861129,mt,,correct omission
2023-11-16 14:59:39.640512,ct,,omission error
2023-11-16 14:59:40.418937,ct,,omission error
2023-11-16 14:59:41.197610,ct,,omission error
2023-11-16 14:59:41.977932,ct,,omission error
2023-11-16 14:59:42.756708,ct,,omission error
2023-11-16 14:59:43.535111,ct,,omission error
2023-11-16 14:59:44.312015,ct,,omission error
2023-11-16 14:59:45.092658,ct,,omission error
2023-11-16 14:59:45.871561,ct,,omission error
2023-11-16 14:59:46.650554,ct,,omission error
2023-11-16 14:59:47.430027,ct,,omission error
2023-11-16 14:59:48.207444,ct,,omission error
2023-11-16 14:59:48.987939,ct,,omission error
2023-11-16 14:59:49.767815,ct,,omission error
2023-11-16 14:59:50.546694,ct,,omission error
2023-11-16 14:59:51.325254,ct,,omission error
2023-11-16 14:59:52.105154,ct,,omission error
2023-11-16 14:59:52.881853,ct,,omission error
2023-11-16 14:59:53.659290,mt,,correct omission
2023-11-16 14:59:54.435451,ct,,omission error
2023-11-16 14:59:55.214304,ct,,omission error
2023-11-16 14:59:55.991454,ct,,omission error
2023-11-16 14:59:56.770134,ct,,omission error
2023-11-16 14:59:57.549065,ct,,omission error
2023-11-16 14:59:58.326867,ct,,omission error
2023-11-16 14:59:59.101963,mt,,correct omission
2023-11-16 14:59:59.879762,ct,,omission error
2023-11-16 15:00:00.656286,ct,,omission error
2023-11-16 15:00:01.432825,ct,,omission error
2023-11-16 15:00:02.210396,ct,,omission error
2023-11-16 15:00:02.989173,ct,,omission error
2023-11-16 15:00:03.767562,ct,,omission error
2023-11-16 15:00:04.547701,ct,,omission error
2023-11-16 15:00:05.327481,ct,,omission error
2023-11-16 15:00:06.111959,ct,,omission error
2023-11-16 15:00:06.889615,mt,,correct omission
2023-11-16 15:00:07.667977,ct,,omission error
2023-11-16 15:00:08.447218,ct,,omission error
2023-11-16 15:00:09.223390,ct,,omission error
2023-11-16 15:00:10.002232,ct,,omission error
2023-11-16 15:00:10.780328,ct,,omission error
2023-11-16 15:00:11.555162,ct,,omission error
2023-11-16 15:00:12.333582,mt,,correct omission
2023-11-16 15:00:13.111319,ct,,omission error
2023-11-16 15:00:13.886279,ct,,omission error
2023-11-16 15:00:14.662849,ct,,omission error
2023-11-16 15:00:15.440379,ct,,omission error
2023-11-16 15:00:16.217922,ct,,omission error
2023-11-16 15:00:16.995894,ct,,omission error
2023-11-16 15:00:17.773847,ct,,omission error
2023-11-16 15:00:18.552644,ct,,omission error
2023-11-16 15:00:19.331866,ct,,omission error
2023-11-16 15:00:20.108762,ct,,omission error
2023-11-16 15:00:20.887166,ct,,omission error
2023-11-16 15:00:21.664917,ct,,omission error
2023-11-16 15:00:22.442938,ct,,omission error
2023-11-16 15:00:23.221099,ct,,omission error
2023-11-16 15:00:24.001996,ct,,omission error
2023-11-16 15:00:24.781066,mt,,correct omission
2023-11-16 15:00:25.559693,ct,,omission error
2023-11-16 15:00:26.338217,ct,,omission error
2023-11-16 15:00:27.116617,ct,,omission error
2023-11-16 15:00:27.894670,ct,,omission error
2023-11-16 15:00:28.673374,ct,,omission error
2023-11-16 15:00:29.453239,ct,,omission error
2023-11-16 15:00:30.230383,ct,,omission error
2023-11-16 15:00:31.010619,ct,,omission error
2023-11-16 15:00:31.789635,ct,,omission error
2023-11-16 15:00:32.566909,mt,,correct omission
2023-11-16 15:00:33.343225,ct,,omission error
2023-11-16 15:00:34.117747,ct,,omission error
2023-11-16 15:00:34.892997,ct,,omission error
2023-11-16 15:00:35.666649,ct,,omission error
2023-11-16 15:00:36.441359,ct,,omission error
2023-11-16 15:00:37.219570,mt,,correct omission
2023-11-16 15:00:37.994591,ct,,omission error
2023-11-16 15:00:38.771580,ct,,omission error
2023-11-16 15:00:39.546989,ct,,omission error
2023-11-16 15:00:40.325262,ct,,omission error
2023-11-16 15:00:41.101984,ct,,omission error
2023-11-16 15:00:41.880336,ct,,omission error
2023-11-16 15:00:42.656668,ct,,omission error
2023-11-16 15:00:43.435460,ct,,omission error
2023-11-16 15:00:44.214677,ct,,omission error
2023-11-16 15:00:44.990591,ct,,omission error
2023-11-16 15:00:45.768410,ct,,omission error
2023-11-16 15:00:46.544924,ct,,omission error
2023-11-16 15:00:47.321332,mt,,correct omission
2023-11-16 15:00:48.096684,ct,,omission error
2023-11-16 15:00:48.873041,ct,,omission error
2023-11-16 15:00:49.650172,ct,,omission error
2023-11-16 15:00:50.424927,ct,,omission error
2023-11-16 15:00:51.202641,ct,,omission error
2023-11-16 15:00:51.977034,ct,,omission error
2023-11-16 15:00:52.751132,ct,,omission error
2023-11-16 15:00:53.527271,ct,,omission error
2023-11-16 15:00:54.302080,ct,,omission error
2023-11-16 15:00:55.078254,ct,,omission error
2023-11-16 15:00:55.853218,mt,,correct omission
