time,tag,tr,flag
2023-11-19 17:22:31.406476,ct,,
2023-11-19 17:22:32.184222,mt,,correct omission
2023-11-19 17:22:32.963801,ct,,omission error
2023-11-19 17:22:33.742183,ct,,omission error
2023-11-19 17:22:34.521945,ct,,omission error
2023-11-19 17:22:35.299003,ct,,omission error
2023-11-19 17:22:36.074922,ct,,omission error
2023-11-19 17:22:36.854940,ct,,omission error
2023-11-19 17:22:37.633429,ct,,omission error
2023-11-19 17:22:38.413762,ct,,omission error
2023-11-19 17:22:39.190585,ct,,omission error
2023-11-19 17:22:39.965386,ct,,omission error
2023-11-19 17:22:40.744275,ct,,omission error
2023-11-19 17:22:41.522948,ct,,omission error
2023-11-19 17:22:42.303472,ct,,omission error
2023-11-19 17:22:43.081978,ct,,omission error
2023-11-19 17:22:43.861675,ct,,omission error
2023-11-19 17:22:44.638792,mt,,correct omission
2023-11-19 17:22:45.418383,ct,,omission error
2023-11-19 17:22:46.197774,ct,,omission error
2023-11-19 17:22:46.975842,ct,,omission error
2023-11-19 17:22:47.753776,mt,,correct omission
2023-11-19 17:22:48.533287,ct,,omission error
2023-11-19 17:22:49.310472,ct,,omission error
2023-11-19 17:22:50.089418,ct,,omission error
2023-11-19 17:22:50.867425,ct,,omission error
2023-11-19 17:22:51.644728,ct,,omission error
2023-11-19 17:22:52.419531,ct,,omission error
2023-11-19 17:22:53.197003,ct,,omission error
2023-11-19 17:22:53.973572,ct,,omission error
2023-11-19 17:22:54.751103,ct,,omission error
2023-11-19 17:22:55.527630,ct,,omission error
2023-11-19 17:22:56.306839,ct,,omission error
2023-11-19 17:22:57.084233,ct,,omission error
2023-11-19 17:22:57.861308,mt,,correct omission
2023-11-19 17:22:58.638249,ct,,omission error
2023-11-19 17:22:59.416008,ct,,omission error
2023-11-19 17:23:00.191811,ct,,omission error
2023-11-19 17:23:00.969016,ct,,omission error
2023-11-19 17:23:01.743740,ct,,omission error
2023-11-19 17:23:02.520350,ct,,omission error
2023-11-19 17:23:03.295701,ct,,omission error
2023-11-19 17:23:04.075601,ct,,omission error
2023-11-19 17:23:04.853506,mt,,correct omission
2023-11-19 17:23:05.629714,ct,,omission error
2023-11-19 17:23:06.406750,ct,,omission error
2023-11-19 17:23:07.184619,ct,,omission error
2023-11-19 17:23:07.961639,ct,,omission error
2023-11-19 17:23:08.736368,ct,,omission error
2023-11-19 17:23:09.514697,ct,,omission error
2023-11-19 17:23:10.292752,ct,,omission error
2023-11-19 17:23:11.070527,ct,,omission error
2023-11-19 17:23:11.847776,ct,,omission error
2023-11-19 17:23:12.627495,ct,,omission error
2023-11-19 17:23:13.403377,ct,,omission error
2023-11-19 17:23:14.181554,ct,,omission error
2023-11-19 17:23:14.959009,ct,,omission error
2023-11-19 17:23:15.737407,ct,,omission error
2023-11-19 17:23:16.520016,mt,,correct omission
2023-11-19 17:23:17.298699,ct,,omission error
2023-11-19 17:23:18.075457,ct,,omission error
2023-11-19 17:23:18.854013,ct,,omission error
2023-11-19 17:23:19.632428,ct,,omission error
2023-11-19 17:23:20.410512,ct,,omission error
2023-11-19 17:23:21.189717,ct,,omission error
2023-11-19 17:23:21.968758,ct,,omission error
2023-11-19 17:23:22.746223,ct,,omission error
2023-11-19 17:23:23.521831,ct,,omission error
2023-11-19 17:23:24.297314,mt,,correct omission
2023-11-19 17:23:25.073640,mt,,correct omission
2023-11-19 17:23:25.850803,ct,,omission error
2023-11-19 17:23:26.627498,ct,,omission error
2023-11-19 17:23:27.403231,ct,,omission error
2023-11-19 17:23:28.177717,ct,,omission error
2023-11-19 17:23:28.956004,ct,,omission error
2023-11-19 17:23:29.734560,ct,,omission error
2023-11-19 17:23:30.509801,ct,,omission error
2023-11-19 17:23:31.287374,ct,,omission error
2023-11-19 17:23:32.064849,ct,,omission error
2023-11-19 17:23:32.842787,ct,,omission error
2023-11-19 17:23:33.619900,ct,,omission error
2023-11-19 17:23:34.398441,ct,,omission error
2023-11-19 17:23:35.174250,ct,,omission error
2023-11-19 17:23:35.951620,ct,,omission error
2023-11-19 17:23:36.729329,ct,,omission error
2023-11-19 17:23:37.506648,ct,,omission error
2023-11-19 17:23:38.283953,ct,,omission error
2023-11-19 17:23:39.061260,ct,,omission error
2023-11-19 17:23:39.839026,mt,,correct omission
2023-11-19 17:23:40.614734,mt,,correct omission
2023-11-19 17:23:41.391745,ct,,omission error
2023-11-19 17:23:42.168267,ct,,omission error
2023-11-19 17:23:42.948104,ct,,omission error
2023-11-19 17:23:43.725638,ct,,omission error
2023-11-19 17:23:44.501584,ct,,omission error
2023-11-19 17:23:45.276765,ct,,omission error
2023-11-19 17:23:46.054995,ct,,omission error
2023-11-19 17:23:46.833509,ct,,omission error
2023-11-19 17:23:47.611913,ct,,omission error
2023-11-19 17:23:48.392005,ct,,omission error
2023-11-19 17:23:49.167208,ct,,omission error
2023-11-19 17:23:49.943596,ct,,omission error
2023-11-19 17:23:50.721867,ct,,omission error
2023-11-19 17:23:51.501202,mt,,correct omission
2023-11-19 17:23:52.278491,ct,,omission error
2023-11-19 17:23:53.056526,ct,,omission error
2023-11-19 17:23:53.832755,ct,,omission error
2023-11-19 17:23:54.610933,ct,,omission error
2023-11-19 17:23:55.390144,ct,,omission error
2023-11-19 17:23:56.166221,ct,,omission error
2023-11-19 17:23:56.943504,ct,,omission error
2023-11-19 17:23:57.724018,ct,,omission error
2023-11-19 17:23:58.502448,ct,,omission error
2023-11-19 17:23:59.279577,ct,,omission error
2023-11-19 17:24:00.057784,ct,,omission error
2023-11-19 17:24:00.838365,ct,,omission error
2023-11-19 17:24:01.612948,ct,,omission error
2023-11-19 17:24:02.389476,mt,,correct omission
2023-11-19 17:24:03.167541,ct,,omission error
2023-11-19 17:24:03.946499,ct,,omission error
2023-11-19 17:24:04.724137,ct,,omission error
2023-11-19 17:24:05.504948,ct,,omission error
2023-11-19 17:24:06.285245,ct,,omission error
2023-11-19 17:24:07.066114,ct,,omission error
2023-11-19 17:24:07.844432,ct,,omission error
2023-11-19 17:24:08.618979,ct,,omission error
2023-11-19 17:24:09.396103,ct,,omission error
2023-11-19 17:24:10.173426,ct,,omission error
2023-11-19 17:24:10.948279,mt,,correct omission
2023-11-19 17:24:11.724723,ct,,omission error
2023-11-19 17:24:12.502537,mt,,correct omission
2023-11-19 17:24:13.281670,ct,,omission error
2023-11-19 17:24:14.061136,ct,,omission error
2023-11-19 17:24:14.837975,ct,,omission error
2023-11-19 17:24:15.618893,ct,,omission error
2023-11-19 17:24:16.396507,ct,,omission error
2023-11-19 17:24:17.178848,ct,,omission error
2023-11-19 17:24:17.957464,ct,,omission error
2023-11-19 17:24:18.734383,ct,,omission error
2023-11-19 17:24:19.511217,ct,,omission error
2023-11-19 17:24:20.289423,ct,,omission error
2023-11-19 17:24:21.069098,ct,,omission error
2023-11-19 17:24:21.849641,ct,,omission error
2023-11-19 17:24:22.628605,ct,,omission error
2023-11-19 17:24:23.406731,ct,,omission error
2023-11-19 17:24:24.185416,ct,,omission error
2023-11-19 17:24:24.965329,mt,,correct omission
2023-11-19 17:24:25.745386,ct,,omission error
2023-11-19 17:24:26.522684,ct,,omission error
2023-11-19 17:24:27.301173,ct,,omission error
2023-11-19 17:24:28.081757,ct,,omission error
2023-11-19 17:24:28.858418,ct,,omission error
2023-11-19 17:24:29.633131,mt,,correct omission
2023-11-19 17:24:30.408416,ct,,omission error
2023-11-19 17:24:31.184840,ct,,omission error
2023-11-19 17:24:31.963627,ct,,omission error
2023-11-19 17:24:32.739703,ct,,omission error
2023-11-19 17:24:33.517604,ct,,omission error
2023-11-19 17:24:34.299307,ct,,omission error
2023-11-19 17:24:35.077412,mt,,correct omission
2023-11-19 17:24:35.857349,ct,,omission error
2023-11-19 17:24:36.635812,ct,,omission error
2023-11-19 17:24:37.411010,ct,,omission error
2023-11-19 17:24:38.188206,ct,,omission error
2023-11-19 17:24:38.965181,ct,,omission error
2023-11-19 17:24:39.744280,ct,,omission error
2023-11-19 17:24:40.523229,ct,,omission error
2023-11-19 17:24:41.302256,ct,,omission error
2023-11-19 17:24:42.077908,ct,,omission error
2023-11-19 17:24:42.857119,ct,,omission error
2023-11-19 17:24:43.633524,ct,,omission error
2023-11-19 17:24:44.413592,ct,,omission error
2023-11-19 17:24:45.191682,ct,,omission error
2023-11-19 17:24:45.971482,ct,,omission error
2023-11-19 17:24:46.747930,ct,,omission error
2023-11-19 17:24:47.524148,ct,,omission error
2023-11-19 17:24:48.304416,ct,,omission error
2023-11-19 17:24:49.081486,ct,,omission error
2023-11-19 17:24:49.862278,mt,,correct omission
2023-11-19 17:24:50.639242,ct,,omission error
2023-11-19 17:24:51.415142,ct,,omission error
2023-11-19 17:24:52.193241,ct,,omission error
2023-11-19 17:24:52.972176,ct,,omission error
2023-11-19 17:24:53.751871,mt,,correct omission
2023-11-19 17:24:54.532540,ct,,omission error
2023-11-19 17:24:55.312832,ct,,omission error
2023-11-19 17:24:56.095790,ct,,omission error
2023-11-19 17:24:56.874403,ct,,omission error
2023-11-19 17:24:57.651851,ct,,omission error
2023-11-19 17:24:58.428965,ct,,omission error
2023-11-19 17:24:59.205682,ct,,omission error
2023-11-19 17:24:59.981839,ct,,omission error
2023-11-19 17:25:00.757178,ct,,omission error
2023-11-19 17:25:01.532750,ct,,omission error
2023-11-19 17:25:02.306228,ct,,omission error
2023-11-19 17:25:03.083984,ct,,omission error
2023-11-19 17:25:03.858353,ct,,omission error
2023-11-19 17:25:04.632328,mt,,correct omission
2023-11-19 17:25:05.405310,ct,,omission error
2023-11-19 17:25:06.182411,ct,,omission error
2023-11-19 17:25:06.958094,ct,,omission error
2023-11-19 17:25:07.737153,ct,,omission error
2023-11-19 17:25:08.513315,ct,,omission error
2023-11-19 17:25:09.291383,ct,,omission error
2023-11-19 17:25:10.066922,ct,,omission error
2023-11-19 17:25:10.842110,ct,,omission error
2023-11-19 17:25:11.620373,ct,,omission error
2023-11-19 17:25:12.399393,mt,,correct omission
2023-11-19 17:25:13.176427,ct,,omission error
2023-11-19 17:25:13.953799,ct,,omission error
2023-11-19 17:25:14.732603,ct,,omission error
2023-11-19 17:25:15.510697,ct,,omission error
2023-11-19 17:25:16.288927,ct,,omission error
2023-11-19 17:25:17.067019,ct,,omission error
2023-11-19 17:25:17.845305,mt,,correct omission
2023-11-19 17:25:18.623753,ct,,omission error
2023-11-19 17:25:19.426072,ct,,omission error
2023-11-19 17:25:20.201932,ct,,omission error
2023-11-19 17:25:20.977317,ct,,omission error
2023-11-19 17:25:21.754234,ct,,omission error
2023-11-19 17:25:22.530503,ct,,omission error
2023-11-19 17:25:23.309562,mt,,correct omission
2023-11-19 17:25:24.087012,ct,,omission error
2023-11-19 17:25:24.864065,ct,,omission error
2023-11-19 17:25:25.641901,ct,,omission error
2023-11-19 17:25:26.417939,ct,,omission error
2023-11-19 17:25:27.194765,ct,,omission error
2023-11-19 17:25:27.967731,ct,,omission error
2023-11-19 17:25:28.743770,ct,,omission error
2023-11-19 17:25:29.520207,mt,,correct omission
2023-11-19 17:25:30.299055,ct,,omission error
2023-11-19 17:25:31.077090,ct,,omission error
2023-11-19 17:25:31.854839,ct,,omission error
2023-11-19 17:25:32.632765,ct,,omission error
2023-11-19 17:25:33.412654,ct,,omission error
2023-11-19 17:25:34.188581,ct,,omission error
2023-11-19 17:25:34.966001,ct,,omission error
2023-11-19 17:25:35.743763,ct,,omission error
2023-11-19 17:25:36.521320,ct,,omission error
2023-11-19 17:25:37.296933,ct,,omission error
2023-11-19 17:25:38.073548,ct,,omission error
2023-11-19 17:25:38.850194,ct,,omission error
2023-11-19 17:25:39.627754,ct,,omission error
2023-11-19 17:25:40.406492,ct,,omission error
